Name,Country,Role,Court,wikidata_id,name,birth_date,birth_place,nationality,education,occupations,employers,party_history,positions_held,page_memberships
Koen Lenaerts,Belgium,Judge / President,CJ,Q917096,Koen Lenaerts,1954-12-20,Mortsel,Belgium,Harvard Law School || John F. Kennedy School of Government || Katholieke Universiteit Leuven || University of Namur,judge || lawyer || jurist || pedagogue || university teacher,Katholieke Universiteit Leuven || College of Europe,,Judge of the European Court of Justice || President of the European Court of Justice || Vice President of the European Court of Justice,"Member of the Academia Europaea, London | Member of the Advisory Board of the Centre of Law and Governance in Europe, University College London | Member of the Advisory Board of the EU Tax Review | Member of the Advisory Council of the British Institute of International and Comparative Law | Member of the Board of Trustees of the Max-Planck-Institut für ausländisches öffentliches Recht und Völkerrecht, Heidelberg | Member of the Governing Board of the Foundation of the Academy of European Law (ERA), Trier | Member of the editorial committee of EStAL (European State Aid Law Quarterly) | Member of the editorial committee of Europarecht | Member of the editorial committee of International Comparative Jurisprudence, Mykolo Romerio universitetas | Member of the editorial committee of S.E.W. Tijdschrift voor Europees en economisch recht | Member of the editorial committee of actualidad administrativa | Member of the editorial committee of the European Law Review | Member of the honorary committee of Revista Română de Drept European | Member of the scientific committee of Cahiers de droit européen | Member of the scientific committee of Concurrences, Revue des droits de la concurrence"
Thomas von Danwitz,Germany,Judge / Vice-President,CJ,Q126108,Thomas von Danwitz,1962-05-02,Bedburg,Germany,University of Bonn,judge || university teacher,University of Cologne || Ruhr University Bochum,,Judge of the European Court of Justice,
François Biltgen,Luxembourg,Judge,CJ,Q1450922,François Biltgen,1958-09-28,Luxembourg,Luxembourg,Sciences Po,judge || lawyer || politician,,Christian Social People's Party,Échevin || Deputy of the Chamber of Deputies of Luxembourg || minister for Justice || Judge of the European Court of Justice,"Alternate member of the Ethics Committee of the Conseil d’État de Luxembourg (Luxembourg Council of State) (for the period from January 2021 to December 2023) | Member of the Advisory Board of the Jean Monnet Chair ‘EU Values &amp; DIGitalization for Our CommuNITY (DIGNITY)’ of Management Center Innsbruck (Austria) | Member of the scientific committee of Revue trimestrielle des droits de l’homme (Belgium) | Commander Grand Cross, Order of the Lion of the Republic of Finland (2009) | Commander in the Order of Merit of Hungary (2012) | Grand Officer of the Order of Civil and Military Merit of Adolphe of Nassau (2004) | Grand Officer of the Order of the Oak Crown of the Grand Duchy of Luxembourg (2004) | Grosser Tiroler Adler-Orden (2012) | Grã-Cruz da Ordem do Infante Dom Henrique (2005) | Officer of the Order of Merit of Luxembourg (1999) | Order of the Gold Lion of the House of Nassau (2012) | President of the Second Chamber | Biography and career"
Küllike Jürimäe,Estonia,Judge,CJ,Q1417201,Küllike Jürimäe,1962-01-01,,Estonia,,judge,,,,"Member of the Governing Board of the Constitutional Law Foundation at the Estonian Academy for Sciences | Member of the Governing Council and Director of the Association of European Competition Law Judges | Member of Eesti Kohtunike Ühing | Member of Eesti Juristide Liit | Decoration of ‘the Order of the White Star of Estonia, III Class’ (2021) | Constantinos Lycourgos | President of the Third Chamber | Biography and career"
Constantinos Lycourgos,Cyprus,Judge,CJ,Q85953131,Constantinos Lycourgos,1964-01-01,,,,diplomat,,,Judge of the European Court of Justice,"Founding member of the Cypriot Association of Energy Law | Member of the European Group of Public Law (EGPL) | Irmantas Jarukaitis | President of the Fourth Chamber | Biography and career | Mr&#xa0;Irmantas Jarukaitis was born in 1973 in Prienai (Lithuania); he completed a law degree in 1997 and a doctor of laws in 2008 at the Vilniaus universitetas (University of Vilnius, Lithuania). He taught as a lecturer then associate professor at that same university from 1999 to 2018. He undertook other legal research tasks, as shown by his many publications in the fields of European law and constitutional law. Alongside his university roles, he was actively involved in the creation of the Lithuanian Association of European Law, of which he is the cofounder. | In 1997, he began to work for his native country, joining the Department of European Law of the Lithuanian Ministry of Justice; he held the position of Head Specialist, then that of Head of Section from 2002 to 2003 and, from 2004 to 2010, that of Deputy Director-General. Between 2010 and 2018, he carried out jurisdictional duties as a Judge at the Lietuvos vyriausiasis administracinis teismas (Supreme Administrative Court of Lithuania), of which he was the Vice-President from 2012 to 2017. From 2015 to 2017, he was Acting President of that court while sitting at the Teisėjų taryba (Judicial Council, Lithuania). | Mr&#xa0;Jarukaitis was appointed as a Judge at the Court of Justice on 8&#xa0;October 2018, where he has held office as President of Chamber since 8&#xa0;October 2024. | Member of the Association of European Competition Law Judges | Member of the Lietuvos Europos teisės asociacija"
Irmantas Jarukaitis,Lithuania,Judge,CJ,Q1672978,Irmantas Jarukaitis,1973-02-06,Prienai,Lithuania,Vilnius University,judge || university teacher,Vilnius University,,Judge of the European Court of Justice,"Member of the Academic Board of the Faculty of Law of the Università del Salento (University of Salento, Italy) | Member of the Advisory Board of the World Jurist Association (WJA) (Washington DC, USA) | Manuel Campos Sánchez-Bordona | Advocate General | Biography and career"
Maria Lourdes Arastey Sahún,Spain,Judge,CJ,Q107649740,Maria Lourdes Arastey Sahún,1959-07-29,Tarragona,Spain,University of Barcelona,magistrate,Court of Justice of the European Union,,,
Peter George Xuereb,Malta,Judge,CJ,Q61912690,Peter George Xuereb,1954-10-14,,Malta,University of Cambridge || University of London || University of Malta,judge || jurist || university teacher,,,Judge of the European Court of Justice,
Nils Wahl,Sweden,Judge,CJ,Q6228584,Nils Wahl,1961-01-01,,,,judge,Stockholm University,,,
Octavia Spineanu-Matei,Romania,Judge,CJ,Q125858057,Octavia Spineanu-Matei,1967-08-29,,,,judge || jurist,,,,
