Name,Portfolio,Country,National_Party,EP_Group,Directorate_General,wikidata_id,name,term_start,wikidata_position,birth_date,birth_place,education,occupations,employers,party_history,awards,prev_positions
Ursula von der Leyen,President of the European Commission,,CDU,EPP,Germany,Q60772,Ursula von der Leyen,,,1958-10-08,Ixelles,"University of Göttingen || University of Münster || London School of Economics and Political Science || Hannover Medical School || European School, Brussels I",physician || politician || equestrian,Hannover Medical School,Christian Democratic Union,"Charlemagne Prize || Time 100 || language adulterator award || National Order of Mali || BBC 100 Women || Knight Grand Cross of the Order for Merits to Lithuania || Order of Prince Yaroslav the Wise, 1st class || BigBrotherAwards || Order of Saint Panteleimon || honorary doctor of the University of Toulouse","Federal Minister of Defence (2013-12-17 to 2019-07-17) || member of the German Bundestag (2009-10-27 to 2013-10-22) || President of the European Commission (from 2019-12-01) || member of the German Bundestag (2013-10-22 to 2017-10-24) || Federal Minister of Labour and Social Affairs (2009-11-30 to 2013-12-17) || member of the German Bundestag (2017-10-24 to 2019-07-31) || member of the Landtag of Lower Saxony (2003-03-04 to 2005-12-07) || Federal Minister for Education, Family Affairs, Senior Citizens, Women and Youth (2005-11-22 to 2009-11-30) || minister of social affairs (2003-03-04 to 2005-12-06)"
Kaja Kallas,Vice-President and High Representative for Foreign Affairs and Security Policy,,ER,ALDE,Estonia,Q11869065,Kaja Kallas,,,1977-06-18,Tallinn,University of Tartu || Lawrence University || Tallinn English College || Estonian Business School || Tallinn Lilleküla Gymnasium,lawyer || politician || jurist || diplomat || business undergraduate,European Parliament || Riigikogu || Vanemuine || TGS Baltic || Estonian Business School || Viru-Nigula wind farm || Borenius,Estonian Reform Party,"Grand Cross of the Order of the Star of Romania || Commanders Grand Cross of the Order of the Polar Star || Order of the National Coat of Arms, 2nd Class || Grand Cross of the Order of the White Rose of Finland || Order of Princess Olga, 1st class || Order of Prince Yaroslav the Wise, 2nd class",member of the Riigikogu (2012-07-02 to 2014-06-18) || Prime Minister of Estonia (2021-01-26 to 2024-07-22) || Member of the European Parliament (2014-07-01 to 2018-09-05) || member of the Riigikogu (2011-03-27 to 2011-11-14) || member of the Riigikogu (2019-04-04 to 2021-01-26)
Teresa Ribera,"Executive Vice-President and European Commissioner for Clean, Just and Competitive Transition",,PSOE,PES,Spain,Q54806936,Teresa Ribera,,,1969-05-19,Madrid,Complutense University of Madrid || Center for Political and Constitutional Studies,lawyer || politician || jurist || civil servant,Autonomous University of Madrid || Cuerpo Técnico de la Administración Civil del Estado,Spanish Socialist Workers' Party,Time 100 || Grand Cross of the Order of Charles III,Third Deputy Prime Minister of Spain (2021-07-12 to 2023-11-20) || Minister for Ecological Transition (2018-06-07 to 2024-11-25) || president (2014-01-01 to 2018-01-01) || Member of the Congress of Deputies (2019-05-21 to 2019-09-24) || director general (2006-11-25 to 2008-04-22) || Third Deputy Prime Minister of Spain (2023-11-21 to 2024-11-25) || Secretary of State for Climate Change (2008-04-22 to 2011-12-30) || Fourth Deputy Prime Minister of Spain (2020-01-13 to 2021-07-12) || Member of the Congress of Deputies (2019-12-03 to 2020-02-21) || Member of the Congress of Deputies (2023-08-17 to 2023-12-01)
Henna Virkkunen,Executive Vice-President and European Commissioner for Digital and Frontier Technologies,,Kok,EPP,Finland,Q2983767,Henna Virkkunen,,,1972-06-04,Joutsa,University of Jyväskylä,politician || member of parliament || journalist,,National Coalition Party,Commander of the Order of the White Rose of Finland,municipal councillor in Finland || member of the Parliament of Finland || Member of the European Parliament (from 2019-07-02) || Member of the European Parliament (from 2014-07-01) || Minister of Education (2008-12-19 to 2011-06-22) || Minister of Transport (2014-04-04 to 2014-06-24)
Stéphane Séjourné,Executive Vice-President and European Commissioner for Prosperity and Industrial Strategy,,RE,Independent,France,Q48321355,Stéphane Séjourné,,,1985-03-26,Versailles,University of Poitiers,politician || cadres de la fonction publique,Regional Council of Île-de-France,Socialist Party || Renaissance,,president of Renew Europe (2021-10-19 to 2024-01-11) || Member of the European Parliament (2019-07-02 to 2024-01-11) || member of the French National Assembly (2024-07-08 to 2024-11-30) || Minister of Foreign Affairs (2024-01-11 to 2024-09-21)
Roxana Mînzatu,"Executive Vice-President and European Commissioner for Social Rights and Skills, Quality Jobs and Preparedness",,PSD,PES,Romania,Q28039595,Roxana Mînzatu,,,1980-04-01,Brașov,University of Bucharest || Dimitrie Cantemir Christian University,politician || trainer,,Social Democratic Party,,member of the Chamber of Deputies of Romania (2016-12-20 to 2020-12-19) || Minister of European Investments and Projects (2019-06-07 to 2019-11-04)
Raffaele Fitto,Executive Vice-President and European Commissioner for Cohesion and Reforms,,FdI,ECR,Italy,Q1060314,Raffaele Fitto,,,1969-08-28,Maglie,University of Bari,politician,,"The People of Freedom || Forza Italia || Christian Democracy || United Christian Democrats || Italian People's Party || Brothers of Italy || Christian Democrats for Freedom || Italian Conservatives, Reformists || Direction Italy",,Italian Minister of Regional Affairs and Autonomies (2008-05-08 to 2011-11-16) || Italian minister for EU Affairs (from 2022-10-22) || member of the Chamber of Deputies of the Italian Republic (2013-05-03 to 2014-06-25) || Member of the European Parliament (1999-07-20 to 2000-06-20) || member of the Chamber of Deputies of the Italian Republic (2006-04-22 to 2008-04-28) || Italian Minister for the South and Territorial Cohesion (2010-06-10 to 2011-11-16) || president of Apulia (2000-04-16 to 2005-04-04) || member of the Chamber of Deputies of the Italian Republic (2008-04-23 to 2013-03-14) || Member of the European Parliament (2014-07-01 to 2019-07-01) || Member of the European Parliament (2019-07-02 to 2022-10-12)
Maroš Šefčovič,"European Commissioner for Trade and Economic Security, Interinstitutional Relations, and Transparency",,susp.)(Smer,PES,Slovakia,Q512678,Maroš Šefčovič,,,1966-07-24,Bratislava,Comenius University || Moscow State Institute of International Relations || University of Economics in Bratislava,politician || diplomat,,Communist Party of Czechoslovakia || Direction – Social Democracy,"Grand Cross of the Order of Civil Merit || Order of Prince Yaroslav the Wise, 2nd class || Gratitude Medal","Permanent Representative of Slovakia to the European Union (2004-01-01 to 2009-01-01) || European Commissioner for Inter-Institutional Relations and Administration (from 2019-12-01) || European Commissioner for Energy (2014-11-01 to 2019-11-30) || European Commissioner for Digital Single Market (2019-07-03 to 2019-11-30) || European Commissioner for Education, Culture, Multilingualism and Youth (2009-10-01 to 2010-02-09) || European Commissioner for Inter-Institutional Relations and Administration (2010-02-09 to 2014-11-01) || European Commissioner for Health and Consumer Policy (2012-10-16 to 2012-11-28) || vice-president of the European Commission (from 2019-12-01)"
Valdis Dombrovskis,European Commissioner for Economy and Productivity and Commissioner for Implementation and Simplification,,V,EPP,Latvia,Q57630,Valdis Dombrovskis,,,1971-08-05,Riga,Johannes Gutenberg University Mainz || Riga Technical University || University of Latvia || University of Maryland,politician || physicist || economist,University of Latvia,Unity || New Era Party,"Order of the Three Stars, 2nd Class || Order of the Cross of Terra Mariana, 1st Class || Commander First Class of the Order of the White Rose of Finland || Order of Prince Yaroslav the Wise, 1st class || Order of Prince Yaroslav the Wise, 2nd class",deputy of Saeima || Minister of Finance (2002-11-07 to 2004-03-09) || Member of the European Parliament (2014-07-01 to 2014-10-31) || deputy of Saeima (2011-10-18 to 2011-11-03) || Member of the European Parliament (2004-07-20 to 2009-03-11) || Prime Minister of Latvia (2009-03-12 to 2014-01-22) || European Commissioner for Economic Affairs (from 2019-12-01) || deputy of Saeima (2010-11-02 to 2010-11-04) || European Commissioner for Trade (from 2020-08-26) || European Commissioner for Internal Market (2016-07-16 to 2020-10-12) || deputy of Saeima (2014-01-23 to 2014-06-05) || vice-president of the European Commission (from 2019-12-01)
Apostolos Tzitzikostas,European Commissioner for Sustainable Transport and Tourism,,ND,EPP,Greece,Q12873934,Apostolos Tzitzikostas,,,1978-09-02,Thessaloniki,University College London || Georgetown University,politician,,New Democracy,,Q25535648 || member of the Hellenic Parliament || regional governor (2013-01-05 to 2024-01-01)
Magnus Brunner,European Commissioner for Internal Affairs and Migration,,ÖVP,EPP,Austria,Q1884520,Magnus Brunner,,,1972-05-06,Höchst,King's College London || FernUniversität in Hagen || University of Innsbruck || Collegium Bernardi || The Dickson Poon School of Law,politician,Österreichischer Wirtschaftsbund || Federation of Austrian Industries || Vorarlberger Kraftwerke || OeMAG Abwicklungsstelle für Ökostrom,Austrian People's Party || Vorarlberger Volkspartei,,"member of the Austrian federal council (2009-05-01 to 2020-01-13) || member of the National Council of Austria (2024-10-24 to 2024-11-19) || finance minister of Austria (2021-12-06 to 2024-11-20) || State Secretary in the Federal Ministry of Climate Action, Environment, Energy, Mobility, Innovation and Technology (2020-01-07 to 2021-12-06)"
Ekaterina Zaharieva,"European Commissioner for Startups, Research and Innovation",,GERB,EPP,Bulgaria,Q12279576,Ekaterina Zaharieva,,,1975-08-08,Pazardzhik,École nationale d'administration || Plovdiv University,lawyer || politician || jurist-consultant,,Citizens for European Development of Bulgaria,,member of the Bulgarian National Assembly (2023-04-12 to 2024-06-19) || member of the Bulgarian National Assembly (2017-04-19 to 2017-05-04) || Minister of Justice (2015-12-18 to 2017-01-27) || member of the Bulgarian National Assembly (2024-06-19 to 2024-11-11) || Minister of Regional Development and Public Works (2014-08-06 to 2014-11-07) || Minister of Foreign Affairs (2017-05-04 to 2021-05-12) || member of the Bulgarian National Assembly (2022-10-19 to 2023-02-02) || member of the Bulgarian National Assembly (2021-12-03 to 2022-08-01) || Minister of Regional Development and Public Works (2013-03-13 to 2013-05-29) || member of the Bulgarian National Assembly (2021-07-21 to 2021-09-15)
Christophe Hansen,European Commissioner for Agriculture and Food,,CSV,EPP,Luxembourg,Q56460787,Christophe Hansen,,,1982-02-21,Wiltz,Louis Pasteur University,politician,,Christian Social People's Party,,Member of the European Parliament (2018-09-02 to 2019-07-01) || Deputy of the Chamber of Deputies of Luxembourg (2023-10-24 to 2024-07-10) || Member of the European Parliament (2019-07-02 to 2023-10-23) || Member of the European Parliament (2024-07-16 to 2024-11-30)
Wopke Hoekstra,"European Commissioner for Climate, Net-Zero and Clean Growth",,CDA,EPP,Netherlands,Q14520235,Wopke Hoekstra,,,1975-09-30,Bennekom,Leiden University,lawyer || politician || columnist,Shell || Procter & Gamble || McKinsey & Company,Christian Democratic Appeal,Officer of the Order of Orange-Nassau,member of the Senate of the Netherlands (2011-06-07 to 2017-10-25) || European Commissioner for Climate Action (from 2023-10-09) || Deputy Prime Minister of the Netherlands (2022-01-10 to 2023-09-01) || Minister of Foreign Affairs (2022-01-10 to 2023-09-01) || Minister of Finance (2017-10-26 to 2022-01-10) || member of the House of Representatives of the Netherlands (2021-03-31 to 2022-01-10)
Piotr Serafin,"European Commissioner for Budget, Anti-Fraud and Public Administration",,KO,EPP,Poland,Q11818038,Piotr Serafin,,,1974-01-12,Sulęcin,"SGH Warsaw School of Economics || Faculty of Law and Administration, University of Warsaw",politician || diplomat || official,Ministry of Foreign Affairs of Poland || Committee for European Integration,Civic Platform,Officer of the Order of Polonia Restituta || Silver Cross of Merit || Commander of the National Order  of Merit,Undersecretary of State (2010-01-01 to 2010-02-18) || secretary of state (2012-05-22 to 2014-09-24) || Undersecretary of State (2008-01-16 to 2009-12-31) || Permanent Representative of Poland to the European Union (2023-12-13 to 2024-10-01)
Jessika Roswall,"European Commissioner for Environment, Water Resilience, and a Competitive Circular Economy",,M,EPP,Sweden,Q4984640,Jessika Roswall,,,1972-12-18,Helga Trefaldighet,Uppsala University,politician || advokat,,Moderate Party,,member of the Committee on European Union Affairs (2019-06-17 to 2019-12-16) || member of the Committee on Finance (2018-10-02 to 2019-02-13) || Member of the Committee on Civil Affairs (2014-10-07 to 2017-03-24) || member of the Committee on Taxation (2010-10-12 to 2011-09-29) || member of the Committee on European Union Affairs (from 2019-12-16) || member of the Swedish Riksdag (2022-09-26 to 2022-10-18) || member of the Swedish Riksdag (2018-09-24 to 2022-09-26) || Member of the Committee on Transport and Communications (2019-02-13 to 2019-12-16) || member of the Committee on European Union Affairs (2018-10-02 to 2019-02-14) || member of the Swedish Riksdag (2010-10-04 to 2014-09-29) || Member of the Committee on Civil Affairs (2011-09-30 to 2014-09-29) || Member of the Committee on the Labour Market (2017-03-24 to 2018-09-24) || member of the Swedish Riksdag (2014-09-29 to 2018-09-24) || Minister for EU Affairs (2022-10-18 to 2024-09-10)
Maria Luís Albuquerque,European Commissioner for Financial Services and the Savings and Investments Union,,PSD,EPP,Portugal,Q13581124,Maria Luís Albuquerque,,,1967-09-16,Braga,Technical University of Lisbon,politician || economist,Technical University of Lisbon,Social Democratic Party,,member of the Assembly of the Republic || minister for Finance (2013-07-02 to 2015-11-26)
Costas Kadis,European Commissioner for Fisheries and Oceans,,,Independent,Cyprus,,,,,,,,,,,,
