Name,Portfolio,Country,National_Party,EP_Group,wikidata_id,name,term_start,wikidata_position,birth_date,birth_place,education,occupations,employers,party_history,awards,prev_positions
José Manuel Barroso,President,PRT,PSD,EPP,,,,,,,,,,,,
Catherine Ashton,VP / High Representative – Foreign Affairs,GBR,Lab,S&D,Q105667,Catherine Ashton,,,1956-03-20,Up Holland,Bedford College || Winstanley College,politician || diplomat,Campaign for Nuclear Disarmament,Labour Party,honorary doctorate || Dame Grand Cross of the Order of St Michael and St George || Lady of the Garter || Grand Officer of the Order of the White Double Cross,Knight of the Garter || Lord President of the Council (2007-06-28 to 2008-10-03) || High Representative for Common Foreign and Security Policy (2009-12-01 to 2010-02-09) || Leader of the House of Lords (2007-06-27 to 2008-10-03) || Leader of the House of Lords (2007-06-28 to 2008-10-03) || High Representative of the Union for Foreign Affairs and Security Policy (2009-12-01 to 2014-11-01) || vice-president of the European Commission (2010-02-09 to 2014-11-01) || Member of the Privy Council of the United Kingdom (from 2006-01-01) || member of the House of Lords (from 1999-08-02) || European Commissioner for Trade (2008-10-03 to 2009-12-01)
Viviane Reding,"VP – Justice, Fundamental Rights and Citizenship",LUX,CSV,EPP,Q235866,Viviane Reding,,,1951-04-27,Esch-sur-Alzette,University of Paris || Lycée Hubert Clément,politician || journalist,,Christian Social People's Party,Saint George's Cross || Medal for Merit to Culture || Robert Schuman Medal || Officer of the Legion of Honour || Atlantida Prize || Q29914421 || Prize for European Regional Integration || Member of the European Order of Merit,"municipal councillor || European Commissioner for Education, Culture, Multilingualism and Youth || board member || Member of the European Parliament (1999-08-07 to 1999-09-15) || Member of the European Parliament (1994-07-19 to 1999-07-19) || Member of the European Parliament (2014-07-01 to 2018-09-01) || Deputy of the Chamber of Deputies of Luxembourg (2018-10-30 to 2022-10-01) || Member of the European Parliament (1989-07-25 to 1994-07-18) || European Commissioner for Justice, Fundamental Rights and Citizenship (2010-01-01 to 2014-01-01)"
Joaquín Almunia,VP – Competition,ESP,PSOE,S&D,Q311229,Joaquín Almunia,,,1948-06-17,Bilbao,John F. Kennedy School of Government || University of Paris || University of Deusto,lawyer || politician || jurist || economist || university teacher,Harvard University || University of Alcalá,Spanish Socialist Workers' Party,"Grand Cross of the Order of Charles III || Order of the Cross of Terra Mariana, 2nd Class",Minister of Labour and Social Security (1982-12-01 to 1986-07-26) || Member of the Congress of Deputies (1986-07-07 to 1989-09-02) || Member of the Congress of Deputies (1989-11-14 to 1993-04-13) || Secretary General of the PSOE (1997-06-22 to 2000-03-12) || Member of the Congress of Deputies (2000-04-03 to 2004-04-02) || Minister for Public Administration (1986-07-26 to 1991-03-13) || Member of the Congress of Deputies (1982-11-05 to 1986-04-23) || European Commissioner for Competition (2010-02-10 to 2014-10-31) || Member of the Congress of Deputies (1996-03-25 to 2000-04-05) || vice-president of the European Commission (2010-02-10 to 2014-10-31) || European Commissioner for Economic Affairs (2004-04-24 to 2010-02-10) || Member of the Congress of Deputies (2004-03-24 to 2004-04-26) || Member of the Congress of Deputies (1993-06-21 to 1996-03-27) || Member of the Congress of Deputies (1979-03-20 to 1982-08-31)
Siim Kallas,VP – Transport,EST,RE,ALDE,Q156469,Siim Kallas,,,1948-10-02,Tallinn,University of Tartu || Jakob Westholm Gymnasium,politician || diplomat || official || banker || journalist || sportsperson,,Communist Party of the Soviet Union || Estonian Reform Party,"Grand Officer of the Legion of Honour || Great Cross with Star and Sash of the Order of Merit of the Federal Republic of Germany || Recipient of the Order of the National Coat of Arms, 1st Class || European of the year",governor of the Bank of Estonia (1991-09-23 to 1995-04-27) || European Commissioner for Economic Affairs (2004-05-01 to 2004-11-22) || Minister of Finance (1999-03-25 to 2002-01-28) || Minister of Foreign Affairs (1995-11-09 to 1996-11-21) || member of the Riigikogu (from 2019-04-04) || Prime Minister of Estonia (2002-01-28 to 2003-04-10) || European Commissioner for Transport (2010-02-09 to 2014-11-01)
Neelie Kroes,VP – Digital Agenda,NLD,VVD,ALDE,Q234485,Neelie Kroes,,,1941-07-19,Rotterdam,Erasmus University Rotterdam || University of Hull,politician,European Commission || Nyenrode Business University,People's Party for Freedom and Democracy,"Order of the Cross of Terra Mariana || Knight of the Order of the Netherlands Lion || Aletta Jacobs Prize || Global Economy Prize || Grand Cross of the Order of Orange-Nassau || Grand Officer of the Order of Orange-Nassau || Order of the Cross of Terra Mariana, 2nd Class || Reinhold Maier Medal || Inspiring Fifty The Netherlands || Inspiring Fifty Europe","member of the House of Representatives of the Netherlands (1981-08-25 to 1982-11-04) || Minister of Transport, Public Works and Water Management (1982-11-04 to 1989-11-07) || member of the House of Representatives of the Netherlands (1971-08-03 to 1977-12-28) || State Secretary for Transport, Public Works and Water Management (1977-12-28 to 1981-09-11) || member of the House of Representatives of the Netherlands (1986-06-03 to 1986-07-14) || European Commissioner for Competition (2004-01-01 to 2010-01-01)"
Maroš Šefčovič,VP – Interinstitutional Relations and Administration,SVK,Smer,S&D,Q512678,Maroš Šefčovič,,,1966-07-24,Bratislava,Comenius University || Moscow State Institute of International Relations || University of Economics in Bratislava,politician || diplomat,,Communist Party of Czechoslovakia || Direction – Social Democracy,"Grand Cross of the Order of Civil Merit || Order of Prince Yaroslav the Wise, 2nd class || Gratitude Medal","Permanent Representative of Slovakia to the European Union (2004-01-01 to 2009-01-01) || European Commissioner for Inter-Institutional Relations and Administration (from 2019-12-01) || European Commissioner for Energy (2014-11-01 to 2019-11-30) || European Commissioner for Digital Single Market (2019-07-03 to 2019-11-30) || European Commissioner for Education, Culture, Multilingualism and Youth (2009-10-01 to 2010-02-09) || European Commissioner for Inter-Institutional Relations and Administration (2010-02-09 to 2014-11-01) || European Commissioner for Health and Consumer Policy (2012-10-16 to 2012-11-28) || vice-president of the European Commission (from 2019-12-01)"
Olli Rehn,VP – Economic and Monetary Affairs and the Euro,FIN,Kesk,ALDE,Q294411,Olli Rehn,,,1962-03-31,Mikkeli,University of Helsinki || Macalester College || St Antony's College,politician || association football player || political economist,,Centre Party,"Grand Cross of Royal Norwegian Order of Merit || Commanders Grand Cross of the Order of the Polar Star || Order of the Three Stars, 3rd Class || Order of the Cross of Terra Mariana, 2nd Class || Grand Cross of the Order of the Lion of Finland",Member of the European Parliament (2014-07-01 to 2015-04-26) || European Commissioner for Economic Affairs (2010-02-10 to 2014-07-01) || European Commissioner for Enlargement and European Neighbourhood Policy (2004-07-12 to 2009-10-31) || Representative of the Parliamentary Assembly of the Council of Europe (1991-04-22 to 1995-01-30) || Governor of the Bank of Finland (from 2018-07-12) || European Commissioner for Enterprise and Information Society (2004-07-12 to 2004-11-11) || Member of the European Parliament (1995-01-01 to 1996-11-10) || Vice President of the European Parliament (2014-07-01 to 2015-04-26) || Minister of Economic Affairs (2015-05-29 to 2016-12-29) || member of the Parliament of Finland (1991-03-22 to 1995-03-23) || member of the Parliament of Finland (2015-04-22 to 2017-01-31)
Janez Potočnik,Environment,SVN,ind.,ALDE,Q437935,Janez Potočnik,,,1958-03-22,Kropa,University of Ljubljana,politician || minister || economist || university teacher,,Liberal Democracy of Slovenia,Champions of the Earth || Honorary doctors of Ghent University || Adam Smith Prize,"European Commissioner for Research, Innovation and Science (2004-11-22 to 2010-02-09) || European Commissioner for Enlargement and European Neighbourhood Policy (2004-05-01 to 2004-11-21) || European Commissioner for the Environment (2010-02-09 to 2014-11-01)"
Androulla Vassiliou,"Education, Culture, Multilingualism and Youth",CYP,DISY,EPP,,,,,,,,,,,,
