name,role,department,cv_text,cv_url
Pia Ahrenkilde Hansen,Director-General,"Directorate-General for Education, Youth, Sport and Culture"," 
Pia AHRENKILDE-HANSEN 
 
Nationality 
 
Danish 
Academic qualifications  1987 - 1990:  Master of Science in International Business Administration and Modern 
Languages, COPENHAGEN BUSINESS SCHOOL. Political science, business, 
communication, languages. Specialised in European affairs and communication. Thesis 
on European Identity - the impact of cultural factors on European political co-operation. 
 1984 - 1987: Bachelor of Science in Business Administration and Modern Languages, 
COPENHAGEN BUSINESS SCHOOL 
 1982 - 1983: Certificat d’Etudes Politiques, INSTITUT D’ETUDES POLITIQUES DE 
PARIS 
Professional experience 
in the European 
Institutions 
 Since 16/09/2023: Director General – DG Education, Youth, Sport and Culture (EAC) 
 03/2019 – 09/2023: Director-General – DG Communication (COMM) 
 05/2018 – 03/2019: Deputy Secretary-General – Secretariat General (SG) 
 03/ 2018 - 05 /2018: Principal Adviser – Secretariat General 
 11/2014 – 02/2018: Director for Representations in Member States. DG 
Communication (COMM) 
 11/2009 - 10/2014:  Chief Spokeswoman of the European Commission.  
Spokespersons' Service - DG Communication 
 11/2004 – 10/2009: Deputy Chief Spokeswoman and Head of the SPP Planning 
Group. From May 2006 Head of Unit of the SPP Coordination and Planning Unit.   
Spokespersons' Service - DG Communication 
 07/2004 – 11/2004:  Spokeswoman - Transition team of President-designate José 
Manuel Barroso. 
 01/2004 – 07/2004: Spokesperson assisting the Chief Spokesperson of the 
Commission. - Press and Communication Service. 
 09/1999 – 12/2003:  Spokeswoman for Environment and European Commissioner 
Margot Wallström - Press and Communication Service. 
 07/1999 – 09/1999:  Transition team member/spokesperson - Transition team of 
President-designate Romano Prodi. 
 1997 – 1999: Representations in Member States - Co-ordination of Representations in 
the Member States – former DG X-B-1 
 1995 – 1997: Competitiveness - Industrial aspects of competition. Responsible for 
international aspects, regulation, deregulation, trade and competition, enlargement, 
industry relations, training – former DG III-A-6 
Professional experience 
before joining the 
European Institutions 
 1992 – 1995: MARKET ACCESS EUROPE - EU Public Affairs consultancy - Senior 
Consultant, Associate Director, member of the Board. Public affairs strategy, political 
communication. Media, international development and personnel 
 1992: CABINET STEWART - EU Public Affairs consultancy, Brussels. Consultant. EU 
public affairs strategies and programmes 
 1991- 1992: COLLEGE OF EUROPE (Bruges). Researcher/member of INFO’ 92 team 
(managed by DG III and the Legal Service of the Commission). 
Others  1990: Co-author of “KULTUR/RETUR” - on the use of intercultural communication skills 
in international business and organisations; published by Samfundslitteratur, 
Copenhagen. 
 1989 – 1990: EUROPEAN PARLIAMENT: Schuman scholar, Directorate General for 
Resea",https://commission.europa.eu/document/download/8942e78d-8b25-43e0-a3f7-a8fbc0568daa_en?filename=cv-pia-ahrenkilde-hansen_en_0.pdf
Maja Bakran Marcich,Deputy Director-General,Directorate-General for Mobility and Transport," 
 
Maja BAKRAN MARCICH 
 
Nationality: 
 
Croatian 
Academic qualifications:  1997:  Annual Diplomatic Course at the Diplomatic Academy of the Ministry of 
Foreign Affairs - Ministry of Foreign Affairs, Zagreb 
 
 1996: M.Sc. Degree in Human Genetics, Faculty of Medicine, University of 
Zagreb 
 
 1992: Graduated from Faculty of Natural Sciences, University of Zagreb 
Degree in Biological Engineering - Ecology 
 
Professional experience in 
the European Institutions: 
 As from 01/12/2016: Deputy Director-General – Directorate-General Mobility and 
Transport (MOVE) 
 
 04-07/2023: Acting Director-General – Directorate-General Mobility and 
Transport (MOVE) 
 
Professional experience 
before joining the 
European Institutions: 
 06/2016 – 11/2016: Advisor to the Minister of Foreign and European Affairs, 
Ministry of Foreign and European Affairs, Zagreb 
 
 09/2015 - 05/2016: Director-General for European Affairs, Ministry of Foreign 
and European Affairs, Zagreb 
 
 04/2012 - 08/2015: Director for European Affairs, Ministry of Foreign and 
European Affairs, Zagreb 
 
 09/2011 – 03/2012: Advisor to the Deputy Prime Minister and Minister of Foreign 
Affairs and European Integration, Zagreb 
 
 08/2005 – 08/2011: Head of Unit for Sectoral Issues, Mission of Croatia to the 
EU, Bruxelles 
 
 10/1999 – 07/2005: First Secretary, Mission of Croatia to the EU, Bruxelles 
 
 03/1998 – 09/1999: Advisor to the Deputy Prime Minister and Minister of 
European Integration, Zagreb 
 
 07/1996 – 02/1998: OSCE Desk-Officer, Ministry of Foreign Affairs, Zagreb 
 
 10/1994 – 06/1999: Research Assistant, Institute for Anthropological Research, 
University of Zagreb 
 
 09/1993 – 09/1994: Advisor, Delegation of the European Commission, European 
Community Monitoring Mission, Zagreb 
 
 12/1992 – 08/1993: Junior Research Assistant, Institute for Anthropological 
Research, University of Zagreb 
 
 10/1991 – 11/1992: Interpreter and Liaison Officer, Croatian Liaison Office to the 
European Community Monitoring Mission (ECMM), Zagreb 
 
Honours:  1996: Order of merit (Croatian Interlace) awarded by the President of the 
Republic for extraordinary contribution to progress and promotion of Croatia and 
the wellbeing of its citizens 
 
 2016: Chevalier dans l`Ordre national du Mérite awarded by the President of the 
French Republic for exemplary contribution to the European integration of 
Croatia, achievement of European goals and contribution to bilateral relations 
 
Language Skills:  Croatian (mother tongue) 
 
 English (proficient user)  
 German, French, Italian (basic user) 
 
 ",https://commission.europa.eu/document/download/0aa3507d-b8ef-412e-9903-80a15e076ee9_en?filename=cv-maja-bakran_marcich_en_0.pdf
Matthew Baldwin,Deputy Director-General,Directorate-General for Energy," 
 
Matthew BALDWIN 
Nationality: 
 
British 
 
Academic 
qualifications: 
 9/1986 - 6/1988: Masters Degree in Public Administration 
Kennedy School of Government, Harvard University - Cambridge, 
Massachussetts, United States 
 
 10/1982 - 6/1985: BA Hons in Philosophy, Politics and Economics 
Corpus Christi College, Oxford University - Oxford, United Kingdom 
Professional experience 
in the European 
Institutions: 
 As from 1 June 2022: Deputy Director-General. Energy Directorate-General (ENER) 
 07/2016 – 05/2022: Deputy Director-General responsible for directorates C, D and E.  
Mobility and Transport Directorate-General (MOVE) 
 11/2014 – 07/2016:  Head of Cabinet to Commissioner Hill. 
 09/2014 – 11/2014/: Deputy Director-General responsible for directorates E, F, G and H, 
Trade Directorate-General (TRADE) 
 3/2011 – 9/2014: Director, Aviation and International Transport Affairs. 
Responsible for a close knit team of four units dealing with the coordination of international 
transport policy; the EU's international aviation negotiations; the development of the 
aviation single market; developing the Single European Sky for Europe's air traffic control 
system; air safety issues; EU relations with the International Civil Aviation Organisation 
(ICAO); aviation and the environment; airports and infrastructure, Mobility and Transport 
Directorate-General (MOVE) 
 1/2010 – 3/2011: Director, Market Access and Industry 
Led a team of three units, tackling a diverse range of issues: market access questions; DG 
Trade's relations with a number of different industry sectors, and Business Europe 
(including detailed issues related to raw materials policy, aerospace and cars); and issues 
relating to tariffs, standards / technical barriers to trade, including input to a number of 
different bilateral / multilateral negotiations (TRADE) 
 9/2007 – 1/2010: Advisor in the Cabinet of President Barroso 
Senior member of the Barroso cabinet, responsible for energy and climate issues; trade 
policy; and development. In particular I was responsible for the Third Energy package; for 
all issues relating to the 2009 gas crisis with Russia and Ukraine; and for the UNFCC 
climate change conference in Copenhagen, as well as a number of ""hot topics"" in trade, 
such as the Doha Round, anti-dumping cases, relations with US, China, Russia, Mercosur, 
etc. 
 4/2007 – 9/2007: Head of Unit for Multilateral Trade Policy (TRADE) 
Responsibility for the Doha Round negotiations, WTO accession negotiations, export 
credits, and dual use goods. My time in this post was cut short by the invitation to join the 
Barroso cabinet in the summer of 2007 
 10/2004 – 4/2007: Head of Unit, Market Access (TRADE)  
Responsible for the EU's Market Access Strategy and the EU Export Helpdesk for 
Developing Countries; also for EU trade relations with US, Canada, Australia, New 
Zealand, EFTA and the Faroe Islands. I also had an 8 month spell as Acting Director, then 
Director a.i",https://commission.europa.eu/document/download/3646b975-b40c-4e1f-913e-59611c18df0b_en?filename=cv-matthew-baldwin_en.pdf
Pierre Bascou,Deputy Director-General,Directorate-General for Agriculture and Rural Development,,
Nils Behrndt,Deputy Secretary-General,Secretariat-General," 
  
 
 
 
 
 
 
 
 
Nils BEHRNDT 
Nationality 
 
German 
 
Academic qualifications ➢ 2003: Ph.D on New Public Management, Faculty of Law, University of Kiel, 
Germany 
 
➢ 1999: Second State Exam in Law, Germany 
 
➢ 1994: First State Exam in Law, Germany 
 
➢ 1992: L.L.M in International Law, public international law, EU law and 
human rights law, University of Kingston-upon-Hull, United Kingdom  
 
Professional experience in 
the European Institutions 
➢ Since 16/07/2025: Deputy Secretary-General “Policy Coordination” – 
Secretariat-General (SG) 
 
➢ 10/2022 – 07/2025: Deputy Director-General – Directorate-General Justice 
and Consumers (DG JUST) 
 
➢ 12/2019 – 10/2022: Director for Consumers (DG JUST) [03/2021 – 10/2022 
Acting Deputy Director-General] 
 
➢ 11/2014 – 11/2019: Head of Cabinet of Commissioner Neven Mimica 
(portfolio: International Cooperation and Development) 
 
➢ 07/2013 – 10/2014: Head of Cabinet of Commissioner Neven Mimica 
(portfolio: Consumer Policy) 
 
➢ 02/2010 – 06/2013: Deputy Head of Cabinet of Commissioners John Dalli / 
Tonio Borg (portfolio: Health and Consumer Policy) 
 
➢ 07/2009 – 02/2010: Head of Unit for Defence, Aerospace and Maritime 
Industries (DG ENTR) 
 
➢ 05/2006 – 06/2009: Member of Cabinet of Vice-President Günter Verheugen 
(portfolio: Enterprise and Industry) 
 
➢ 02/2005 – 05/2006: Deputy Head of Unit for Pharmaceuticals (DG ENTR) 
[02/2005 – 09/2005 Acting Head of Unit] 
 
➢ 09/2003 – 01/2005: Assistant to the Director for Consumer Goods (DG 
ENTR) 
 
➢ 10/2000 – 09/2003: Administrator for Pharmaceuticals (DG ENTR) 
 
Professional experience 
before joining the 
European Institutions 
➢ 08/1999 – 09/2000: Lawyer, Law firm Johansson-Lehmann-Geiersberger, 
Kiel, Germany 
 
➢ 11/1994 – 04/2000: Research Assistant, Lorenz-von-Stein-Institue for 
administrative sciences, Kiel, Germany 
 
Language Skills German (mother tongue) 
➢ English 
➢ French 
 
",https://commission.europa.eu/document/download/e984fbfa-49e6-4829-9c09-d8811b571298_en?filename=cv-nils-behrndt_en.pdf
John Berrigan,Director-General,"Directorate-General for Financial Stability, Financial Services and Capital Markets Union"," 
 
John C. BERRIGAN 
 
Nationality: 
 
 
Irish 
 
Academic 
qualifications: 
 1985 - M.A. (Economics) awarded October - University College Dublin, Republic of Ireland 
 1983 - B.A. (Economics) awarded October - University College Dublin, Republic of Ireland 
Professional 
experience in the 
European 
Institutions: 
 Since 04/03/2020: Director-General – DG Financial Stability, Financial Services and Capital 
Markets Union (FISMA) 
 
 16/12/2015 - 03/03/2020:  Deputy Director-General in charge of Directorates B, C, D and E  in 
DG FISMA 
 
 11/2014 – 12/2015: Director for Financial System Surveillance and Crisis Management in DG 
FISMA: Part of the Directorate was transferred from DG ECFIN and remains responsible for 
analysis of financial -sector developments at global, EU and Member -State level (includ ing 
participation in the external financial assistance programmes for Greece, Ireland, Portugal, Spain 
and Cyprus). Other areas of responsibility include (a) managing the EU framework for macro -
prudential policy, including participation in the European Sys temic Risk Board; (b) 
establishing/management of EU framework for crisis management in the financial sector, notably 
through arrangements for recovery and resolution; and (c) participation in the Single Resolution 
Board in support of the Commission’s role as joint resolution authority within the Banking Union. 
 
 05/2010 – 10/2014: Director for Financial Stability and Monetary Affairs in DG ECFIN: 
Directorate was created in response to the economic and financial crisis of 2008/2009 and was 
responsible for ana lysis of financial -sector developments at global, EU and Member -State level 
(including participation in the external financial assistance programmes for EL, IE, PT, ES and 
CY). Other areas of responsibility were (a) analysis of developments in the EU banki ng sector, 
specifically in co -operation with DG COMP in applying state -aid policies; (b) development of EU -
level sovereign instruments (i.e. the EFSF, the EFSM and the ESM; and (c) monitoring 
developments in monetary policy in the euro area and the Member States, supporting the 
Commissioner in the ECB Governing Council. 
 
 05/2000 – 04/2010: Head of Unit for Financial Markets and Financial Intermediaries in DG 
ECFIN.  Unit was responsible for monitoring developments in EU financial markets, notably for 
fixed-income securities, equities and derivatives. Other areas of responsibility included monitoring 
progress in the integration of euro -denominated financial markets, progress in completing the 
Internal Market for financial services, developments in the EU vent ure capital markets, and issues 
related to prudential supervision. The Unit also provided technical/secretarial support to the 
Giovannini Group, producing two reports on EU clearing and settlement arrangements and the 
EFC Sub-Group on EU Government Bonds and Bills Markets. 
 
 01/1996 – 04/2000: Principal administrator/administrator in DG ECFIN",https://commission.europa.eu/document/download/053504f1-07d0-4a30-9dfd-0cf8122c20b2_en?filename=cv-berrigan-john-en.pdf
Lorena Boix Alonso,Deputy Director-General,Directorate-General for Defence Industry and Space," 
   
 
 
 
 
 
 
Lorena BOIX ALONSO 
Nationality 
 
Spanish 
 
Academic qualifications ➢ 1996 Master of Laws (LL.M), Harvard Law School – United States 
➢ 1993 License spéciale en droit européen, Institut d’études européennes, 
Université Libre de Bruxelles – Brussels, Belgium 
➢ 1992 Licenciatura en Derecho, Facultad de Derecho, University of Valencia – 
Valencia, Spain 
Professional experience 
in the European 
Commission 
➢ Since 1 January 2026: Deputy Director-General in the Directorate-General for 
Defence Industry and Space (DEFIS) – Brussels, Belgium 
➢ 07/2024 – 12/2025: Deputy Director General for Health responsible for 
Directorates B, C and D, DG Health and Food Safety (SANTE) – Brussels, Belgium 
➢ 12/2020 – 06/2024: Director for Digital Society, Trust and Cybersecurity, DG 
Communications Networks, Content and Technology (CNECT) – Responsible for e-
Health policies, e-privacy, e- identity and cybersecurity. Luxembourg 
➢ 01 - 07/2022: Acting Head of Unit for Cybersecurity and Digital Privacy Policy, 
DG Communications Networks, Content and Technology (CNECT) – Brussels, 
Belgium 
➢ 03/2017 – 11/2020: Head of Unit for Policy Implementation and Planning, DG 
Communications Networks, Content and Technology (CNECT) – Brussels, Belgium 
➢ 07/2018 – 11/2020: Acting Director for Policy Strategy and Outreach, DG 
Communications Networks, Content and Technology (CNECT) – Digital 
strategies and EU financial instruments, interinstitutional and international 
relations - Brussels, Belgium 
➢ 07/2012 – 02/2017: Head of Unit for Converging Media and Content, DG 
Communications Networks, Content and Technology (CNECT) – In charge of 
audiovisual and IPR - Brussels, Belgium 
➢ 02/2010 – 07/2012: Deputy Head of Cabinet, Cabinet of Commissioner Kroes 
(portfolio: Digital Agenda) – Brussels Belgium 
➢ 04/2008 – 02/2010: Deputy Head of Cabinet, Cabinet of Commissioner Kroes 
(portfolio: Competition) – Brussels, Belgium 
➢ 11/2004 – 04/2008: Member of Cabinet, Cabinet of Commissioner Kroes (portfolio: 
Competition) – Following antitrust and merger control in pharmaceutical, telecoms, 
IPR and financial sectors - Brussels, Belgium 
➢ 05/2003 – 11/2004: Desk Officer, Coordination Unit, DG Competition (COMP) – 
Antitrust coordination mainly on IPR, telecoms, pharmaceuticals and media -
Brussels, Belgium 
Professional experience 
before joining the 
European Institutions 
➢ 02/2002 – 04/2003: Deputy Director and Legal Coordinator, IPR Helpdesk 
Project Support to SMEs and researchers on IPR in research EU-funded projects – 
Alicante, Spain 
➢ 03/1998 – 12/2000: Réféndaire, Judge R. García-Valdecasa’s Cabinet, Court of 
First Instance of the European Communities 
➢ 09/1996 – 02/1998: Attorney, Van Bael & Bellis. Antitrust and merger control, 
pharma licensing agreements - Brussels, Belgium 
➢ 01 – 07/1995: Intern, Boden de Bandt de Braw Jeantet Lagerlof and Uría 
➢ 09/1993 – 12/1994: Legal Consultant, IRELCO (International Relations Consulting 
Company 
Lan",https://commission.europa.eu/document/download/769abdcd-911b-400f-a5b5-e28edc22799b_en?filename=CV%20BOIX%20ALONSO%20Lorena%20-%20EN.pdf
Claire Bury,Deputy Director-General,Directorate-General for Health and Food Safety," 
 
Claire Louise BURY 
Nationality 
 
British 
 
Academic qualifications  1983 – 1986: Bachelor of Laws L.L.B. (Hons) – University of London, King's College 
 1987 – 1988: Bar Finals – Council of Legal Education 
 1988: Call to the Bar 
 1988 – 1989: Pupillage (professional training) including Training Period in Legal Service of 
EC Commission, Training period in Chambers of Advo cate General Jacobs, European 
Court of Justice 
Professional experience 
in the European 
Institutions 
 Since 1 July 2020: Deputy Director-General responsible for Food sustainability responsible 
for directorates in charge of  Food sustainability - international relations,  Food and feed 
safety - innovation, Health and food audits and analysis  & Crisis preparedness in food , 
animals and plants in Directorate-General “Health and Food Safety” (SANTE) 
 
 01/2016 – 06/2020: Deputy Director -General responsible for d irectorates in charge of 
Electronic Communications Networks and Services, Cooperation, Digital Economy & 
Coordination and Media and Data in Directorate -General ""Communications Networks, 
Content and Technology"" (CNECT) .   
 
 12/2011 – 12/2015: Director, Directorate E, Modernisation of the Single Market (Services), 
DG GROW, previously DG Internal Market and Services. Respons ible for Services -
digitalisation of the single market, business services, retail, construction, postal services, e -
commerce and professional qualification. 
 
 06/2011 – 03/2012: Acting Director, Directorate F, Capital and Companies, DG Internal 
Market and Services. Directorate with responsibilities on movement of capital, company law 
and corporate governance, accounting and auditing. 
 
 09/2007 – 06/2011: Head of Unit DG Internal Market and Services: Unit F2, 
Corporate Governance, Social Responsibility. Unit responsible for company law files (15 
directives, 3 Regulations), corporate governance, and money laundering and financial 
crime. 
 
 11/2004 – 09/2007: Deputy Head of Cabinet of Charlie McCreevy, member of the EC 
Commission. Responsible for: company law, corporate governance and financial crime, 
accounting, auditing, industrial property. Advising on administrative affairs, budget, audit, 
anti-fraud, justice and home affairs and trade. 
 
 12/2000 – 11/2004: Member of and, from May 2004, Deputy Head of Cabinet  of 
Commissioner Frits Bolkestein, Member of the EC Commission: responsible for: intellectual 
and industrial property, services strategy, financial services, in particular financial markets. 
Advising on: justice and home affairs, institutional questions (C onvention and IGC), budget, 
enlargement. 
 
 09/1999 – 12/2000: Member of Legal Service of the EC Commission, external relations 
team : attached to UN Deputy High Representative in Pristina, responsible for advising EU 
component of the United Nations mission in Kosovo 
(UNMIK), and for other questions of EC, public international and international trade law. 
 
 01/1998 – 09/1999: Member",https://commission.europa.eu/document/download/1c69e977-20d6-4122-afa6-bbc5605bfc5c_en?filename=cv-claire-bury_en.pdf
Patrick Anthony Child,Deputy Director-General,Directorate-General for Environment," 
 
 
 
 
 
 
 
 
 
 
 
Patrick Anthony CHILD 
 
Nationality: 
 
 
British, Belgian 
 
Academic 
qualifications: ➢ 1984 - 1987: BA Degree – Mathematics 
Trinity Hall, Cambridge University, UK  
Professional 
experience in the 
European Institutions: 
 
➢ Since 1st October 2021: Deputy Director-General, Directorate-General for Environment (DG 
ENV). 
➢ 04-06/2025: Acting Director-General, Directorate-General for Environment (DG ENV). 
➢ 04/2016 – 09/2021: Deputy Director -General – Directorate-General for Research and 
Innovation (DG RTD). 
➢ 01/2011 – 04/2016: Managing Director for Administration and Finance and Chief 
Operating Officer ad -interim since November 2014 – European External Action Service 
(EEAS).  
➢ 01/2010 – 12/2011 – Director of the External Service – Directorate-General for External 
Relations (DG RELEX).   
➢ 11/2004 – 01/2010: Head of Cabinet for Ms Benita Ferrero -Waldner, Commissioner for 
External Relations and European Neighbourhood policy.   
➢ 08/2003 – 11/2004: Head of Cabinet for Chris Patten, Commissioner for External Relations. 
➢ 09/1999 – 07/2003: Member of Cabinet  for Chris Patten, Commissioner for External 
Relations. 
➢ 01/1995 – 09/1999: Press Spokesman on Economic and Monetary matters  
➢ 04/1994 – 01/1995: Administrator – Monetary Affairs Directorate.  
Professional 
experience before 
joining the European 
Institutions: 
 
➢ 09/1988 – 02/1994: Administrator – HM Treasury, UK.  
➢ 09/1987 – 09/1988: Operational Research – Inland Revenue, UK.   
 
Language Skills: ➢ English (mother tongue) 
➢ French 
➢ German 
 
",https://commission.europa.eu/document/download/b4629ae7-9b18-4c11-a010-a5e5db2303ac_en?filename=cv-patrick-child_en.pdf
Themis Christophidou,Director-General,Directorate-General for Regional and Urban Policy," 
Themis CHRISTOPHIDOU 
 
Nationality 
 
➢ Cypriot 
Academic qualifications ➢ 2017: Leadership Development Program, Harvard Business 
School 
 
➢ 1980 – 1986: MSc Civil Engineering, Athens National 
Polytechnic Metsovio 
 
Professional experience in 
the European Institutions 
➢ Since 16/09/2023: Director -General – Directorate-General 
“Regional and Urban Policy” (REGIO) 
 
➢ 03/2018 – 09/2023: Director-General - Directorate-General 
""Education, Youth, Sport and Culture"" (EAC) 
 
➢ 2014 – 02/2018: Head of Cabinet  of Commissioner Christos 
Stylianides (portfolio: H umanitarian Aid and Crisis 
Management) 
 
➢ 2011 – 2014: Head of Cabinet  of Commissioner Maria 
Damanaki (portfolio: Maritime Affairs and Fisheries) 
 
➢ 2010 – 2011: Deputy Head of Cabinet  of Commissioner 
Androulla Vassiliou  (portfolio: Education, Culture, 
Multilingualism, Youth, Sport) 
 
➢ 2010: Head of Unit , Directorate-General for Regional Policy 
(REGIO) 
 
➢ 2009: Assistant to the Director -General for Regional Policy 
(REGIO) 
 
➢ 2007 – 2008: Member of the Cabinet  of Commissioner  
Danuta Hübner (portfolio: Regional Policy) 
 
➢ 2001 – 2006: Directorate General for Regional Policy (REGIO) 
Professional experience 
before joining the European 
Institutions 
➢ 1998 – 2001: Consultant, capacity building for enlargement 
countries (Brussels) 
 
➢ 1995 – 1998: Adviser, inter-municipal cooperation, Council of 
European Municipalities and Regions (Brussels) 
 
➢ 1992 – 1994: Managing Director, Eoliki Techniki S.A. public 
works construction company (Greece) 
 
➢ 1986 – 1991: Supervision engineer , Ergodomi S.A. public 
works construction company (Greece) 
Language Skills ➢ Greek (mother tongue) 
➢ English 
➢ French 
 
",https://commission.europa.eu/document/download/13297597-dd66-4924-87cb-bffb10b5d1a7_en?filename=CV-CHRISTOPHIDOU_EN.pdf
