wikidata_id,name,term_start,wikidata_position,birth_date,birth_place,education,occupations,employers,party_history,awards,prev_positions
Q60772,Ursula von der Leyen,,,1958-10-08,Ixelles,"University of Göttingen || University of Münster || London School of Economics and Political Science || Hannover Medical School || European School, Brussels I",physician || politician || equestrian,Hannover Medical School,Christian Democratic Union,"Charlemagne Prize || Time 100 || language adulterator award || National Order of Mali || BBC 100 Women || Knight Grand Cross of the Order for Merits to Lithuania || Order of Prince Yaroslav the Wise, 1st class || BigBrotherAwards || Order of Saint Panteleimon || honorary doctor of the University of Toulouse","Federal Minister of Defence (2013-12-17 to 2019-07-17) || member of the German Bundestag (2009-10-27 to 2013-10-22) || President of the European Commission (from 2019-12-01) || member of the German Bundestag (2013-10-22 to 2017-10-24) || Federal Minister of Labour and Social Affairs (2009-11-30 to 2013-12-17) || member of the German Bundestag (2017-10-24 to 2019-07-31) || member of the Landtag of Lower Saxony (2003-03-04 to 2005-12-07) || Federal Minister for Education, Family Affairs, Senior Citizens, Women and Youth (2005-11-22 to 2009-11-30) || minister of social affairs (2003-03-04 to 2005-12-06)"
Q32681,Frans Timmermans,,,1961-05-06,Maastricht,Radboud University || Nancy-Université || Bernardinuscollege || University Nancy II || University of Lorraine || St. George's British International School,politician || diplomat || columnist,,Labour Party || GroenLinks,"Sovereign Military Order of Malta || Time 100 || Knight of the Order of Orange-Nassau || Knight of the Legion of Honour || Officer's Cross of the Order of Merit of the Republic of Poland || Grand Cross of the Order of Merit of the Republic of Poland || Grand Cross of the Order of the Lithuanian Grand Duke Gediminas || Commander of the Order of the Polar Star || Grand Cross of the Order of the Southern Cross || Order of the Cross of Terra Mariana, 1st Class || Commander of the National Order  of Merit || Grand Cross of the Order of Merit",Minister of Foreign Affairs (2012-11-05 to 2014-10-16) || Member of the European Parliament (2019-07-02 to 2019-07-02) || member of the House of Representatives of the Netherlands (1998-05-19 to 2007-02-21) || European Commissioner for Climate Action (2019-12-01 to 2023-08-22) || Secretary of State for Foreign Affairs (2007-02-22 to 2010-02-22) || vice-president of the European Commission (2019-12-01 to 2023-08-22) || Representative of the Parliamentary Assembly of the Council of Europe (2003-01-27 to 2007-04-16) || vice-president of the European Commission (2014-11-01 to 2019-12-01) || member of the House of Representatives of the Netherlands (2010-06-17 to 2012-11-04) || member of the House of Representatives of the Netherlands (2023-12-06 to 2025-11-11) || Representative of the Parliamentary Assembly of the Council of Europe (1998-09-21 to 2002-11-18)
Q57630,Valdis Dombrovskis,,,1971-08-05,Riga,Johannes Gutenberg University Mainz || Riga Technical University || University of Latvia || University of Maryland,politician || physicist || economist,University of Latvia,Unity || New Era Party,"Order of the Three Stars, 2nd Class || Order of the Cross of Terra Mariana, 1st Class || Commander First Class of the Order of the White Rose of Finland || Order of Prince Yaroslav the Wise, 1st class || Order of Prince Yaroslav the Wise, 2nd class",deputy of Saeima || Minister of Finance (2002-11-07 to 2004-03-09) || Member of the European Parliament (2014-07-01 to 2014-10-31) || deputy of Saeima (2011-10-18 to 2011-11-03) || Member of the European Parliament (2004-07-20 to 2009-03-11) || Prime Minister of Latvia (2009-03-12 to 2014-01-22) || European Commissioner for Economic Affairs (from 2019-12-01) || deputy of Saeima (2010-11-02 to 2010-11-04) || European Commissioner for Trade (from 2020-08-26) || European Commissioner for Internal Market (2016-07-16 to 2020-10-12) || deputy of Saeima (2014-01-23 to 2014-06-05) || vice-president of the European Commission (from 2019-12-01)
Q512678,Maroš Šefčovič,,,1966-07-24,Bratislava,Comenius University || Moscow State Institute of International Relations || University of Economics in Bratislava,politician || diplomat,,Communist Party of Czechoslovakia || Direction – Social Democracy,"Grand Cross of the Order of Civil Merit || Order of Prince Yaroslav the Wise, 2nd class || Gratitude Medal","Permanent Representative of Slovakia to the European Union (2004-01-01 to 2009-01-01) || European Commissioner for Inter-Institutional Relations and Administration (from 2019-12-01) || European Commissioner for Energy (2014-11-01 to 2019-11-30) || European Commissioner for Digital Single Market (2019-07-03 to 2019-11-30) || European Commissioner for Education, Culture, Multilingualism and Youth (2009-10-01 to 2010-02-09) || European Commissioner for Inter-Institutional Relations and Administration (2010-02-09 to 2014-11-01) || European Commissioner for Health and Consumer Policy (2012-10-16 to 2012-11-28) || vice-president of the European Commission (from 2019-12-01)"
Q12001809,Věra Jourová,,,1964-08-18,Třebíč,"Faculty of Law, Charles University in Prague",politician || jurist || university teacher,,Social Democracy || European Democratic Party || ANO 2011,Cena města Třebíče || honorary doctor of the University of Łódź,"Minister for Regional Development (2014-01-29 to 2014-10-03) || European Commissioner for Justice, Fundamental Rights and Citizenship (2014-11-01 to 2019-11-30) || European Commissioner for Values and Transparency (from 2019-12-01) || Member of the Chamber of Deputies of the Parliament of the Czech Republic (2013-10-26 to 2014-10-21) || vice-president of the European Commission (from 2019-12-01)"
Q299667,Dubravka Šuica,,,1957-05-20,Dubrovnik,"Faculty of Humanities and Social Sciences, University of Zagreb",politician || head teacher || language teacher,,Croatian Democratic Union,,representative in the Croatian Parliament || Member of the European Parliament (2019-07-02 to 2019-11-30) || European Commissioner for Democracy and Demography (from 2019-12-01) || Member of the European Parliament (2013-07-01 to 2014-06-30) || Member of the European Parliament (2014-07-01 to 2019-07-01) || vice-president of the European Commission (from 2019-12-01)
Q78647,Johannes Hahn,,,1957-12-02,Vienna,University of Vienna || Theresianum,politician,Austrian Federal Government,Austrian People's Party,Order of Honour,member of the regional parliament of Vienna || European Commissioner for Cohesion and Reforms (2010-02-09 to 2014-11-01) || Federal Minister of Justice (2008-12-02 to 2009-01-15) || European Commissioner for Enlargement and European Neighbourhood Policy (2014-11-01 to 2019-11-30) || European Commissioner for Financial Programming and the Budget (2019-12-01 to 2024-11-30)
Q13104358,Nicolas Schmit,,,1953-12-10,Differdange,Sciences Po Aix-en-Provence || Paul Cézanne University,politician || diplomat,,Luxembourg Socialist Workers' Party,,"Member of the Council of State || Deputy of the Chamber of Deputies of Luxembourg || Member of the European Parliament (2019-07-02 to 2019-11-30) || European Commissioner for Employment, Social Affairs and Inclusion (from 2019-12-01)"
Q1071031,Paolo Gentiloni,,,1954-11-22,Rome,Sapienza University of Rome,politician || journalist,,Democratic Party,,member of the Chamber of Deputies of the Italian Republic (2001-06-20 to 2006-04-27) || member of the Chamber of Deputies of the Italian Republic (2008-04-22 to 2013-03-14) || member of the Chamber of Deputies of the Italian Republic (2018-03-12 to 2019-12-02) || President of the Democratic Party (2019-03-17 to 2020-02-22) || member of the Chamber of Deputies of the Italian Republic (2013-03-05 to 2018-03-22) || Italian Minister of Agriculture (2018-03-13 to 2018-06-01) || member of the Chamber of Deputies of the Italian Republic (2006-04-21 to 2008-04-28) || European Commissioner for Economy (from 2019-12-01) || Italian Minister of Communications (2006-05-17 to 2008-05-08) || Prime Minister of Italy (2016-12-12 to 2018-06-01) || Italian Minister of Foreign Affairs (2014-10-31 to 2016-12-12)
Q3509201,Janusz Wojciechowski,,,1954-12-06,Rawa Mazowiecka,University of Łódź,judge || politician || jurist,Maria Curie-Skłodowska University,"Law and Justice || Polish People's Party || Polish People's Party ""Piast""",Officer of the Order of Polonia Restituta,member of the Sejm || Member of the European Parliament (2005-12-13 to 2009-07-13) || Member of the European Parliament (2009-07-14 to 2014-06-30) || Member of the European Parliament (2004-07-20 to 2005-12-12) || Member of the European Parliament (2014-07-01 to 2016-05-07) || Member of the European Parliament (2004-05-01 to 2004-07-19) || European Commissioner for Agriculture (from 2019-12-01)
