wikidata_id,name,term_start,wikidata_position,birth_date,birth_place,education,occupations,employers,party_history,awards,prev_positions
Q57661,Jean-Claude Juncker,,,1954-12-09,Redange-sur-Attert,University of Strasbourg || Lycée Michel-Rodange,lawyer || politician,,Christian Social People's Party,"Charlemagne Prize || Order of Merit of Baden-Württemberg || Order of Merit of Rhineland-Palatinate || Saarland Order of Merit || Order of Adolphe of Nassau || Steiger Award || Order of Christ || Cicero Orator Prize || Coudenhove-Kalergi Plaque || German citizenship price || Leopold Kunschak Prize || Order of Honour (Lower Austria) || National Maltese Order of Merit || European Culture Prize || Franz Josef Strauss Award || Order of Merit of the Principality of Liechtenstein || Golden Schlitzohr || Hanns Martin Schleyer Prize || Heinrich Brauns Award || Walter Hallstein Prize || Markgräfler Gutedelpreis || Medal for outstanding service to Bavaria in a united Europe || Point Alpha Prize || State Prize of North Rhine-Westphalia || Order of Stara Planina || Winfried Award || Robert Schuman Medal || Grand Officer of the Legion of Honour || Grand Cross of the Legion of Honour || Grand Cross 1st class of the Order of Merit of the Federal Republic of Germany || Great Cross with Star and Sash of the Order of Merit of the Federal Republic of Germany || Grand Cross of the Order of Vytautas the Great || Chevalier des Arts et des Lettres || Knight Grand Cross of the Order of Merit of the Italian Republic || Grand Cross of the Order of the Oak Crown || Commander of the Order of Polonia Restituta || Grand Cross of the Order of Isabella the Catholic || Dostyk Order of grade I || European handicraft prize || Grand Cross of Honor for Services to the Republic of Austria || Grand Cross of the Order of the Star of Romania || Grand Cross of the Order of Prince Henry || Grand Cross of Royal Norwegian Order of Merit || Grand Cross of the Order of Merit of the Grand Duchy of Luxembourg || Grand Cross of the Order of the Redeemer || Knight Grand Cross with Collar of the Order of Merit || Order of the Three Stars, 1st Class || Golden Duck Award || order of the Eagle of Tyrol || Order of Prince Yaroslav the Wise, 1st class || Grand Cordon of the Order of the Rising Sun || honorary doctor of the University of Athens || honorary doctorate of the University of Porto || Grand Cross of the Military Order of Christ || honorary doctor of the University of Sheffield || Prize for European Regional Integration || honorary doctor of the University of Miami || Q110801696 || honorary doctorate of Strasbourg-III University || Award ""For Freedom of Mass Media"" || The City of Athens Democracy Award",Deputy of the Chamber of Deputies of Luxembourg || President of the European Commission (2014-11-01 to 2019-11-30) || President of the Eurogroup (2005-01-01 to 2013-01-21) || Prime Minister of Luxembourg (1995-01-20 to 2013-12-04) || Deputy of the Chamber of Deputies of Luxembourg (2013-12-05 to 2014-10-27)
Q32681,Frans Timmermans,,,1961-05-06,Maastricht,Radboud University || Nancy-Université || Bernardinuscollege || University Nancy II || University of Lorraine || St. George's British International School,politician || diplomat || columnist,,Labour Party || GroenLinks,"Sovereign Military Order of Malta || Time 100 || Knight of the Order of Orange-Nassau || Knight of the Legion of Honour || Officer's Cross of the Order of Merit of the Republic of Poland || Grand Cross of the Order of Merit of the Republic of Poland || Grand Cross of the Order of the Lithuanian Grand Duke Gediminas || Commander of the Order of the Polar Star || Grand Cross of the Order of the Southern Cross || Order of the Cross of Terra Mariana, 1st Class || Commander of the National Order  of Merit || Grand Cross of the Order of Merit",Minister of Foreign Affairs (2012-11-05 to 2014-10-16) || Member of the European Parliament (2019-07-02 to 2019-07-02) || member of the House of Representatives of the Netherlands (1998-05-19 to 2007-02-21) || European Commissioner for Climate Action (2019-12-01 to 2023-08-22) || Secretary of State for Foreign Affairs (2007-02-22 to 2010-02-22) || vice-president of the European Commission (2019-12-01 to 2023-08-22) || Representative of the Parliamentary Assembly of the Council of Europe (2003-01-27 to 2007-04-16) || vice-president of the European Commission (2014-11-01 to 2019-12-01) || member of the House of Representatives of the Netherlands (2010-06-17 to 2012-11-04) || member of the House of Representatives of the Netherlands (2023-12-06 to 2025-11-11) || Representative of the Parliamentary Assembly of the Council of Europe (1998-09-21 to 2002-11-18)
Q3741557,Federica Mogherini,,,1973-06-16,Rome,Sciences Po Aix-en-Provence,politician || author,,Democratic Party || Democrats of the Left || Democratic Party of the Left || Italian Communist Youth Federation,Order of San Marino || Emperor Otto Prize || Order of Independence || Order of Honour || Dostyk Order of grade I || Decoration of Merit || Jubilee medal of 100th Anniversary of the Diplomatic Service Bodies of Azerbaijan || Order of Friendship of Kyrgyzstan,member of the Chamber of Deputies of the Italian Republic (2008-04-22 to 2013-03-14) || substitute member of the Parliamentary Assembly of the Council of Europe (2008-09-29 to 2011-11-25) || member of the Chamber of Deputies of the Italian Republic (2013-05-03 to 2014-10-30) || rector (from 2020-01-01) || Representative of the Parliamentary Assembly of the Council of Europe (2011-11-25 to 2013-06-27) || Italian Minister of Foreign Affairs (2014-02-22 to 2014-10-31) || High Representative of the Union for Foreign Affairs and Security Policy (2014-12-01 to 2019-01-01)
Q265277,Kristalina Georgieva,,,1953-08-13,Sofia,University of National and World Economy,politician || economist || chief executive officer || university teacher,Sofia University,,,UN board member || Managing Director of the International Monetary Fund (from 2019-10-01) || European Commissioner for Preparedness and Crisis Management (2010-02-09 to 2014-11-01) || European Commissioner for Financial Programming and the Budget (2014-11-01 to 2016-12-31) || acting president (2019-02-01 to 2019-04-08) || chief executive officer (2017-01-02 to 2019-01-01)
Q57638,Jyrki Katainen,,,1971-10-14,Siilinjärvi,University of Tampere,politician,,National Coalition Party,"Grand Cross of Honor for Services to the Republic of Austria || Order of the Cross of Terra Mariana, 1st Class || Grand Cross of the Order of the White Rose of Finland || Commander of the Order of the White Rose of Finland || Medal for Military Merits || Cross of Merit of the War Invalides",Prime Minister of Finland (2011-06-22 to 2014-06-24) || Deputy Prime Minister of Finland (2007-04-19 to 2011-06-22) || European Commissioner for Industry and Entrepreneurship (2014-11-01 to 2019-11-30) || European Commissioner for Economic Affairs (2014-07-18 to 2014-11-01) || Minister of Finance (2007-04-19 to 2011-06-22) || member of the Parliament of Finland (1999-03-24 to 2011-04-19) || member of the Parliament of Finland (2011-04-20 to 2014-06-30)
Q57630,Valdis Dombrovskis,,,1971-08-05,Riga,Johannes Gutenberg University Mainz || Riga Technical University || University of Latvia || University of Maryland,politician || physicist || economist,University of Latvia,Unity || New Era Party,"Order of the Three Stars, 2nd Class || Order of the Cross of Terra Mariana, 1st Class || Commander First Class of the Order of the White Rose of Finland || Order of Prince Yaroslav the Wise, 1st class || Order of Prince Yaroslav the Wise, 2nd class",deputy of Saeima || Minister of Finance (2002-11-07 to 2004-03-09) || Member of the European Parliament (2014-07-01 to 2014-10-31) || deputy of Saeima (2011-10-18 to 2011-11-03) || Member of the European Parliament (2004-07-20 to 2009-03-11) || Prime Minister of Latvia (2009-03-12 to 2014-01-22) || European Commissioner for Economic Affairs (from 2019-12-01) || deputy of Saeima (2010-11-02 to 2010-11-04) || European Commissioner for Trade (from 2020-08-26) || European Commissioner for Internal Market (2016-07-16 to 2020-10-12) || deputy of Saeima (2014-01-23 to 2014-06-05) || vice-president of the European Commission (from 2019-12-01)
Q512678,Maroš Šefčovič,,,1966-07-24,Bratislava,Comenius University || Moscow State Institute of International Relations || University of Economics in Bratislava,politician || diplomat,,Communist Party of Czechoslovakia || Direction – Social Democracy,"Grand Cross of the Order of Civil Merit || Order of Prince Yaroslav the Wise, 2nd class || Gratitude Medal","Permanent Representative of Slovakia to the European Union (2004-01-01 to 2009-01-01) || European Commissioner for Inter-Institutional Relations and Administration (from 2019-12-01) || European Commissioner for Energy (2014-11-01 to 2019-11-30) || European Commissioner for Digital Single Market (2019-07-03 to 2019-11-30) || European Commissioner for Education, Culture, Multilingualism and Youth (2009-10-01 to 2010-02-09) || European Commissioner for Inter-Institutional Relations and Administration (2010-02-09 to 2014-11-01) || European Commissioner for Health and Consumer Policy (2012-10-16 to 2012-11-28) || vice-president of the European Commission (from 2019-12-01)"
Q57640,Andrus Ansip,,,1956-10-01,Tartu,University of Tartu || Estonian University of Life Sciences || York University,businessperson || politician || entrepreneur || chemist || banker,,Communist Party of the Soviet Union || Estonian Reform Party,"Grand Cross 1st class of the Order of Merit of the Federal Republic of Germany || Order of the Three Stars, 2nd Class || Order of the National Coat of Arms, 2nd Class || Order of the White Star, 3rd Class",Prime Minister of Estonia (2011-04-05 to 2014-03-26) || Prime Minister of Estonia (2005-04-13 to 2007-04-05) || member of the Riigikogu (2014-03-26 to 2014-06-18) || Prime Minister of Estonia (2007-04-05 to 2011-04-04) || member of the Riigikogu (2007-03-27 to 2007-04-04) || Minister of Economic Affairs and Communications (2004-09-13 to 2005-04-13) || member of the Riigikogu (2003-03-22 to 2003-04-01) || Member of the European Parliament (from 2019-07-02) || mayor of Tartu (1998-09-10 to 2004-09-23) || member of the Riigikogu (2011-03-27 to 2011-04-05) || European Commissioner for Digital Single Market (2014-11-01 to 2019-07-01) || Member of the European Parliament (2014-07-01 to 2014-10-31)
Q57956,Günther Oettinger,,,1953-10-15,Stuttgart,University of Tübingen || Gymnasium Korntal-Münchingen,judge || lawyer || politician || jurist || consultant,,Christian Democratic Union,Order of Merit of Baden-Württemberg || language adulterator award || Officer's Cross of the Order of Merit of the Federal Republic of Germany || Knight Grand Cross of the Order for Merits to Lithuania,European Commissioner for Financial Programming and the Budget (2017-01-01 to 2019-11-30) || member of the Landtag of Baden-Württemberg (1984-01-01 to 2010-02-05) || European Commissioner for A Europe Fit for the Digital Age (2014-11-01 to 2017-01-01) || European Commissioner for Energy (2010-02-09 to 2014-11-01) || Minister-President of Baden-Württemberg (2005-04-21 to 2010-02-10)
Q234872,Cecilia Malmström,,,1968-05-15,Stockholm,University of Gothenburg || University of Paris 1 Pantheon-Sorbonne || Schillerska gymnasiet,politician || diplomat || political scientist || university teacher,University of Gothenburg,Liberals,honorary doctor of the University of Gothenburg,Minister for EU Affairs (2006-10-06 to 2010-01-22) || Member of the European Parliament (2004-07-20 to 2006-10-05) || European Commissioner for Trade (2014-11-01 to 2019-11-30) || European Commissioner for Home Affairs (2010-02-10 to 2014-10-31) || Member of the European Parliament (1999-07-20 to 2004-07-19)
