Name,Portfolio,Country,National_Party,EP_Group,wikidata_id,name,term_start,wikidata_position,birth_date,birth_place,education,occupations,employers,party_history,awards,prev_positions
Jacques Santer,President,LUX,CSV,EPP,Q39659,Jacques Santer,,,1937-05-18,Wasserbillig,University of Strasbourg || University of Amsterdam || Athénée de Luxembourg || Sciences Po || Lycée classique de Diekirch,lawyer || politician || banker,,Christian Social People's Party,National Order of Faithful Service || Princess of Asturias Award for Social Sciences || Robert Schuman Medal || Grand Cross of the Order of the Oak Crown || Knight Grand Cross of the Order of Leopold II || Knight Grand Cross of the Order of the Falcon || Grand Cross of the Order of Prince Henry || Grand Cross of the Order of Merit of the Grand Duchy of Luxembourg || Grand Cross of the Order of Adolphe of Nassau || honorary doctor of the University of Alicante || Grand Cordon of the Order of the Rising Sun || honorary doctor of the Fudan University || Grand Cross of the Military Order of Christ || honorary doctorate from University of Evry,Member of the European Parliament (1999-07-20 to 2004-07-19) || President of the European Commission (1995-01-25 to 1999-03-15) || Member of the European Parliament (1979-07-17 to 1979-07-18) || Prime Minister of Luxembourg (1984-07-20 to 1995-01-20) || Deputy of the Chamber of Deputies of Luxembourg (1979-06-10 to 1995-01-04)
Manuel Marin,VP – External Relations (South),ESP,PSOE,S&D,Q134961929,Manuel Marin,,,1957-01-01,,,,University of Le Havre,,,
Martin Bangemann,VP – Industrial Affairs and Information Technologies,DEU,FDP,ALDE,Q61250,Martin Bangemann,,,1934-11-15,Wanzleben,Ludwig-Maximilians-Universität München || University of Tübingen,lawyer || politician,,Free Democratic Party,Bavarian Order of Merit || Knight Commander's Cross of the Order of Merit of the Federal Republic of Germany || Grand Cross of Honor for Services to the Republic of Austria || Reinhold Maier Medal || honorary doctor of the University Lille-II,Minister of Economic Affairs (1984-06-27 to 1988-12-09) || member of the German Bundestag (1972-12-13 to 1976-12-13) || member of the German Bundestag (1987-02-18 to 1989-01-05) || European Commissioner (1989-01-01 to 1999-01-01) || member of the German Bundestag (1976-12-14 to 1980-11-04) || Secretary General of the Free Democratic Party (1974-01-01 to 1975-01-01) || Chairperson of the Free Democratic Party of Germany (1985-01-01 to 1988-01-01) || Member of the European Parliament (1979-07-17 to 1984-06-27)
Sir Leon Brittan,VP – External Relations (North/West),GBR,Con,EPP,,,,,,,,,,,,
Hans van den Broek,VP – External Political Relations and Enlargement,NLD,CDA,EPP,,,,,,,,,,,,
João de Deus Pinheiro,"VP – Relations with African, Caribbean and Pacific Countries",PRT,PSD,EPP,Q722614,João de Deus Pinheiro,,,1945-07-11,Lisbon,Technical University of Lisbon || Instituto Superior Técnico,politician,University of Minho,Social Democratic Party,Robert Schuman Medal || Grand Cross 1st class of the Order of Merit of the Federal Republic of Germany || Grand Cross of the Order of Isabella the Catholic || Grand Cross of the Order of Prince Henry || Grand Cross of the Order of the White Rose of Finland || Grand Cross of the Military Order of Christ,member of the Assembly of the Republic || Member of the European Parliament (2004-07-20 to 2009-07-13) || Minister of Foreign Affairs (1987-08-17 to 1992-11-12) || Minister of Education (1985-02-15 to 1985-11-06)
Padraig Flynn,Employment and Social Affairs,IRL,FF,ALDE,,,,,,,,,,,,
Marcelino Oreja,Institutional Relations and Communication,ESP,PP,EPP,,,,,,,,,,,,
Edith Cresson,"Research, Science and Technology; Education and Training",FRA,PS,S&D,,,,,,,,,,,,
Yves-Thibault de Silguy,Economic and Monetary Affairs,FRA,ind.,ALDE,,,,,,,,,,,,
