wikidata_id,name,term_start,wikidata_position,birth_date,birth_place,education,occupations,employers,party_history,awards,prev_positions
Q39659,Jacques Santer,,,1937-05-18,Wasserbillig,University of Strasbourg || University of Amsterdam || Athénée de Luxembourg || Sciences Po || Lycée classique de Diekirch,lawyer || politician || banker,,Christian Social People's Party,National Order of Faithful Service || Princess of Asturias Award for Social Sciences || Robert Schuman Medal || Grand Cross of the Order of the Oak Crown || Knight Grand Cross of the Order of Leopold II || Knight Grand Cross of the Order of the Falcon || Grand Cross of the Order of Prince Henry || Grand Cross of the Order of Merit of the Grand Duchy of Luxembourg || Grand Cross of the Order of Adolphe of Nassau || honorary doctor of the University of Alicante || Grand Cordon of the Order of the Rising Sun || honorary doctor of the Fudan University || Grand Cross of the Military Order of Christ || honorary doctorate from University of Evry,Member of the European Parliament (1999-07-20 to 2004-07-19) || President of the European Commission (1995-01-25 to 1999-03-15) || Member of the European Parliament (1979-07-17 to 1979-07-18) || Prime Minister of Luxembourg (1984-07-20 to 1995-01-20) || Deputy of the Chamber of Deputies of Luxembourg (1979-06-10 to 1995-01-04)
Q134961929,Manuel Marin,,,1957-01-01,,,,University of Le Havre,,,
Q61250,Martin Bangemann,,,1934-11-15,Wanzleben,Ludwig-Maximilians-Universität München || University of Tübingen,lawyer || politician,,Free Democratic Party,Bavarian Order of Merit || Knight Commander's Cross of the Order of Merit of the Federal Republic of Germany || Grand Cross of Honor for Services to the Republic of Austria || Reinhold Maier Medal || honorary doctor of the University Lille-II,Minister of Economic Affairs (1984-06-27 to 1988-12-09) || member of the German Bundestag (1972-12-13 to 1976-12-13) || member of the German Bundestag (1987-02-18 to 1989-01-05) || European Commissioner (1989-01-01 to 1999-01-01) || member of the German Bundestag (1976-12-14 to 1980-11-04) || Secretary General of the Free Democratic Party (1974-01-01 to 1975-01-01) || Chairperson of the Free Democratic Party of Germany (1985-01-01 to 1988-01-01) || Member of the European Parliament (1979-07-17 to 1984-06-27)
Q722614,João de Deus Pinheiro,,,1945-07-11,Lisbon,Technical University of Lisbon || Instituto Superior Técnico,politician,University of Minho,Social Democratic Party,Robert Schuman Medal || Grand Cross 1st class of the Order of Merit of the Federal Republic of Germany || Grand Cross of the Order of Isabella the Catholic || Grand Cross of the Order of Prince Henry || Grand Cross of the Order of the White Rose of Finland || Grand Cross of the Military Order of Christ,member of the Assembly of the Republic || Member of the European Parliament (2004-07-20 to 2009-07-13) || Minister of Foreign Affairs (1987-08-17 to 1992-11-12) || Minister of Education (1985-02-15 to 1985-11-06)
Q697552,Karel Van Miert,,,1942-01-17,Oud-Turnhout,Ghent University,politician || university teacher,Goldman Sachs,Vooruit,Vlerick Award || European handicraft prize || Ludwig Erhard Prize for Publications in Economics || Gouden Penning,member of the Chamber of Representatives of Belgium || European Commissioner for Transport (1989-01-01 to 1992-01-01) || Member of the European Parliament (1979-07-17 to 1984-07-23) || European Commissioner for Competition (1993-01-06 to 1999-09-13) || Member of the European Parliament (1984-07-24 to 1985-11-01) || member of the Flemish Parliament || Member of the European Parliament (1979-01-01 to 1985-01-01)
Q257881,Ritt Bjerregaard,,,1941-05-19,Copenhagen,University of Copenhagen,politician,,Social Democrats,Columbus-Prisen,"member of the Folketing || Lord Mayor of Copenhagen (2006-01-01 to 2009-12-31) || Minister of Social Affairs of Denmark (1979-10-26 to 1981-12-30) || state auditor (1982-10-01 to 1995-01-31) || European Commissioner for the Environment (1995-01-23 to 1999-03-15) || Representative of the Parliamentary Assembly of the Council of Europe (1991-01-28 to 1994-11-10) || Minister for Food, Agriculture and Fisheries (2000-02-23 to 2001-11-21) || Minister of Education (1973-09-27 to 1973-12-19) || member of the Folketing (2001-11-20 to 2005-02-08) || Minister of Education (1975-02-13 to 1978-12-22)"
Q66021,Monika Wulf-Mathies,,,1942-03-17,Wernigerode,,politician || trade unionist,,Social Democratic Party of Germany,,European Commissioner for Cohesion and Reforms (1995-01-23 to 1999-09-15)
Q317258,Neil Kinnock,,,1942-03-28,Tredegar,Cardiff University || Lewis School Pengam,politician,Cardiff University,Labour Party,,member of the 47th Parliament of the United Kingdom (1974-10-10 to 1979-04-07) || vice-president of the European Commission (1999-09-16 to 2004-11-21) || European Commissioner for Transport (1995-02-16 to 1999-09-16) || member of the House of Lords (from 2005-01-28) || member of the 46th Parliament of the United Kingdom (1974-02-28 to 1974-09-20) || member of the 45th Parliament of the United Kingdom (1970-06-18 to 1974-02-08) || member of the 50th Parliament of the United Kingdom (1987-06-11 to 1992-03-16) || Shadow Secretary of State for Education (1979-05-04 to 1983-10-02) || member of the 51st Parliament of the United Kingdom (1992-04-09 to 1995-01-20) || Leader of the Opposition (1983-10-02 to 1992-07-18) || Leader of the Labour Party (1983-10-02 to 1992-07-18) || Member of the Privy Council of the United Kingdom (from 1983-01-01) || member of the 48th Parliament of the United Kingdom (1979-05-03 to 1983-05-13) || member of the 49th Parliament of the United Kingdom (1983-06-09 to 1987-05-18)
Q47904,Mario Monti,,,1943-03-19,Varese,Yale University || Bocconi University,politician || economist || university teacher,University of Turin || University of Trento || Bocconi University,Civic Choice,Global Economy Prize || Robert Schuman Medal || Knight Grand Cross of the Order of Merit of the Italian Republic || honorary doctorate of CEU San Pablo University || Grand Cordon of the Order of the Rising Sun || honorary doctor of the University of Padua || honorary doctorate from Sciences Po,European Commissioner for Competition (1999-09-15 to 2004-10-30) || Italian senator for life (from 2011-11-09) || Prime Minister of Italy (2011-11-16 to 2013-04-28) || Italian Minister of Foreign Affairs (2013-03-26 to 2013-04-28) || European Commissioner for Internal Market (1995-01-18 to 1999-09-15) || Italian Minister of Economy and Finance (2011-11-16 to 2012-07-11)
Q78587,Franz Fischler,,,1946-09-23,Absam,"University of Natural Resources and Life Sciences, Vienna",politician,Austrian Federal Government,Austrian People's Party,"Robert Schuman Medal || Knight of the Order of St. Gregory the Great || Q19298765 || honorary doctorate of the University of Natural Resources and Life Sciences, Vienna",member of the National Council of Austria || European Commissioner for Maritime Affairs and Fisheries || European Commissioner for Maritime Affairs and Fisheries (1999-09-16 to 2004-11-21) || European Commissioner for Agriculture (1995-01-23 to 2004-11-21)
