role,name,department
Director-General,Pia Ahrenkilde Hansen,"Directorate-General for Education, Youth, Sport and Culture"
Deputy Director-General,Maja Bakran Marcich,Directorate-General for Mobility and Transport
Deputy Director-General,Matthew Baldwin,Directorate-General for Energy
Deputy Director-General,Pierre Bascou,Directorate-General for Agriculture and Rural Development
Deputy Secretary-General,Nils Behrndt,Secretariat-General
Director-General,John Berrigan,"Directorate-General for Financial Stability, Financial Services and Capital Markets Union"
Deputy Director-General,Lorena Boix Alonso,Directorate-General for Defence Industry and Space
Deputy Director-General,Claire Bury,Directorate-General for Health and Food Safety
Deputy Director-General,Patrick Anthony Child,Directorate-General for Environment
Director-General,Themis Christophidou,Directorate-General for Regional and Urban Policy
Deputy Director-General,Declan Costello,Directorate-General for Economic and Financial Affairs
Director-General,Alberto De Gregorio Merino,Legal service
Director-General,Koen Doens,Directorate-General for International Partnerships
Deputy Director-General,Joanna Drake,Directorate-General for Research and Innovation
Deputy Director-General,Jan Dusík,Directorate-General for Climate Action
Director-General,Christos Ellinides,Directorate-General for Translation
Deputy Director-General,Sophia Eriksson Waterschoot,Directorate-General for Communication
Deputy Director-General,Myriam Ferran,Directorate-General for International Partnerships
Director-General,Florika Fink-Hooijer,Health Emergency Preparedness and Response Authority
Director-General,Veronica Gaffey,Directorate-General for Digital Services
Director-General,Ana Gallego Torres,Directorate-General for Justice and Consumers
Director-General,Sandra Gallina,Directorate-General for Health and Food Safety
Deputy Director-General,Hubert Gambs,Directorate-General for Justice and Consumers
Director-General,Céline Gauer,Reform and Investment Task Force
Director-General,Beate Gminder,Directorate-General for Migration and Home Affairs
Deputy Director-General,Idilkó Horváth,Directorate-General for Translation
Deputy Director-General,Marjeta Jager,Directorate-General for International Partnerships
Director-General,Kerstin Jorna,"Directorate-General for Internal Market, Industry, Entrepreneurship and SMEs"
Deputy Director-General,Alexandra Jour-Schroeder,"Directorate-General for Financial Stability, Financial Services and Capital Markets Union"
Secretary-General,Ilze Juhansone,Secretariat-General
Director-General,Ditte Juul Jørgensen,Directorate-General for Energy
Director-General,Agnieszka KAŹMIERCZAK,Internal Audit Service
Director-General,Petr Klement,European Anti-Fraud Office
Director-General,Gert Jan Koopman,Directorate-General for Enlargement and Eastern Neighbourhood
Director-General,Magda Kopczyńska,Directorate-General for Mobility and Transport
Director-General,Mariana Kotzeva,Eurostat
Deputy Director-General,Clemens Ladenburger,Legal service
Deputy Secretary-General,Pascal Leardini,Secretariat-General
Director-General,Marc Lemaître,Directorate-General for Research and Innovation
Deputy Director-General,Guillaume Loriot,Directorate-General for Competition
Deputy Director-General,Johannes Luchner,Directorate-General for Migration and Home Affairs
Director-General,Bernard Magenhann,Joint Research Centre
Director-General,Eric Mamer,Directorate-General for Environment
Deputy Director-General,Maria Martin-Prat De Abreu,Directorate-General for Trade and Economic Security
Deputy Director-General,Linsey McCallum,Directorate-General for Competition
Deputy Director-General,Irena Moozová,Directorate-General for Justice and Consumers
Deputy Director-General,Valère Moutarlier,"Directorate-General for Internal Market, Industry, Entrepreneurship and SMEs"
Director-General,Mario Nava,"Directorate-General for Employment, Social Affairs and Inclusion"
Deputy Director-General,Renate Nikolay,"Directorate-General for Communications Networks, Content and Technology"
Deputy Director-General,Stefan Olsson,"Directorate-General for Employment, Social Affairs and Inclusion"
Deputy Director-General,Olivier Onidi,Directorate-General for Migration and Home Affairs
Director-General,Timo Pesonen,Directorate-General for Defence Industry and Space
Deputy Director-General,Normunds Popens,"Directorate-General for Education, Youth, Sport and Culture"
Director-General,Maciej Popowski,Directorate-General for European Civil Protection and Humanitarian Aid Operations (ECHO)
Director-General,Stephen Quest,Directorate-General for Human Resources and Security
Deputy Director-General,Denis Redonnet,Directorate-General for Trade and Economic Security
Director-General,Stéphanie Riso,Directorate-General for Budget
Deputy Director-General,Christian Roques,Directorate-General for Human Resources and Security
Deputy Director-General,Leopoldo Rubinacci,Directorate-General for Trade and Economic Security
Deputy Director-General,Herald Ruijters,Directorate-General for Defence Industry and Space
Director-General,Genoveva Ruiz Calavera,Directorate-General for Interpretation
Deputy Director-General,Maive Rute,"Directorate-General for Internal Market, Industry, Entrepreneurship and SMEs"
Deputy Director-General,Salla Saastamoinen,European Anti-Fraud Office
Deputy Director-General,Kestutis Sadauskas,Directorate-General for Maritime Affairs and Fisheries
Deputy Director-General,Ilkka Salmi,Directorate-General for Human Resources and Security
Deputy Director-General,Beatriz Sanz Redrado,Directorate-General for Budget
Deputy Director-General,Colin Scicluna,Directorate-General for Interpretation
Deputy Director-General,Martin Seychell,Directorate-General for International Partnerships
Deputy Director-General,Thomas Skordas,"Directorate-General for Communications Networks, Content and Technology"
Deputy Director-General,Hugo Sobral,Directorate-General for Regional and Urban Policy
Deputy Director-General,Despina Spanou,"Directorate-General for Communications Networks, Content and Technology"
Director-General,Dana Spinant,Directorate-General for Communication
Deputy Director-General,Andriana Sukova,"Directorate-General for Employment, Social Affairs and Inclusion"
Deputy Director-General,Athanasios Thanopoulos,Eurostat
Director-General,Gerassimos Thomas,Directorate-General for Taxation and Customs Union
Deputy Director-General,Philippe Van Damme,Directorate-General for Digital Services
Director-General,Kurt Vandenberghe,Directorate-General for Climate Action
Director-General,Maarten Verwey,Directorate-General for Economic and Financial Affairs
Director-General,Roberto Viola,"Directorate-General for Communications Networks, Content and Technology"
Director-General,Charlina Vitcheva,Directorate-General for Maritime Affairs and Fisheries
Deputy Secretary-General,John Watson,Secretariat-General
Director-General,Elisabeth Werner,Directorate-General for Agriculture and Rural Development
Director-General,Sabine Weyand,Directorate-General for Trade and Economic Security
Director-General,Anthony Whelan,Directorate-General for Competition
