Name,Country,Country_code,Commission,Prior_position,Prior_position_date,Prior_role_type,Education_clusters,Named_institutions,Degrees,Any_elite_institution,Has_PhD,Has_Law,Has_PolSci,Atlanticist_orgs,N_atlanticist_ties,Atlanticist_flag
Benita Ferrero-Waldner,Austria,AUT,Barroso I (2004–09),Federal Minister of Foreign Affairs of Austria,2004-10-20,National minister,,,,False,False,False,False,,0,False
Louis Michel,Belgium,BEL,Barroso I (2004–09),,,Other,,,,False,False,False,False,,0,False
Meglena Kuneva,Bulgaria,BGR,Barroso I (2004–09),Minister for European Affairs,2017-01-27,National minister,UK elite,Oxford,,True,False,False,False,Council on Foreign Relations | ECFR,2,True
Markos Kyprianou,Cyprus,CYP,Barroso I (2004–09),Cypriot Minister of Foreign Affairs,2011-08-05,National minister,US elite,Harvard,,True,False,False,False,,0,False
Vladimír Špidla,Czechia,CZE,Barroso I (2004–09),Member of the Chamber of Deputies of the Parliament of the Czech Republic,2004-08-31,National parliament,,,,False,False,False,False,,0,False
Mariann Fischer Boel,Denmark,DNK,Barroso I (2004–09),"Minister for Food, Agriculture and Fisheries",2004-08-02,National minister,,,,False,False,False,False,,0,False
Siim Kallas,Estonia,EST,Barroso I (2004–09),member of the Riigikogu,2019-04-04,National parliament,,,,False,False,False,False,,0,False
Olli Rehn,Finland,FIN,Barroso I (2004–09),Governor of the Bank of Finland,2018-07-12,Regional / local govt,,,,False,False,False,False,Trilateral Commission | World Economic Forum / Davos,2,True
Jacques Barrot,France,FRA,Barroso I (2004–09),member of the Consitutional council,2014-12-01,Other,French grande école,Sciences Po,,True,False,False,False,,0,False
Günter Verheugen,Germany,DEU,Barroso I (2004–09),member of the German Bundestag,1999-09-06,National parliament,,,Political Science degree,False,False,False,True,Council on Foreign Relations,1,True
Stavros Dimas,Greece,GRC,Barroso I (2004–09),Minister for Foreign Affairs of Greece,2012-05-17,National minister,,,Law degree,False,False,True,False,,0,False
László Kovács,Hungary,HUN,Barroso I (2004–09),member of the National Assembly of Hungary,2014-05-05,National parliament,,,,False,False,False,False,NATO (advisory/non-state role),1,True
Charlie McCreevy,Ireland,IRL,Barroso I (2004–09),Teachta Dála,2004-10-31,National parliament,,,,False,False,False,False,Bilderberg,1,True
Antonio Tajani,Italy,ITA,Barroso I (2004–09),secretary,2023-07-15,Other,,,,False,False,False,False,,0,False
Franco Frattini,Italy,ITA,Barroso I (2004–09),member of the Chamber of Deputies of the Italian Republic,2013-03-14,National parliament,,,,False,False,False,False,Aspen Institute,1,True
Algirdas Šemeta,Lithuania,LTU,Barroso I (2004–09),Minister of Finance,2009-06-30,National minister,,,,False,False,False,False,,0,False
Dalia Grybauskaitė,Lithuania,LTU,Barroso I (2004–09),President of the Republic of Lithuania,2019-07-12,Head of state,US elite,Georgetown,PhD/Doctorate,True,True,False,False,,0,False
Viviane Reding,Luxembourg,LUX,Barroso I (2004–09),Deputy of the Chamber of Deputies of Luxembourg,2022-10-01,National parliament,,,PhD/Doctorate,False,True,False,False,,0,False
Joe Borg,Malta,MLT,Barroso I (2004–09),Minister for Foreign Affairs,2004-03-23,National minister,,,Law degree | PhD/Doctorate,False,True,True,False,,0,False
Neelie Kroes,Netherlands,NLD,Barroso I (2004–09),"Minister of Transport, Public Works and Water Management",1989-11-07,National minister,,,,False,False,False,False,Bilderberg,1,True
Danuta Hübner,Poland,POL,Barroso I (2004–09),Member of the European Parliament,2024-07-15,MEP,National elite,SGH Warsaw,PhD/Doctorate,True,True,False,False,Council on Foreign Relations | ECFR,2,True
Leonard Orban,Romania,ROU,Barroso I (2004–09),,,Unknown,,,,False,False,False,False,,0,False
Ján Figeľ,Slovakia,SVK,Barroso I (2004–09),substitute member of the Parliamentary Assembly of the Council of Europe,2004-10-04,National parliament,,,PhD/Doctorate,False,True,False,False,,0,False
Janez Potočnik,Slovenia,SVN,Barroso I (2004–09),,,Unknown,UK elite,Imperial College London,Economics degree | PhD/Doctorate,True,True,False,False,,0,False
Joaquín Almunia,Spain,ESP,Barroso I (2004–09),Member of the Congress of Deputies,2004-04-26,National parliament,UK elite | US elite,Cambridge | Harvard,,True,False,False,False,Council on Foreign Relations | ECFR | Friends of Europe,3,True
Margot Wallström,Sweden,SWE,Barroso I (2004–09),Deputy Prime Minister of Sweden,2019-09-10,National minister,,,,False,False,False,False,Council on Foreign Relations | ECFR,2,True
Peter Mandelson,United Kingdom,GBR,Barroso I (2004–09),Member of the Privy Council of the United Kingdom,2026-03-10,National parliament,,,,False,False,False,False,Bilderberg,1,True
Johannes Hahn,Austria,AUT,Barroso II (2010–14),Federal Minister of Justice,2009-01-15,National minister,,,,False,False,False,False,,0,False
Karel De Gucht,Belgium,BEL,Barroso II (2010–14),member of the Chamber of Representatives of Belgium,2010-05-07,National parliament,EU-axis (CoE/EUI/ULB),ULB Brussels,,True,False,False,False,,0,False
Kristalina Georgieva,Bulgaria,BGR,Barroso II (2010–14),Managing Director of the International Monetary Fund,2019-10-01,Academic / think tank,UK elite | US elite,LSE | MIT,PhD/Doctorate,True,True,False,False,Atlantic Council | Council on Foreign Relations | ECFR | World Economic Forum / Davos,4,True
