Name,Country_code,Country,Commission,Education_clusters,Named_institutions,Degrees_detected,Any_elite,US_elite,UK_elite,French_grande_ecole,EU_axis,National_elite,Has_PhD,Has_Law,Has_Economics,Has_PolSci
Benita Ferrero-Waldner,AUT,Austria,Barroso I (2004–09),,,,False,False,False,False,False,False,False,False,False,False
Johannes Hahn,AUT,Austria,Barroso II (2010–14),,,,False,False,False,False,False,False,False,False,False,False
Magnus Brunner,AUT,Austria,VdL II (2024–29),UK elite,King's College London,,True,False,True,False,False,False,False,False,False,False
Didier Reynders,BEL,Belgium,VdL I (2019–24),,,,False,False,False,False,False,False,False,False,False,False
Hadja Lahbib,BEL,Belgium,VdL II (2024–29),EU-axis (CoE/EUI/ULB),ULB Brussels,,True,False,False,False,True,False,False,False,False,False
Karel De Gucht,BEL,Belgium,Barroso II (2010–14),EU-axis (CoE/EUI/ULB),ULB Brussels,,True,False,False,False,True,False,False,False,False,False
Louis Michel,BEL,Belgium,Barroso I (2004–09),,,,False,False,False,False,False,False,False,False,False,False
Marianne Thyssen,BEL,Belgium,Juncker (2014–19),,,Law degree,False,False,False,False,False,False,False,True,False,False
Ekaterina Zaharieva,BGR,Bulgaria,VdL II (2024–29),French grande école,ENA,,True,False,False,True,False,False,False,False,False,False
Iliana Ivanova,BGR,Bulgaria,VdL I (2019–24),,,,False,False,False,False,False,False,False,False,False,False
Kristalina Georgieva,BGR,Bulgaria,Barroso II (2010–14),UK elite | US elite,LSE | MIT,PhD/Doctorate,True,True,True,False,False,False,True,False,False,False
Mariya Gabriel,BGR,Bulgaria,VdL I (2019–24),French grande école,Sciences Po,,True,False,False,True,False,False,False,False,False,False
Meglena Kuneva,BGR,Bulgaria,Barroso I (2004–09),UK elite,Oxford,,True,False,True,False,False,False,False,False,False,False
Dubravka Šuica,HRV,Croatia,VdL I (2019–24),,,,False,False,False,False,False,False,False,False,False,False
Neven Mimica,HRV,Croatia,Barroso II (2010–14),,,Economics degree,False,False,False,False,False,False,False,False,True,False
