wikidata_id,name,employer
Q57630,Valdis Dombrovskis,University of Latvia
Q60772,Ursula von der Leyen,Hannover Medical School
Q78647,Johannes Hahn,Austrian Federal Government
Q3509201,Janusz Wojciechowski,Maria Curie-Skłodowska University
Q2142823,Thierry Breton,Harvard University
Q2142823,Thierry Breton,Groupe Bull
Q2142823,Thierry Breton,Futuroscope
Q2142823,Thierry Breton,Q2931402
Q2142823,Thierry Breton,Lycée français de New York
Q14520235,Wopke Hoekstra,Shell
Q14520235,Wopke Hoekstra,Procter & Gamble
Q14520235,Wopke Hoekstra,McKinsey & Company
Q27653570,Virginijus Sinkevičius,"Lietuvos paštas, AB"
Q27653570,Virginijus Sinkevičius,Invest Lithuania
