ep_id,name,country,group,section_a_items,section_c_items,section_a_count,section_c_count,pdf_path
256810,Mika AALTOLA,Finland,Group of the European People's Party (Christian Democrats),Director of the Finnish Institute of International Affairs12150 || Professor of International Relations at Tallin University1050 || Board Member of Artic Center University of Lapland300,Board Member of Artic Center University of Lapland300,3,1,declarations/256810_Mika_AALTOLA.pdf
257043,Maravillas ABADÍA JOVER,Spain,Group of the European People's Party (Christian Democrats),"Funcionaria habilitada nacional - Secretaria General Ayuntamiento de Alcantarilla, Murcia5485 || Presidenta Colegio Oficial de Secretarios, Interventores y Tesoreros de Administración local con habilitación nacional de la Región de Murcia || V ocal Asociación de padres y protectores de minusválidos psíquicos (ASPAPROS) || Formadora en cursos de diferentes plataformas500 || Autora de diferentes publicaciones 250",,5,0,declarations/257043_Maravillas_ABADÍA_JOVER.pdf
197490,Magdalena ADAMOWICZ,Poland,Group of the European People's Party (Christian Democrats),Poseł do Parlamentu Europejskiego informacja publicznamiesięcznie || Komisja Prawa Morskiego PAN || Polskie Stowarzyszenie Prawa Morskiego PMLA || Międzynarodowy Ruch Europejski || Fundacja Instytut Pawła Adamowicza Gdańsk || Wykladowca akademicki - Uniwersystet Gdański4940 || Wykladowca akademicki - AWFiS Gdańsk 4382 || Członkostwo w radzie nadzorczej - TUW Warszawa5062 || Członkostwo w radzie nadzorczej - Transrem sp. z o.o.3535 || Dochód z najmu 17608,Fundacja Instytut Pawła Adamowicza Gdańsk || Międzynarodowy Ruch Europejski || Komisja Prawa Morskiego PAN || Polskie Stowarzyszenie Prawa Morskiego PMLAXPL,10,4,declarations/197490_Magdalena_ADAMOWICZ.pdf
256820,Georgios AFTIAS,Greece,Group of the European People's Party (Christian Democrats),Δημοσιογράφος τηλεοπτικού σταθμού ΣΚΑΙ 11000 || Καθηγητής δημοσιογραφίας στο Ιδιωτικό ΙΕΚ Όμηρος50,,2,0,declarations/256820_Georgios_AFTIAS.pdf
256987,Oihane AGIRREGOITIA MARTÍNEZ,Spain,Renew Europe Group,"Directora General de Buen Gobierno, Atencion Ciudadana y Servicios Digitales en la Diputacion Foral de Bizkaia (desde julio del 2023 hasta el 15 de julio de 2024), se indica el salario mensual bruto del mes de mayo del 20246739 || Tecnico del Departamento de Atencion y Gestion del Negocio en Lantik SA (desde mediados de junio de 2023 hasta principios de julio 2023). Se indican los ingresos obtenidos en ese periodo segun 10T para la declaracion de la Renta del año 20238046 || Concejala en el Ayuntamiento de Bilbao (desde junio del 2011 hasta junio del 2023, se indica el salario bruto del 10T de cara a la declaracion de la renta 2023 correspondiente a los 6 meses del año 2023 trabajados en esa institucion.)37523 || Miembro de Patronato de BiscayTIK Fundacion Publica Foral || Miembro de Consejo de Administracion de Garbiker Sociedad Publica Foral || Miembro del Consejo de Administracion de Lantik SA, Sociedad Publica Foral || Miembro del Consejo de Administracion de Zugaztel, Sociedad Publica Foral || Presidenta de la socidedad Publica Municipal BilbaoTIK y Presidenta de su Consejo de AdministracionXES",,8,0,declarations/256987_Oihane_AGIRREGOITIA_MARTÍNEZ.pdf
113523,Peter AGIUS,Malta,Group of the European People's Party (Christian Democrats),European Public Official 15000,,1,0,declarations/113523_Peter_AGIUS.pdf
197403,Alex AGIUS SALIBA,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Membru tal-Parlament Ewropew Informazzjoni pubblikakull xaharMT,Ezekuttiv Nazzjonali u Grupp Parlamentari tal-Partit LaburistaXMT,1,1,declarations/197403_Alex_AGIUS_SALIBA.pdf
256956,Galato ALEXANDRAKI,Greece,European Conservatives and Reformists Group,Συνταξιούχος 750,,1,0,declarations/256956_Galato_ALEXANDRAKI.pdf
256869,Grégory ALLIONE,France,Renew Europe Group,Membre du Conseil d'Administration de la Fédération Nationale de Sapeurs Pompiers de France || Directeur École Nationale des officiers de sapeurs pompiers133551 || Directeur du service departemental d'incendie et de secours des Bouches du Rhône106233 || Directeur du service departemental d'incendie et de secours des Bouches du Rhône106023,Membre du Conseil d'Administration de la Fédération Nationale de Sapeurs Pompiers de France || Officier des sapeurs pompiers volontaires,4,2,declarations/256869_Grégory_ALLIONE.pdf
197400,Abir AL-SAHLANI,Sweden,Renew Europe Group,Member of the European Parliament Public Information Månadsvis || Member of board National Centre Party XSV,Member of board National Centre Party XSV,2,1,declarations/197400_Abir_AL-SAHLANI.pdf
