Person,Category,Institution,Field of Study,Degree,Source Type,Source Name,Evidence Quote
Adina-Ioana Vălean,commissioner,(None Explicitly Named),,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Vălean has a master's degree in European Integration and Security Studies, postgraduate studies in National Security and Defence Management and a bachelor's degree in Mathematics."
Andris Piebalgs,commissioner,University Of Latvia,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Piebalgs is a graduate in Physics from the University of Latvia.
Andrius Kubilius,commissioner,22Nd Secondary School In Vilnius,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"After graduation from the 22nd secondary school in Vilnius, Kubilius was accepted to Vilnius University and studied in the Faculty of Physics until 1979."
Andrius Kubilius,commissioner,Vilnius University,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),He continued his academic career and postgraduate studies at Vilnius University from 1981 to 1984.
Androulla Vassiliou,commissioner,London Institute Of World Affairs,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Between 1961 and 1964, she studied law at Middle Temple (Inn of Court) in London, United Kingdom, and then between 1964 and 1966, she studied international affairs at the London Institute of World Affairs (United Kingdom)."
Androulla Vassiliou,commissioner,Middle Temple (Inn Of Court),,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Between 1961 and 1964, she studied law at Middle Temple (Inn of Court) in London, United Kingdom, and then between 1964 and 1966, she studied international affairs at the London Institute of World Affairs (United Kingdom)."
Andrus Ansip,commissioner,University Of Tartu,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Born in Tartu, Ansip graduated from the University of Tartu with a degree in chemistry in 1979."
Anita Gradin,commissioner,British School Of Economics,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Gradin graduated in 1950, studied at the Swedish School of 1953, at the 1954 British School of Economics, at the Nordic Folk High School in Geneva in 1958, and became a socialist in Stockholm in 1960."
Anita Gradin,commissioner,Nordic Folk High School In Geneva,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Gradin graduated in 1950, studied at the Swedish School of 1953, at the 1954 British School of Economics, at the Nordic Folk High School in Geneva in 1958, and became a socialist in Stockholm in 1960."
Anita Gradin,commissioner,Swedish School Of 1953,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Gradin graduated in 1950, studied at the Swedish School of 1953, at the 1954 British School of Economics, at the Nordic Folk High School in Geneva in 1958, and became a socialist in Stockholm in 1960."
Antonio Tajani,commissioner,Borgo Piave Di Latina,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"After attending the high specialization course in air defense at Borgo Piave di Latina, he was air defense controller at the San Giovanni Teatino radar base."
Antonio Tajani,commissioner,Liceo Torquato Tasso In Rome,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Tajani attended the Liceo Torquato Tasso in Rome and graduated in law from the Sapienza University of Rome; he was a reserve officer of the Italian Air Force.
Antonio Tajani,commissioner,Sapienza University Of Rome,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Tajani attended the Liceo Torquato Tasso in Rome and graduated in law from the Sapienza University of Rome; he was a reserve officer of the Italian Air Force.
António Vitorino,commissioner,University Of Lisbon,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Vitorino graduated in law from the University of Lisbon.
Apostolos Tzitzikostas,commissioner,Georgetown University,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Tzitzikostas studied politics and diplomacy at Georgetown University and worked at the office of the Chair of the United States House Committee on Foreign Affairs.
Apostolos Tzitzikostas,commissioner,UCL,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Following his graduation in Public Policy and Economics at the University College of London, he returned to Greece."
Apostolos Tzitzikostas,commissioner,University College London,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Following his graduation in Public Policy and Economics at the University College of London, he returned to Greece."
Benita Ferrero-Waldner,commissioner,University Of Salzburg,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),receiving a doctorate from the University of Salzburg in 1970.
Carlos Moedas,commissioner,Enpc (Paris),,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),He spent his final year studying at the ENPC (Paris) via the Erasmus Programme.
Carlos Moedas,commissioner,Harvard,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"He then took postgraduate studies at Harvard Business School, graduating in 2000 with the degree of MBA, after which he came back to Europe to work in mergers and acquisitions for Goldman Sachs."
Carlos Moedas,commissioner,Harvard,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"He then took postgraduate studies at Harvard Business School, graduating in 2000 with the degree of MBA."
Carlos Moedas,commissioner,University Of Lisbon,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"He studied at Lisbon University, graduating in 1993 with a degree in Civil Engineering from the Instituto Superior Técnico."
Catherine Ashton,commissioner,"Bedford College, London",,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"She graduated with a Bachelor of Science degree in Sociology in 1977 from Bedford College, London (now part of Royal Holloway, University of London)."
Catherine Ashton,commissioner,Upholland Grammar School,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Ashton attended Upholland Grammar School in Billinge Higher End, Lancashire, then Wigan Mining and Technical College, Wigan."
Catherine Ashton,commissioner,Wigan Mining And Technical College,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Ashton attended Upholland Grammar School in Billinge Higher End, Lancashire, then Wigan Mining and Technical College, Wigan."
Cecilia Malmström,commissioner,University Of Gothenburg,Political Science,PhD,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"She was a student at the University of Gothenburg from 1992 to 1999, becoming a research assistant (1994)."
Charlie McCreevy,commissioner,Gormanston College,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Born in Sallins, County Kildare, McCreevy was educated locally at Naas by the Congregation of Christian Brothers at Naas C.B.S., and later at Gormanston College."
Charlie McCreevy,commissioner,Naas C.B.S.,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Born in Sallins, County Kildare, McCreevy was educated locally at Naas by the Congregation of Christian Brothers at Naas C.B.S., and later at Gormanston College."
Charlie McCreevy,commissioner,University College Dublin,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),He studied commerce at University College Dublin and went on to become a chartered accountant.
Chris Patten,commissioner,"Balliol College, Oxford",,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"He studied history at Balliol College, Oxford, and, after graduating in 1965, he began working for the Conservative Party."
Chris Patten,commissioner,Our Lady Of The Visitation,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Frank and his mother Joan sent him to a Catholic primary school, Our Lady of the Visitation, in Greenford, and later awarded a scholarship to the independent St Benedict's School in Ealing, west London, where he won an exhibition to read Modern History at Balliol College, Oxford."
Chris Patten,commissioner,St Benedict'S School,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Frank and his mother Joan sent him to a Catholic primary school, Our Lady of the Visitation, in Greenford, and later awarded a scholarship to the independent St Benedict's School in Ealing, west London, where he won an exhibition to read Modern History at Balliol College, Oxford."
Chris Patten,commissioner,University Of Oxford,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"He studied history at Balliol College, Oxford, and, after graduating in 1965, he began working for the Conservative Party."
Christophe Hansen,commissioner,Louis Pasteur University In Strasbourg,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"After finishing his secondary education at the Lycée du Nord in Wiltz (1995–2002), he went on to study at Louis Pasteur University in Strasbourg, where he completed a master's degree in Geosciences, Environmental Sciences and Risk Management."
Christophe Hansen,commissioner,Lycée Du Nord In Wiltz,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"After finishing his secondary education at the Lycée du Nord in Wiltz (1995–2002), he went on to study at Louis Pasteur University in Strasbourg, where he completed a master's degree in Geosciences, Environmental Sciences and Risk Management."
Christos Papoutsis,commissioner,National And Kapodistrian University,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"He was born in Larissa, Greece, in 1953 and later moved to Athens where he studied Economics at the National and Kapodistrian University."
Christos Stylianides,commissioner,Aristotelian University,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"In 1984, he received his degree as dental surgeon from Aristotelian University in Thessaloniki, Greece."
Christos Stylianides,commissioner,Harvard,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),He later received executive education in International Development at the John F. Kennedy School of Government at Harvard University.
Christos Stylianides,commissioner,Harvard,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),He later received executive education in International Development at the John F. Kennedy School of Government at Harvard University.
Connie Hedegaard,commissioner,"University Of Copenhagen (Implied By ""Ma In Literature And History"")",,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Connie Hedegaard holds an MA in Literature and History.
Corina Crețu,commissioner,Bucharest Academy Of Economic Studies,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Wikidata P69: Bucharest University of Economic Studies
Costas Kadis,commissioner,University Of Athens,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),He received his PhD from the same university in 1995.
Dalia Grybauskaitė,commissioner,A. A. Zhdanov State University In Leningrad,,PhD,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"She then enrolled in A. A. Zhdanov State University in Leningrad, as a student of political economy."
Dalia Grybauskaitė,commissioner,Academy Of Social Sciences,,PhD,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"In 1988, she defended her PhD thesis at Moscow (Academy of Social Sciences)."
Dalia Grybauskaitė,commissioner,Edmund A. Walsh School Of Foreign Service At Georgetown University,,PhD,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"In 1990, soon after Lithuania reestablished its independence from the Soviet Union, Grybauskaitė continued her studies at the Edmund A. Walsh School of Foreign Service at Georgetown University, Washington D.C., in the Special Programme for senior executives."
Dalia Grybauskaitė,commissioner,Georgetown University,,PhD,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"In 1990, soon after Lithuania reestablished its independence from the Soviet Union, Grybauskaitė continued her studies at the Edmund A. Walsh School of Foreign Service at Georgetown University, Washin"
