Name,Portfolio,Country,National_Party,EP_Group,wikidata_id,name,term_start,wikidata_position,birth_date,birth_place,education,occupations,employers,party_history,awards,prev_positions
Romano Prodi,President,ITA,PD,S&D,Q38484,Romano Prodi,,,1939-08-09,Scandiano,Harvard University || London School of Economics and Political Science || Catholic University of the Sacred Heart,businessperson || politician || economist || university teacher,Harvard University || University of Bologna,Democratic Party || Christian Democracy || The Olive Tree || The Democrats || Italian People's Party,"Order of King Abdulaziz al Saud || Grand Cross of the Order of Merit of Hungary || Steiger Award || Grand Cross of the Legion of Honour || Knight Grand Cross of the Order of Merit of the Italian Republic || Grand Cross of the Order of Isabella the Catholic || Decoration for Exceptional Merits || Grand Cross of the Order of Merit of the Republic of Poland || Honorary doctor of the Catholic University of Louvain || Grand Cross of the Order of the Star of Romania || Order of the Three Stars, 1st Class || honorary doctor of the Moscow State Institute of International Relations || Grand Cross of the Order of the White Double Cross || honorary doctor of the University Polytechnic of Catalonia || Grand Cordon of the Order of the Rising Sun || Viareggio-Versilia International Prize || honorary doctorate of the University of Tirana || honorary doctor of the University of Halle-Wittenberg || honorary doctor of the University of Calcutta || honorary doctor of the Maria Curie-Skłodowska University || Q111191717 || honorary doctor of the University of Pavia",member of the Chamber of Deputies of the Italian Republic (2006-04-21 to 2008-04-28) || Prime Minister of Italy (1996-05-17 to 1998-10-21) || Italian Minister of Justice (2008-01-17 to 2008-02-07) || Italian Minister of Economic Development (1978-11-25 to 1979-03-20) || member of the Chamber of Deputies of the Italian Republic (1996-04-27 to 1999-09-16) || President of the European Commission (1999-09-16 to 2004-10-30) || Prime Minister of Italy (2006-05-17 to 2008-05-08) || President of the Democratic Party (2007-10-14 to 2008-04-16)
Neil Kinnock,VP – Administrative Reform,GBR,Lab,S&D,Q317258,Neil Kinnock,,,1942-03-28,Tredegar,Cardiff University || Lewis School Pengam,politician,Cardiff University,Labour Party,,member of the 47th Parliament of the United Kingdom (1974-10-10 to 1979-04-07) || vice-president of the European Commission (1999-09-16 to 2004-11-21) || European Commissioner for Transport (1995-02-16 to 1999-09-16) || member of the House of Lords (from 2005-01-28) || member of the 46th Parliament of the United Kingdom (1974-02-28 to 1974-09-20) || member of the 45th Parliament of the United Kingdom (1970-06-18 to 1974-02-08) || member of the 50th Parliament of the United Kingdom (1987-06-11 to 1992-03-16) || Shadow Secretary of State for Education (1979-05-04 to 1983-10-02) || member of the 51st Parliament of the United Kingdom (1992-04-09 to 1995-01-20) || Leader of the Opposition (1983-10-02 to 1992-07-18) || Leader of the Labour Party (1983-10-02 to 1992-07-18) || Member of the Privy Council of the United Kingdom (from 1983-01-01) || member of the 48th Parliament of the United Kingdom (1979-05-03 to 1983-05-13) || member of the 49th Parliament of the United Kingdom (1983-06-09 to 1987-05-18)
Loyola de Palacio,VP – Relations with the European Parliament / Transport and Energy,ESP,PP,EPP,Q255657,Loyola de Palacio,,,1950-09-16,Madrid,Complutense University of Madrid,lawyer || politician,,People's Party,Robert Schuman Medal || Grand Cross of the Order of Isabella the Catholic || Grand Cross of the Order of Civil Merit || Gold medal of Galicia,member of the Senate of Spain || Member of the European Parliament (1999-07-20 to 1999-09-15) || Member of the Congress of Deputies (1993-06-16 to 1996-03-27) || Member of the Congress of Deputies (1996-03-14 to 1999-07-19) || European Commissioner for Energy (1999-01-01 to 2004-01-01) || Member of the Congress of Deputies (1989-11-08 to 1993-06-29) || European Commissioner for Transport (1999-01-01 to 2004-01-01)
Mario Monti,Competition,ITA,ind.,EPP,Q47904,Mario Monti,,,1943-03-19,Varese,Yale University || Bocconi University,politician || economist || university teacher,University of Turin || University of Trento || Bocconi University,Civic Choice,Global Economy Prize || Robert Schuman Medal || Knight Grand Cross of the Order of Merit of the Italian Republic || honorary doctorate of CEU San Pablo University || Grand Cordon of the Order of the Rising Sun || honorary doctor of the University of Padua || honorary doctorate from Sciences Po,European Commissioner for Competition (1999-09-15 to 2004-10-30) || Italian senator for life (from 2011-11-09) || Prime Minister of Italy (2011-11-16 to 2013-04-28) || Italian Minister of Foreign Affairs (2013-03-26 to 2013-04-28) || European Commissioner for Internal Market (1995-01-18 to 1999-09-15) || Italian Minister of Economy and Finance (2011-11-16 to 2012-07-11)
Franz Fischler,"Agriculture, Rural Development and Fisheries",AUT,ÖVP,EPP,Q78587,Franz Fischler,,,1946-09-23,Absam,"University of Natural Resources and Life Sciences, Vienna",politician,Austrian Federal Government,Austrian People's Party,"Robert Schuman Medal || Knight of the Order of St. Gregory the Great || Q19298765 || honorary doctorate of the University of Natural Resources and Life Sciences, Vienna",member of the National Council of Austria || European Commissioner for Maritime Affairs and Fisheries || European Commissioner for Maritime Affairs and Fisheries (1999-09-16 to 2004-11-21) || European Commissioner for Agriculture (1995-01-23 to 2004-11-21)
Erkki Liikanen,Enterprise and Information Society,FIN,SDP,S&D,Q194058,Erkki Liikanen,,,1950-09-19,Mikkeli,University of Helsinki,politician || economist || diplomat || banker,,Social Democratic Party of Finland,Commander of the Order of the White Rose of Finland || Grand Cross of the Order of the Lion of Finland || Commander First Class of the Order of the Lion of Finland || Knight First Class of the Order of the Lion of Finland,European Commissioner for Industry and Entrepreneurship (1999-09-17 to 2004-07-11) || ambassador of Finland (1990-01-01 to 1994-01-01) || Governor of the Bank of Finland (2004-01-01 to 2018-01-01) || member of the Parliament of Finland (1972-01-22 to 1990-08-31) || Minister of Finance (1987-04-30 to 1990-02-28) || European Commissioner for Financial Programming and the Budget (1995-01-25 to 1999-09-17)
Frits Bolkestein,Internal Market,NLD,VVD,ALDE,,,,,,,,,,,,
Philippe Busquin,Research,BEL,PS,S&D,Q717058,Philippe Busquin,,,1941-01-06,Feluy,Free University of Brussels,politician,,Socialist Party,"Minister of State || Commander of the Order of Leopold || Knight Grand Cross of the Order of Leopold II || honorary citizen of Liège || Civic Cross, 1st class || honorary doctorate from University of Lyon-II || honorary doctor from University of Valenciennes","Member of the European Parliament (2004-09-13 to 2009-07-13) || directly elected senator (1995-01-01 to 1999-01-01) || Member of the European Parliament (1999-07-01 to 1999-09-01) || European Commissioner for Research, Innovation and Science (1999-01-01 to 2004-01-01) || Member of the Parliament of the French Community (1980-01-01 to 1995-01-01) || member of the Chamber of Representatives of Belgium (1978-01-01 to 1995-01-01) || Member of the European Parliament (1999-07-20 to 1999-09-15) || Mayor of Seneffe (1995-01-01 to 2012-01-01)"
Viviane Reding,Education and Culture,LUX,CSV,EPP,Q235866,Viviane Reding,,,1951-04-27,Esch-sur-Alzette,University of Paris || Lycée Hubert Clément,politician || journalist,,Christian Social People's Party,Saint George's Cross || Medal for Merit to Culture || Robert Schuman Medal || Officer of the Legion of Honour || Atlantida Prize || Q29914421 || Prize for European Regional Integration || Member of the European Order of Merit,"municipal councillor || European Commissioner for Education, Culture, Multilingualism and Youth || board member || Member of the European Parliament (1999-08-07 to 1999-09-15) || Member of the European Parliament (1994-07-19 to 1999-07-19) || Member of the European Parliament (2014-07-01 to 2018-09-01) || Deputy of the Chamber of Deputies of Luxembourg (2018-10-30 to 2022-10-01) || Member of the European Parliament (1989-07-25 to 1994-07-18) || European Commissioner for Justice, Fundamental Rights and Citizenship (2010-01-01 to 2014-01-01)"
Michel Barnier,Regional Policy and Reform of Institutions,FRA,UMP,EPP,Q438465,Michel Barnier,,,1951-01-09,La Tronche,ESCP Business School,politician || diplomat,,Union for a Popular Movement || Rally for the Republic || The Republicans,Robert Schuman Medal || Officer of the Legion of Honour || Great Cross with Star and Sash of the Order of Merit of the Federal Republic of Germany || Gold Olympic Order || Commander of the Order of Polonia Restituta || Grand Cross of the Order of Isabella the Catholic || Commander of the Order of Agricultural Merit || Cross pro Merito Melitensi || Grand Cross of the Order of the Star of Romania || Grand Cross of the Order of Prince Henry || Commander of the Order of Maritime Merit || Medal of the Oriental Republic of Uruguay || Knight of the Order of Orange-Nassau,European Commissioner for Cohesion and Reforms (1999-01-01 to 2004-01-01) || member of the French National Assembly (1981-07-02 to 1986-04-01) || member of the French National Assembly (1988-06-23 to 1993-04-01) || member of the French National Assembly (1978-04-03 to 1981-05-22) || Minister of Foreign Affairs (2004-03-31 to 2005-05-31) || Senator of the French Fifth Republic (1997-09-22 to 1999-09-23) || member of the general council (1973-09-05 to 1999-09-13) || member of the French National Assembly (1986-04-02 to 1988-05-14) || Minister of Agriculture and Fisheries (2007-06-19 to 2010-11-14) || European Commissioner for Internal Market (2010-02-09 to 2014-11-01) || Member of the European Parliament (2009-07-14 to 2010-02-09) || member of the French National Assembly (1993-04-02 to 1993-05-01) || Prime Minister of France (2024-09-05 to 2024-12-13)
