wikidata_id,name,term_start,wikidata_position,birth_date,birth_place,education,occupations,employers,party_history,awards,prev_positions
Q237522,Margot Wallström,,,1954-09-28,Kåge,,politician,United Nations,Swedish Social Democratic Party,Monismanien Prize || Royal Order of the Seraphim || International Swede of the Year || Årets väckarklocka || Commander of the Legion of Honour || honorary doctor of Chalmers University of Technology || Honorary doctorate of Umeå University || Q100141088,Deputy Prime Minister of Sweden (2014-10-03 to 2019-09-10) || Minister for Culture of Sweden (1994-10-07 to 1996-03-22) || vice-president of the European Commission (2004-11-22 to 2010-02-09) || Minister of Youth Affairs (1988-10-04 to 1991-10-04) || Minister for Consumer Affairs (1988-10-04 to 1991-10-04) || Minister for Church Affairs (1988-10-04 to 1991-10-04) || Minister for Foreign Affairs of Sweden (2014-10-03 to 2019-09-10) || Minister for Social Affairs (1996-03-22 to 1998-10-01) || European Commissioner for the Environment (1999-09-13 to 2004-11-11) || member of the Swedish Riksdag (1979-10-01 to 1982-04-30) || Special Representative of the Secretary-General on Sexual Violence in Conflict (2010-02-02 to 2012-05-30) || Minister for Nordic Cooperation (2016-05-25 to 2019-01-21) || member of the Swedish Riksdag (1982-10-04 to 1985-09-30) || member of the Swedish Riksdag (1982-06-01 to 1982-10-04)
Q76525,Günter Verheugen,,,1944-04-28,Bad Kreuznach,University of Cologne || University of Bonn,politician || university teacher || journalist,European University Viadrina,Free Democratic Party || Social Democratic Party of Germany,"Bavarian Order of Merit || Order of the Tribute to the Republic || Knight Commander's Cross of the Order of Merit of the Federal Republic of Germany || Commander of the Order of Merit of the Italian Republic || Grand Cross of Honor for Services to the Republic of Austria || Decoration for Exceptional Merits || Commander with Star of the Order of Merit of the Republic of Poland || Grand Officer of the Order of the Star of Romania || Grand Cross of the Order of the Lithuanian Grand Duke Gediminas || Grand cross of the Order of the White Lion || Order of the Three Stars, 1st Class || Order of the Cross of Terra Mariana, 1st Class || Grand Cross of the Order of the White Double Cross || Honorary doctor of the University of Szczecin",foreign minister || Parliamentary Secretary in Germany || European Commissioner for Industry and Entrepreneurship (2004-11-22 to 2010-02-09) || member of the German Bundestag (1987-02-18 to 1990-12-20) || board chairman (1990-01-01 to 1999-01-01) || Q29552271 (1993-08-15 to 1995-09-29) || European Commissioner for Enlargement and European Neighbourhood Policy (1999-09-13 to 2004-11-11) || member of the German Bundestag (1990-12-20 to 1994-11-10) || member of the German Bundestag (1998-10-26 to 1999-09-06) || member of the German Bundestag (1994-11-10 to 1998-10-26) || member of the German Bundestag (1983-03-29 to 1987-02-18) || Secretary General of the Free Democratic Party (1978-01-01 to 1982-01-01)
Q455040,Jacques Barrot,,,1937-02-03,Yssingeaux,Sciences Po,judge || politician,,Union for a Popular Movement || Union for French Democracy,Robert Schuman Medal || Officer of the Legion of Honour,"European Commissioner for Justice, Fundamental Rights and Citizenship || member of the general council || Mayor of Yssingeaux (from 1989-01-01) || member of the Consitutional council (2010-03-01 to 2014-12-01) || member of the French National Assembly (1986-04-02 to 1988-05-14) || member of the French National Assembly (1978-04-03 to 1978-05-05) || member of the French National Assembly (1973-04-02 to 1974-07-08) || European Commissioner for Cohesion and Reforms (2004-04-01 to 2004-11-22) || member of the French National Assembly (1993-04-02 to 1995-06-18) || member of the French National Assembly (1981-07-02 to 1986-04-01) || member of the French National Assembly (1968-07-11 to 1973-04-01) || member of the French National Assembly (1988-06-23 to 1993-04-01) || member of the French National Assembly (1997-06-12 to 2002-06-18) || European Commissioner for Transport (2004-01-01 to 2008-01-01) || member of the French National Assembly (2002-06-19 to 2004-05-06) || member of the French National Assembly (1967-04-03 to 1968-05-30)"
Q156469,Siim Kallas,,,1948-10-02,Tallinn,University of Tartu || Jakob Westholm Gymnasium,politician || diplomat || official || banker || journalist || sportsperson,,Communist Party of the Soviet Union || Estonian Reform Party,"Grand Officer of the Legion of Honour || Great Cross with Star and Sash of the Order of Merit of the Federal Republic of Germany || Recipient of the Order of the National Coat of Arms, 1st Class || European of the year",European Commissioner for Economic Affairs (2004-05-01 to 2004-11-22) || Minister of Finance (1999-03-25 to 2002-01-28) || Minister of Foreign Affairs (1995-11-09 to 1996-11-21) || member of the Riigikogu (from 2019-04-04) || Prime Minister of Estonia (2002-01-28 to 2003-04-10) || European Commissioner for Transport (2010-02-09 to 2014-11-01) || governor of the Bank of Estonia (1991-09-23 to 1995-04-27)
Q333833,Franco Frattini,,,1957-03-14,Rome,Sapienza University of Rome,judge || politician || jurist || diplomat,,The People of Freedom || Forza Italia || independent politician || Italian Socialist Party,Order of Friendship || Order of the Tribute to the Republic || Order of Stara Planina || Commander of the Legion of Honour || Knight Grand Cross of the Order of Merit of the Italian Republic || Gold Olympic Order || Commander's Grand Cross of the Order of the Lithuanian Grand Duke Gediminas || Knight of Pius IX || Grand Cross of the Order of Prince Henry || Grand Cross of the Order of the Sun of Peru || Medal of the Oriental Republic of Uruguay,"Italian Minister of Foreign Affairs (2002-11-14 to 2004-11-18) || member of the Chamber of Deputies of the Italian Republic (2001-05-27 to 2004-11-22) || European Commissioner for Justice, Fundamental Rights and Citizenship (2004-11-22 to 2008-05-08) || Minister without portfolio, for Public Administration (1995-01-18 to 1996-03-18) || member of the Chamber of Deputies of the Italian Republic (2008-04-22 to 2013-03-14) || Italian Minister of Foreign Affairs (2008-05-08 to 2011-11-16) || Italian Minister of Public Administration (2001-06-11 to 2002-11-18) || member of the Chamber of Deputies of the Italian Republic (1996-04-26 to 2001-05-29)"
Q235866,Viviane Reding,,,1951-04-27,Esch-sur-Alzette,University of Paris || Lycée Hubert Clément,politician || journalist,,Christian Social People's Party,Saint George's Cross || Medal for Merit to Culture || Robert Schuman Medal || Officer of the Legion of Honour || Atlantida Prize || Q29914421 || Prize for European Regional Integration || Member of the European Order of Merit,"municipal councillor || European Commissioner for Education, Culture, Multilingualism and Youth || board member || Member of the European Parliament (1999-08-07 to 1999-09-15) || Member of the European Parliament (1994-07-19 to 1999-07-19) || Member of the European Parliament (2014-07-01 to 2018-09-01) || Deputy of the Chamber of Deputies of Luxembourg (2018-10-30 to 2022-10-01) || Member of the European Parliament (1989-07-25 to 1994-07-18) || European Commissioner for Justice, Fundamental Rights and Citizenship (2010-01-01 to 2014-01-01)"
Q58091,Stavros Dimas,,,1941-04-30,Q15709385,New York University || National and Kapodistrian University of Athens || New York University School of Law || Varvakeio || Athens College,lawyer || politician || economist || diplomat,,New Democracy,,"member of the Hellenic Parliament || Representative of the Parliamentary Assembly of the Council of Europe (2000-05-15 to 2004-04-26) || Minister of Agriculture of Greece (1989-07-02 to 1989-10-12) || European Commissioner for the Environment (2004-11-22 to 2010-02-09) || Minister of Agriculture of Greece (1989-11-23 to 1990-02-13) || Minister for Foreign Affairs of Greece (2011-11-11 to 2012-05-17) || Representative of the Parliamentary Assembly of the Council of Europe (1982-01-25 to 1986-04-01) || Minister of Industry, Energy and Technology of Greece (1990-04-11 to 1991-07-29) || Representative of the Parliamentary Assembly of the Council of Europe (1994-01-24 to 1994-11-10) || Minister of Trade of Greece (1980-05-10 to 1980-10-11) || European Commissioner for Employment, Social Affairs and Inclusion (2004-02-18 to 2004-11-22) || member of the Hellenic Parliament (1977-01-01 to 2012-01-01)"
Q311229,Joaquín Almunia,,,1948-06-17,Bilbao,John F. Kennedy School of Government || University of Paris || University of Deusto,lawyer || politician || jurist || economist || university teacher,Harvard University || University of Alcalá,Spanish Socialist Workers' Party,"Grand Cross of the Order of Charles III || Order of the Cross of Terra Mariana, 2nd Class",Minister of Labour and Social Security (1982-12-01 to 1986-07-26) || Member of the Congress of Deputies (1986-07-07 to 1989-09-02) || Member of the Congress of Deputies (1989-11-14 to 1993-04-13) || Secretary General of the PSOE (1997-06-22 to 2000-03-12) || Member of the Congress of Deputies (2000-04-03 to 2004-04-02) || Minister for Public Administration (1986-07-26 to 1991-03-13) || Member of the Congress of Deputies (1982-11-05 to 1986-04-23) || European Commissioner for Competition (2010-02-10 to 2014-10-31) || Member of the Congress of Deputies (1996-03-25 to 2000-04-05) || vice-president of the European Commission (2010-02-10 to 2014-10-31) || European Commissioner for Economic Affairs (2004-04-24 to 2010-02-10) || Member of the Congress of Deputies (2004-03-24 to 2004-04-26) || Member of the Congress of Deputies (1993-06-21 to 1996-03-27) || Member of the Congress of Deputies (1979-03-20 to 1982-08-31)
Q242090,Danuta Hübner,,,1948-04-08,Nisko,SGH Warsaw School of Economics || X LO im. Królowej Jadwigi in Warsaw,politician || economist || diplomat || university teacher,United Nations || Chancellery of the President of the Republic of Poland || United Nations Economic Commission for Europe || SGH Warsaw School of Economics || Committee for European Integration,Civic Platform || Polish United Workers' Party,Officer of the Legion of Honour || Knight of the Order of Polonia Restituta || Grand Officer of the Order of Merit of Portugal || honorary doctor from University of Valenciennes,Undersecretary of State (1994-01-01 to 1996-01-01) || Secretary of State (1996-01-01 to 1997-01-01) || Member of the European Parliament (2014-07-01 to 2019-07-01) || European Commissioner for Cohesion and Reforms (2004-11-22 to 2009-07-04) || Secretary of State (2003-01-01 to 2004-01-01) || European Commissioner for Trade (2004-05-01 to 2004-11-21) || Member of the European Parliament (2009-07-14 to 2014-06-30) || chief of staff (1997-01-01 to 1998-01-01) || Secretary of State (2001-01-01 to 2003-01-01) || Member of the European Parliament (2019-07-02 to 2024-07-15)
Q549456,Joe Borg,,,1952-03-19,Valletta,Aberystwyth University,politician || university teacher,,Nationalist Party,"German Maritime Award || Order of the Three Stars, 3rd Class || Order of the White Star, 1st Class",Member of the House of Representatives of Malta || European Commissioner for Preparedness and Crisis Management (2004-05-01 to 2004-11-21) || Minister for Foreign Affairs (1999-03-24 to 2004-03-23) || European Commissioner for Maritime Affairs and Fisheries (2004-11-22 to 2010-02-09) || European Commissioner for Preparedness and Crisis Management (2004-05-01 to 2004-11-11)
