wikidata_id,name,term_start,birth_date,birth_place,education,occupations,employers,party_history,awards,prev_positions,name_upper
Q11778705,Q11778705,2024-07-16,1975-07-22,Warsaw,"Faculty of History, University of Warsaw",politician || historian,,Law and Justice || Right Alliance,"Order of Merit (Ukraine), 2nd class",Chief of the Chancellery of the Prime Minister of Poland (2017-12-19 to 2022-09-30) || Polish minister without portfolio (2019-11-15 to 2023-11-27) || member of the Sejm (from 2019-11-12),Q11778705
Q42419368,Q42419368,2024-07-16,1991-11-25,Clamart,École nationale d'administration || Sciences Po || Lycée Alphonse Daudet,politician || official || political activist,,Socialist Party,,councillor of Nîmes (from 2026-01-01) || Q66501419 (2026-01-01 to 2026-01-01),Q42419368
Q644441,Q644441,2024-07-16,1963-07-02,Myszków,Jan Długosz University,politician,,Law and Justice,Medal of the National Education Commission,member of the Sejm (2011-11-08 to 2014-05-27) || member of the Sejm (2005-10-19 to 2007-05-10) || member of the Sejm (2007-05-11 to 2011-11-07),Q644441
Q65437,Q65437,2024-07-16,1955-11-14,Oldenburg,University of Göttingen,screenwriter || politician || trade unionist,,Social Democratic Party of Germany,Officer's Cross of the Order of Merit of the Federal Republic of Germany || Cross of the Order of Merit of the Federal Republic of Germany,,Q65437
Q85566,Q85566,2024-07-16,1965-05-20,Olsberg,University of Bonn,physician || politician,,Christian Democratic Union,Cross of the Order of Merit of the Federal Republic of Germany,,Q85566
Q941950,Q941950,2024-07-16,1961-06-10,Las Palmas de Gran Canaria,Tufts University || University of Bologna || Complutense University of Madrid || The Fletcher School of Law and Diplomacy || University of Granada,politician || jurist || university teacher || caricaturist,Tufts University || University of Las Palmas de Gran Canaria || University of Granada,Spanish Socialist Workers' Party,Grand Cross of the Order of Charles III || Grand Cross of the Order of St. Raymond of Peñafort,Member of the Congress of Deputies (2008-03-24 to 2009-07-13) || Member of the Congress of Deputies (2000-03-27 to 2004-04-02) || Representative of the Parliamentary Assembly of the Council of Europe (2008-06-27 to 2009-09-28) || Minister of Justice (2004-04-18 to 2007-02-12) || Member of the Congress of Deputies (2004-03-30 to 2007-06-24) || Member of the Parliament of the Canary Islands (2007-05-27 to 2008-03-09),Q941950
Q4118653,Abir Al-Sahlani,2024-07-16,1976-05-18,Nasiriyah,Mid Sweden University,politician,,Centre Party,,member of the Swedish Riksdag (2011-09-30 to 2014-09-29) || member of the Swedish Riksdag (2010-10-04 to 2011-09-29) || member of the Swedish Riksdag (2019-01-14 to 2019-06-19),ABIR AL-SAHLANI
Q2507571,Adam Bielan,2024-07-16,1974-09-12,Gdańsk,SGH Warsaw School of Economics || 9th Secondary School in Gdańsk,politician,,Law and Justice || Poland Comes First || Conservative People's Party || Right Alliance || Polska Razem || Agreement || Partia Republikańska,"Order of Merit (Ukraine), 3rd class",member of the Sejm,ADAM BIELAN
Q9139694,Adam Jarubas,2024-07-16,1974-12-17,Busko-Zdrój,Jan Kochanowski University || Q9296668,politician,Jan Kochanowski University,Polish People's Party,Gold Cross of Merit,member of the Sejm || voivodeship marshal (from 2006-01-01),ADAM JARUBAS
Q274739,Adina-Ioana Vălean,2024-07-16,1968-02-16,Țintea,University of Bucharest,politician || mathematics teacher,,National Liberal Party,"Order of Merit (Ukraine), 3rd class",member of the Chamber of Deputies of Romania (2004-12-17 to 2007-11-30) || European Commissioner for Transport (2019-12-01 to 2024-06-15) || Vice President of the European Parliament (2014-07-01 to 2017-01-18),ADINA-IOANA VĂLEAN
Q5621490,Adnan Dibrani,2024-07-16,1985-02-12,Kosovo,,politician,,Swedish Social Democratic Party,,member of the Swedish Riksdag (2014-09-29 to 2018-09-24) || member of the Swedish Riksdag (2018-09-24 to 2022-09-26) || substitute member of the Parliamentary Assembly of the Council of Europe (from 2019-01-21) || member of the Swedish Riksdag (2010-10-04 to 2014-09-29) || member of the Committee on Finance (from 2018-10-02) || member of the Committee on Taxation (2014-10-07 to 2017-09-22) || member of the Swedish Riksdag (2022-09-26 to 2024-07-15),ADNAN DIBRANI
Q104598998,Adrian Axinia,2024-07-16,1977-10-18,Focșani,Technical University of Civil Engineering of Bucharest,politician,,Alliance for the Union of Romanians,,member of the Chamber of Deputies of Romania (from 2020-12-21),ADRIAN AXINIA
Q84143629,Adrián Vázquez Lázara,2024-07-16,1982-05-05,Madrid,Complutense University of Madrid || University of Warwick || Lindenwood University,politician,,Ciudadanos,,Q47454077 (2023-01-12 to 2024-03-22),ADRIÁN VÁZQUEZ LÁZARA
Q126485167,Afroditi Latinopoulou,2024-07-16,1991-04-29,Thessaloniki,Aristotle University of Thessaloniki,lawyer || politician || radio producer || tennis player || tennis coach,,New Democracy || National Creation || PATRIDA || Voice of Reason,,,AFRODITI LATINOPOULOU
Q126596118,Alberico Gambino,2024-07-16,1967-12-07,Pagani,,politician,,,,,ALBERICO GAMBINO
Q1077655,Aldo Patriciello,2024-07-16,1957-09-27,Venafro,,politician,,Christian Democracy || Union of the Centre (1993-1998) || Forza Italia,,mayor of a place in Italy,ALDO PATRICIELLO
Q107316188,Aleksandar Nikolic,2024-07-16,1986-10-04,La Garenne-Colombes,,politician || Q97767950,,National Rally,,,ALEKSANDAR NIKOLIC
Q15055614,Alessandra Moretti,2024-07-16,1973-06-24,Vicenza,University of Urbino,politician,,Democratic Party || independent politician || Democrats of the Left,,member of the Chamber of Deputies of the Italian Republic (2013-03-05 to 2014-06-25),ALESSANDRA MORETTI
Q57037488,Alessandro Ciriani,2024-07-16,1970-08-02,Pordenone,University of Trieste,politician,,independent politician,,mayor of Pordenone (2016-06-20 to 2024-07-01) || president of the Province of Pordenone (2009-06-07 to 2014-11-26),ALESSANDRO CIRIANI
Q2595856,Alessandro Zan,2024-07-16,1973-10-04,Padua,University of Padua,politician,,Democratic Party,,member of the Chamber of Deputies of the Italian Republic (2013-03-15 to 2018-03-22) || member of the Chamber of Deputies of the Italian Republic (2018-03-20 to 2022-10-12),ALESSANDRO ZAN
Q64223721,Alex Agius Saliba,2024-07-16,1988-01-31,"Pietà, Malta",University of Malta,politician,,Labour Party,,,ALEX AGIUS SALIBA
Q62626907,Alexander Bernhuber,2024-07-16,1992-05-18,St. Pölten,"University of Natural Resources and Life Sciences, Vienna",politician,,Austrian People's Party,,,ALEXANDER BERNHUBER
Q126541329,Alexander Jungbluth,2024-07-16,1987-02-07,Würselen,University of Bonn,politician,parliamentary group || Sebastian Münzenmaier || Bernd Schattner,Alternative for Germany || Europe of Sovereign Nations,,deputy chairperson (from 2024-08-01) || chairperson (http://www to http://www),ALEXANDER JUNGBLUTH
Q126723773,Alexander Sell,2024-07-16,1980-11-25,Mainz,Humboldt-Universität zu Berlin,politician,Berlin House of Representatives || Bernd Baumann,Alternative for Germany || Europe of Sovereign Nations,,party leader (from 2024-08-01),ALEXANDER SELL
Q939484,Alexandr Vondra,2024-07-16,1961-08-17,Prague,"Faculty of Science, Charles University",politician || diplomat || geographer || journalist,,Civic Democratic Party,"Democracy Service Medal || Officer's Cross of the Order of Merit of the Republic of Poland || NATO Meritorious Service Medal || Order of the Three Stars, 3rd Class || Cross of Merit of the Minister of Defence of the Czech Republic 1st Class",Czech Ambassador to the United States (1997-05-14 to 2001-10-01) || spokesperson of Charter 77 (1989-01-02 to 1990-01-06) || Minister of Foreign Affairs (2006-09-04 to 2007-01-09) || Minister of Defence of the Czech Republic (2010-12-13 to 2012-12-07) || Member of the Senate of the Parliament of the Czech Republic (2006-10-28 to 2012-10-28) || Deputy Prime Minister of the Czech Republic (2007-01-09 to 2009-05-08),ALEXANDR VONDRA
Q64032638,Alexandra Geese,2024-07-16,1968-07-01,Lippstadt,,politician || translator || interpreter,,Alliance '90/The Greens,,,ALEXANDRA GEESE
Q119397784,Alexandra Mehnert,2024-07-16,1974-08-06,Magdeburg,University of Magdeburg,politician,Konrad Adenauer Foundation,Christian Democratic Union,,,ALEXANDRA MEHNERT
