wikidata_id,wikipedia_title
Q102421,Peter_Simon_(politician)
Q103764,Jutta_Steinruck
Q104492,Norbert_Neuser
Q104870,Knut_Fleckenstein
Q104881,Kerstin_Westphal
Q105021,Michael_Kauch
Q1021708,Ram%C3%B3n_Luis_Valc%C3%A1rcel
Q1028887,Camiel_Eurlings
Q1032587,Ernest_Maragall
Q1038599,Carl_Haglund
Q1040479,Carl_Schlyter
Q105564,Hans-Olaf_Henkel
Q1042010,Carlo_Casini
Q105761,Klaus_Buchner
Q1048885,Bogdan_Golik
Q1055183,Carlo_Fatuzzo
Q1055165,Giuseppe_Castiglione_(politician)
Q1055202,Lapo_Pistelli
Q1055212,Demetrio_Volcic
Q1055220,Pasqualina_Napoletano
Q1055262,Salvatore_Tatarella
Q1055321,Lucia_Annunziata
Q1055415,Luisa_Morgantini
Q1055420,Luigi_Cocilovo
Q1055437,Romano_Maria_La_Russa
Q1055449,Matteo_Salvini
Q108736,Birgit_Sippel
Q104686899,Alin_Mitu%C8%9Ba
Q105080282,Friedrich_P%C3%BCrner
Q116719,Diane_Dodds
Q1055461,Armando_Dionisi
Q1055474,Riccardo_Ventre
Q1055534,Giorgio_Carollo
Q1055562,Antonio_Panzeri
Q1055575,Raffaele_Costa
Q1055587,Mario_Mantovani
Q1055612,Alessandro_Foglietta
Q1055625,Vincenzo_Lavarra
Q1055636,Marcello_Vernola
Q1056622,Guido_Bodrato
Q1059511,Roger_Karoutchi
Q1060314,Raffaele_Fitto
Q1060462,Antonio_De_Poli
Q1066565,Charles_de_Gaulle_(born_1948)
Q1072333,Giorgio_Celli
Q1097204,Claude_Turmes
Q1097772,Claudia_Schmidt_(politician)
Q1098092,Claudio_Martelli
Q109925,Michael_Theurer
Q110783,Britta_Reimers
Q111435,Jan-Christoph_Oetjen
Q1110075,Colm_Burke
Q1111570,Giovanni_Procacci
Q1112658,Maria_Noichl
Q114033,Marlene_Mortler
Q114290,Karin_Kadenbach
Q1118884,Jean-Maurice_Dehousse
Q1120020,"B%C3%A9la_Kov%C3%A1cs_(politician,_1960)"
Q114667,Sarah_Wiener
Q115084,Hella_Ranner
Q10291438,Maria_da_Gra%C3%A7a_Carvalho
Q1132305,Massimo_Carraro
Q10303913,Isilda_Gomes
Q10309880,Jos%C3%A9_Manuel_Fernandes
Q1133702,Corneliu_Vadim_Tudor
Q10324447,Manuel_Pizarro_(politician)
Q10338219,Nuno_Melo_(politician)
Q10346767,Paulo_Rangel
Q10372930,Sofia_Ribeiro
Q116812,Oriol_Junqueras
