name,term,position
Antonio Tajani,ep8,EP Vice-President
Mairead McGuinness,ep8,EP Vice-President
Rainer Wieland,ep8,EP Vice-President
Ramón Luis Valcárcel,ep8,EP Vice-President
Ildikó Pelczné Gáll,ep8,EP Vice-President
Adina Vălean,ep8,EP Vice-President
Corina Crețu,ep8,EP Vice-President
Sylvie Guillaume,ep8,EP Vice-President
David Sassoli,ep8,EP Vice-President
Olli Rehn,ep8,EP Vice-President
Alliance of Liberals and Democrats for Europe,ep8,EP Vice-President
Alexander Graf Lambsdorff,ep8,EP Vice-President
Ulrike Lunacek,ep8,EP Vice-President
The Greens–European Free Alliance,ep8,EP Vice-President
Dimitrios Papadimoulis,ep8,EP Vice-President
Ryszard Czarnecki,ep8,EP Vice-President
Élisabeth Morin,ep8,EP Vice-President
Union for a Popular Movement,ep8,EP Vice-President
Bogusław Liberadzki,ep8,EP Vice-President
Democratic Left Alliance (Poland),ep8,EP Vice-President
Catherine Bearder,ep8,EP Vice-President
Liberal Democrats (UK),ep8,EP Vice-President
Andrey Kovatchev,ep8,EP Vice-President
GERB,ep8,EP Vice-President
Karol Karski,ep8,EP Vice-President
Law and Justice (Poland),ep8,EP Vice-President
Apportionment in the European Parliament,ep8,EP Vice-President
