name,term,position
Prodi Commission,ep5,EP Vice-President
1999 European Parliament election,ep5,EP Vice-President
2004 European Parliament election,ep5,EP Vice-President
Nicole Fontaine,ep5,EP Vice-President
Oldest Member (European Parliament),ep5,EP Vice-President
Mário Soares,ep5,EP Vice-President
Giorgio Napolitano,ep5,EP Vice-President
Pat Cox,ep5,EP Vice-President
Category:Legislatures of the European Parliament,ep5,EP Vice-President
Alejo Vidal-Quadras Roca,ep6,EP Vice-President
Antonios Trakatellis,ep6,EP Vice-President
Edward McMillan-Scott,ep6,EP Vice-President
Ingo Friedrich,ep6,EP Vice-President
Mario Mauro,ep6,EP Vice-President
Jacek Saryusz-Wolski,ep6,EP Vice-President
Miroslav Ouzký,ep6,EP Vice-President
Rodi Kratsa-Tsagaropoulou,ep6,EP Vice-President
Alejo Vidal-Quadras,ep6,EP Vice-President
Dagmar Roth-Behrendt,ep6,EP Vice-President
António Costa,ep6,EP Vice-President
Pierre Moscovici,ep6,EP Vice-President
Miguel Angel Martínez Martínez,ep6,EP Vice-President
Mechtild Rothe,ep6,EP Vice-President
Manuel António Dos Santos,ep6,EP Vice-President
Marek Siwiec,ep6,EP Vice-President
Luigi Cocilovo,ep6,EP Vice-President
Janusz Onyszkiewicz,ep6,EP Vice-President
Diana Wallis,ep6,EP Vice-President
Gérard Onesta,ep6,EP Vice-President
Sylvia-Yvonne Kaufmann,ep6,EP Vice-President
Luisa Morgantini,ep6,EP Vice-President
Adam Bielan,ep6,EP Vice-President
Jim Nicholson (Northern Ireland politician),ep6,EP Vice-President
Godelieve Quisthoudt-Rowohl,ep6,EP Vice-President
Astrid Lulling,ep6,EP Vice-President
Genowefa Grabowska,ep6,EP Vice-President
Mia De Vits,ep6,EP Vice-President
Szabolcs Fazakas,ep6,EP Vice-President
Jan Mulder (People's Party for Freedom and Democracy),ep6,EP Vice-President
Hans-Gert Pöttering,ep6,EP Vice-President
Joseph Daul,ep6,EP Vice-President
Martin Schulz,ep6,EP Vice-President
Graham Watson,ep6,EP Vice-President
Monica Frassoni,ep6,EP Vice-President
Daniel Cohn-Bendit,ep6,EP Vice-President
Alonso José Puerta,ep6,EP Vice-President
Francis Wurtz,ep6,EP Vice-President
Jens-Peter Bonde,ep6,EP Vice-President
Kathy Sinnott,ep6,EP Vice-President
Hanne Dahl,ep6,EP Vice-President
Nigel Farage,ep6,EP Vice-President
Brian Crowley,ep6,EP Vice-President
Cristiana Muscardini,ep6,EP Vice-President
Bruno Gollnisch,ep6,EP Vice-President
Political groups of the European Parliament,ep6,EP Vice-President
Rodi Kratsa-Tsagaropoulou,ep7,EP Vice-President
Roberta Angelilli,ep7,EP Vice-President
Alejo Vidal-Quadras,ep7,EP Vice-President
Pál Schmitt,ep7,EP Vice-President
Rainer Wieland,ep7,EP Vice-President
Giovanni Pittella,ep7,EP Vice-President
Stavros Lambrinidis,ep7,EP Vice-President
Miguel Angel Martínez Martínez,ep7,EP Vice-President
Dagmar Roth-Behrendt,ep7,EP Vice-President
Libor Rouček,ep7,EP Vice-President
Diana Wallis,ep7,EP Vice-President
Silvana Koch-Mehrin,ep7,EP Vice-President
Michał Kamiński,ep7,EP Vice-President
Edward McMillan-Scott,ep7,EP Vice-President
Isabelle Durant,ep7,EP Vice-President
Jim Higgins (Irish politician),ep7,EP Vice-President
Astrid Lulling,ep7,EP Vice-President
Ria Oomen-Ruijten,ep7,EP Vice-President
Lidia Geringer de Oedenberg,ep7,EP Vice-President
Bill Newton Dunn,ep7,EP Vice-President
Jim Nicholson (Northern Ireland politician),ep7,EP Vice-President
Jiří Maštálka,ep7,EP Vice-President
Francesco Speroni,ep7,EP Vice-President
Antonio Tajani,ep8,EP Vice-President
Mairead McGuinness,ep8,EP Vice-President
Rainer Wieland,ep8,EP Vice-President
Ramón Luis Valcárcel,ep8,EP Vice-President
Ildikó Pelczné Gáll,ep8,EP Vice-President
Adina Vălean,ep8,EP Vice-President
Corina Crețu,ep8,EP Vice-President
Sylvie Guillaume,ep8,EP Vice-President
David Sassoli,ep8,EP Vice-President
Olli Rehn,ep8,EP Vice-President
Alliance of Liberals and Democrats for Europe,ep8,EP Vice-President
Alexander Graf Lambsdorff,ep8,EP Vice-President
Ulrike Lunacek,ep8,EP Vice-President
The Greens–European Free Alliance,ep8,EP Vice-President
Dimitrios Papadimoulis,ep8,EP Vice-President
Ryszard Czarnecki,ep8,EP Vice-President
Élisabeth Morin,ep8,EP Vice-President
Union for a Popular Movement,ep8,EP Vice-President
Bogusław Liberadzki,ep8,EP Vice-President
Democratic Left Alliance (Poland),ep8,EP Vice-President
Catherine Bearder,ep8,EP Vice-President
Liberal Democrats (UK),ep8,EP Vice-President
Andrey Kovatchev,ep8,EP Vice-President
GERB,ep8,EP Vice-President
Karol Karski,ep8,EP Vice-President
Law and Justice (Poland),ep8,EP Vice-President
Apportionment in the European Parliament,ep8,EP Vice-President
The Greens–European Free Alliance,ep9,EP Vice-President
2019 European Parliament election,ep9,EP Vice-President
tenth European Parliament,ep9,EP Vice-President
Antonio Tajani,ep9,EP Vice-President
Eighth European Parliament,ep9,EP Vice-President
EURACTIV,ep9,EP Vice-President
David Sassoli,ep9,EP Vice-President
Mairead McGuinness,ep9,EP Vice-President
