Name,Country,Constituency,National_Party,EP_Group,wikidata_id,term_start,birth_date,birth_place,education,occupations,employers,party_history,awards,prev_positions
Harald Vilimsky,Austria,,FPÖ,Patriots for Europe,Q90244,2024-07-16,1966-07-22,Vienna,University of Vienna,politician || press secretary,Austrian Road Safety Board,Austrian Freedom Party,,member of the Austrian federal council (2005-11-18 to 2006-10-29) || member of the National Council of Austria (2006-10-30 to 2008-10-27) || member of the National Council of Austria (2008-10-28 to 2013-10-28) || member of the National Council of Austria (2013-10-29 to 2014-06-30)
Petra Steger,Austria,,FPÖ,Patriots for Europe,Q15618404,2024-07-16,1987-10-04,Vienna,Vienna University of Economics and Business || Harvard Summer School,politician || basketball player,,Austrian Freedom Party,,member of the National Council of Austria (2013-10-29 to 2017-11-08) || member of the National Council of Austria (2017-11-09 to 2019-10-23) || member of the National Council of Austria (2019-10-23 to 2024-07-15)
Georg Mayer,Austria,,FPÖ,Patriots for Europe,Q16064658,2024-07-16,1973-10-12,Feldbach,University of Graz,politician,,Austrian Freedom Party,,member of the Styrian state parliament
Roman Haider,Austria,,FPÖ,Patriots for Europe,Q2164581,2024-07-16,1967-04-13,Grieskirchen,Johannes Kepler University Linz,politician,,Austrian Freedom Party,,Representative of the Parliamentary Assembly of the Council of Europe (from 2018-01-22) || member of the National Council of Austria
Gerald Hauser,Austria,,FPÖ,Patriots for Europe,Q1509909,2024-07-16,1961-09-30,Sankt Jakob in Defereggen,,mayor || politician,,Austrian Freedom Party,,member of the National Council of Austria (2017-11-09 to 2019-10-23) || member of the National Council of Austria (from 2019-10-23) || member of the National Council of Austria (2013-10-29 to 2017-11-08) || member of the Landtag of Tyrol
Elisabeth Dieringer-Granza,Austria,,FPÖ,Patriots for Europe,Q47005555,2024-07-16,1974-05-12,Villach,University of Graz,teacher || politician,,Austrian Freedom Party,,member of the Landtag of Carinthia || member of state parliament (from 2018-04-12)
Reinhold Lopatka,Austria,,ÖVP,EPP,Q1507084,2024-07-16,1960-01-27,Vorau,University of Graz,politician,,Austrian People's Party,,member of the National Council of Austria (from 2017-11-09) || member of the Styrian state parliament || member of the National Council of Austria (2019-10-23 to 2024-07-02) || Representative of the Parliamentary Assembly of the Council of Europe (from 2020-01-27) || member of the National Council of Austria (from 2013-10-29)
Angelika Winzig,Austria,,ÖVP,EPP,Q534677,2024-07-16,1963-05-09,Attnang-Puchheim,Vienna University of Economics and Business,politician,,Austrian People's Party,,substitute member of the Parliamentary Assembly of the Council of Europe (from 2014-01-27) || member of the National Council of Austria (2013-10-29 to 2017-11-08) || member of the National Council of Austria (2017-11-09 to 2019-07-01) || member of the Austrian federal council (2010-06-01 to 2013-10-28)
Alexander Bernhuber,Austria,,ÖVP,EPP,Q62626907,2024-07-16,1992-05-18,St. Pölten,"University of Natural Resources and Life Sciences, Vienna",politician,,Austrian People's Party,,
Sophia Kircher,Austria,,ÖVP,EPP,Q51074614,2024-07-16,1994-05-04,Innsbruck,University of Innsbruck,politician,,Austrian People's Party,,member of the Landtag of Tyrol (2018-03-28 to 2024-07-15)
Lukas Mandl,Austria,,ÖVP,EPP,Q1876930,2024-07-16,1979-07-12,Vienna,University of Vienna,politician,,Austrian People's Party,,Member of the Landtag of Lower Austria
Andreas Schieder,Austria,,SPÖ,S&D,Q500389,2024-07-16,1969-04-16,Vienna,University of Vienna,politician,,Social Democratic Party of Austria,,substitute member of the Parliamentary Assembly of the Council of Europe (2007-10-01 to 2009-01-26) || member of the regional parliament of Vienna || member of the National Council of Austria || member of the National Council of Austria || substitute member of the Parliamentary Assembly of the Council of Europe (from 2014-01-27) || member of the National Council of Austria
Evelyn Regner,Austria,,SPÖ,S&D,Q87549,2024-07-16,1966-01-24,Vienna,University of Salzburg,politician,,Social Democratic Party of Austria,,
Günther Sidl,Austria,,SPÖ,S&D,Q14541202,2024-07-16,1975-03-19,St. Pölten,University of Vienna,politician,,Social Democratic Party of Austria,,Member of the Landtag of Lower Austria
Elisabeth Grossmann,Austria,,SPÖ,S&D,Q975178,2024-07-16,1968-11-25,Graz,University of Graz,politician,,Social Democratic Party of Austria,,member of the National Council of Austria || member of the National Council of Austria || member of the Austrian federal council (2017-11-14 to 2024-07-08)
Hannes Heide,Austria,,SPÖ,S&D,Q64084178,2024-07-16,1966-10-17,Q250984,,politician,,Social Democratic Party of Austria,,mayor (from 2007-01-01)
Lena Schilling,Austria,,GRÜNE,Greens/EFA,Q109468729,2024-07-16,2001-01-08,Vienna,University of Vienna || Schulzentrum Herbststraße für Mode und Kunst,politician || non-fiction writer || climate activist,,,,
Thomas Waitz,Austria,,GRÜNE,Greens/EFA,Q38057897,2024-07-16,1973-05-16,Vienna,,politician || farmer,,The Greens – The Green Alternative,,
Helmut Brandstätter,Austria,,NEOS,Renew Europe,Q1603428,2024-07-16,1955-04-24,Vienna,University of Vienna,writer || politician || editor-in-chief || television presenter || journalist || television journalist,,NEOS – The New Austria,,member of the National Council of Austria (2019-10-23 to 2024-01-01)
Anna Stürgkh,Austria,,NEOS,Renew Europe,Q110970031,2024-07-16,1994-04-02,Vienna,Harvard University || University of Cambridge,politician,,NEOS – The New Austria,,
Sophie Wilmès,Belgium,French-speaking,MR,Renew Europe,Q18434995,2024-07-16,1975-01-15,Ixelles,UCLouvain Saint-Louis – Bruxelles || Institut des hautes études des communications sociales,politician || economist,,Reformist Movement,,Deputy Prime Minister of Belgium (2020-10-01 to 2022-04-21) || Prime Minister of Belgium (2019-10-27 to 2020-10-01) || member of the Chamber of Representatives of Belgium (from 2014-10-01) || Minister of European Affairs (2020-10-01 to 2022-04-21) || member of the Chamber of Representatives of Belgium (2019-06-20 to 2020-03-01) || Minister of Foreign Affairs in Belgium (2020-10-01 to 2022-04-21) || member of the Chamber of Representatives of Belgium (from 2022-07-15)
Olivier Chastel,Belgium,French-speaking,MR,Renew Europe,Q3143147,2024-07-16,1964-11-22,Liège,Free University of Brussels,politician || pharmacist,,Reformist Movement,Commander of the Order of Leopold II || Grand Cross of the Order of Civil Merit,member of the Chamber of Representatives of Belgium || member of the Chamber of Representatives of Belgium || Minister of European Affairs (2008-03-20 to 2011-12-06) || Minister of Development Cooperation (2011-02-14 to 2011-12-06) || Member of the Parliament of Wallonia || municipal councillor in Belgium (from 1993-01-01)
Benoît Cassart,Belgium,French-speaking,MR,Renew Europe,Q126728399,2024-07-16,1968-10-02,Liège,,politician || farmer,,,,
Tom Vandendriessche,Belgium,Dutch-speaking,VB,Patriots for Europe,Q64952500,2024-07-16,1978-10-27,Leuven,Ghent University,politician,,Flemish Interest,,
Gerolf Annemans,Belgium,Dutch-speaking,VB,Patriots for Europe,Q2294644,2024-07-16,1958-11-08,Antwerp,University of Antwerp,lawyer || politician,,Flemish Interest,,substitute member of the Parliamentary Assembly of the Council of Europe (1999-11-04 to 2010-11-12) || member of the Flemish Parliament || member of the Chamber of Representatives of Belgium
Barbara Bonte,Belgium,Dutch-speaking,VB,Patriots for Europe,Q17350470,2024-07-16,1983-05-13,Jette,,politician,,Flemish Interest,,member of the Flemish Parliament
