Country,DG_DDG_n,DG_DDG_pct,EU_pop_pct,Over_representation_ratio,Category
Germany,11,16.2,18.7,0.9,Proportional
France,9,13.2,15.0,0.9,Proportional
Spain,5,7.4,10.5,0.7,Proportional
Ireland,4,5.9,1.2,4.9,Over-represented
Italy,3,4.4,13.5,0.3,Under-represented
Bulgaria,3,4.4,1.5,2.9,Over-represented
Malta,3,4.4,0.1,44.0,Over-represented
Sweden,2,2.9,2.3,1.3,Proportional
Poland,2,2.9,8.3,0.3,Under-represented
Netherlands,2,2.9,3.9,0.7,Proportional
Belgium,2,2.9,2.6,1.1,Proportional
Finland,2,2.9,1.2,2.4,Over-represented
Cyprus,2,2.9,0.2,14.5,Over-represented
Latvia,2,2.9,0.4,7.2,Over-represented
Austria,2,2.9,2.0,1.4,Proportional
Greece,2,2.9,2.3,1.3,Proportional
Portugal,1,1.5,2.3,0.7,Proportional
Romania,1,1.5,4.3,0.3,Under-represented
Czechia,1,1.5,2.4,0.6,Proportional
Slovenia,1,1.5,0.5,3.0,Over-represented
Lithuania,1,1.5,0.6,2.5,Over-represented
Denmark,1,1.5,1.3,1.2,Proportional
Croatia,1,1.5,0.9,1.7,Over-represented
Estonia,1,1.5,0.3,5.0,Over-represented
Hungary,0,0.0,2.2,0.0,Proportional
Slovakia,0,0.0,1.2,0.0,Proportional
Luxembourg,0,0.0,0.1,0.0,Proportional
