name,country,national_party,ep_group,notes
Adamos Adamou,Cyprus,&#160;,AKEL,EUL/NGL
Vittorio Agnoletto,Italy,Southern,RC,EUL/NGL
Vincenzo Aitafrom 19 June 2006,Italy,&#160;,RC,EUL/NGL
Gabriele Albertini,Italy,North-West,FI,EPP-ED
Jim Allister,United Kingdom,Northern Ireland,DUP,NI
Alexander Nuno Alvaro,Germany,&#160;,FDP,ALDE
Jan Andersson,Sweden,&#160;,S,PES
Georgs Andrejevs,Latvia,&#160;,LC,ALDE
Laima Liucija Andrikienė,Lithuania,&#160;,TS-LK,EPP-ED
Emmanouil Angelakasfrom 1 October 2007,Greece,&#160;,ND,EPP-ED
Roberta Angelilli,Italy,Central,AN,UEN
Rapisardo Antinuccifrom 17 June 2008,Italy,Central,PS,PES
Alin Lucian Antochifrom 21 January 2009,Romania,&#160;,PSD,PES
Alfredo Antoniozzi,Italy,Central,FI,EPP-ED
Kader Arif,France,Sud-Ouest,PS,PES
Stavros Arnaoutakis,Greece,&#160;,PASOK,PES
Richard Ashworth,United Kingdom,South East England,Con,EPP-ED
Francisco Assis,Portugal,&#160;,PS,PES
Robert Atkins,United Kingdom,North West England,Con,EPP-ED
John Attard Montalto,Malta,&#160;,MLP,PES
Elspeth Attwooll,United Kingdom,Scotland,Lib Dem,ALDE
Marie-Hélène Aubert,France,Ouest,Les Verts,Greens-EFA
Jean-Pierre Audyfrom 11 June 2005,France,Massif central – Centre,UMP,EPP-ED
Margrete Auken,Denmark,&#160;,SF,Greens-EFA
Inés Ayala Sender,Spain,&#160;,PSOE,PES
Liam Aylward,Republic of Ireland,East,FF,UEN
María del Pilar Ayuso González,Spain,&#160;,PP,EPP-ED
Peter Baco,Slovakia,&#160;,LS – HZDS,NI
María Badía i Cutchet (also Badía i Cutxet),Spain,&#160;,PSOE,PES
Marielka Velichkova Baevafrom 6 June 2007,Bulgaria,&#160;,DPS,ALDE
Enrique Barón Crespo,Spain,&#160;,PSOE,PES
Etelka Barsiné Pataky,Hungary,&#160;,FIDESZ/MPSZ,EPP-ED
Paolo Bartolozzifrom 23 June 2008,Italy,Central,FI,EPP-ED
Domenico Antonio Basilefrom 17 June 2008,Italy,Southern,AN,UEN
Gerard Batten,United Kingdom,London,UKIP,IND/DEM
Alessandro Battilocchio,Italy,Central,NPSI,NI
Aikaterini Batzeli,Greece,&#160;,PASOK,PES
Edit Bauer,Slovakia,&#160;,MKP,EPP-ED
Daniel Bautistafrom 26 March 2009,Spain,&#160;,PP,EPP-ED
Jean-Marie Beaupuy,France,Est,UDF,ALDE
Christopher Beazley,United Kingdom,East of England,Con,EPP-ED
Zsolt Becsey,Hungary,&#160;,FIDESZ/MPSZ,EPP-ED
Glenn Bedingfield,Malta,&#160;,MLP,PES
Angelika Beer,Germany,&#160;,Die Grünen,Greens-EFA
Bastiaan Belder,Netherlands,&#160;,ChristenUnie /SGP,IND/DEM
Ivo Belet,Belgium,Flemish Community,CD&amp;V/N-VA,EPP-ED
Irena Belohorská,Slovakia,&#160;,LS – HZDS,NI
Jean-Luc Bennahmias,France,Sud-Est,Les Verts,Greens-EFA
Monika Beňová,Slovakia,&#160;,SMER,PES
Rolf Berend,Germany,Thuringia,CDU,EPP-ED
Pervenche Berès,France,Ile-de-France,PS,PES
Maria Bergerfrom 11 December 2008,Austria,&#160;,SPÖ,PES
Sergio Berlato,Italy,North-East,AN,UEN
Giovanni Berlinguer,Italy,North-East,DS,PES
Thijs Berman,Netherlands,&#160;,PvdA,PES
Adam Bielan,Poland,MP &amp; SW,PiS,UEN
Slavcho Binevfrom 6 June 2007,Bulgaria,&#160;,NSA,NI
Šarūnas Birutis,Lithuania,&#160;,DP,ALDE
Hans Blokland,Netherlands,&#160;,ChristenUnie /SGP,IND/DEM
Godfrey Bloom,United Kingdom,Yorkshire and the Humber,UKIP,IND/DEM
Jana Bobošiková,Czech Republic,&#160;,&#160;,NI
Sebastian Valentin Bodufrom 10 December 2007,Romania,&#160;,PSD,EPP-ED
Reimer Böge,Germany,Schleswig-Holstein,CDU,EPP-ED
Guy Bono,France,Sud-Est,PS,PES
Vito Bonsignore,Italy,North-West,UDC,EPP-ED
Mario Borghezio,Italy,North-West,LN,UEN
Josep Borrell Fontelles,Spain,&#160;,PSOE,PES
Herbert Bösch,Austria,&#160;,SPÖ,PES
Erminio Enzo Bosofrom 23 June 2008,Italy,North-East,LN,UEN
Victor Boştinarufrom 10 December 2007,Romania,&#160;,PSD,PES
Costas Botopoulosfrom 1 October 2007,Greece,&#160;,PASOK,PES
Catherine Boursierfrom 18 May 2008,France,Est,PS,PES
John Bowis,United Kingdom,London,Con,EPP-ED
Sharon Bowlesfrom 12 May 2005,United Kingdom,South East England,Lib Dem,ALDE
Emine Bozkurt,Netherlands,&#160;,PvdA,PES
Philip Bradbourn,United Kingdom,West Midlands,Con,EPP-ED
Iles Braghettofrom 28 July 2005,Italy,North-East,UDC,EPP-ED
Mihael Brejc,Slovenia,&#160;,SDS,EPP-ED
Frederika Brepoels,Belgium,Flemish Community,N-VA,EPP-ED
Hiltrud Breyer,Germany,&#160;,Die Grünen,Greens-EFA
Jan Březina,Czech Republic,&#160;,KDU-CSL,EPP-ED
André Brie,Germany,&#160;,PDS,EUL/NGL
Elmar Brok,Germany,North Rhine-Westphalia,CDU,EPP-ED
Danutė Budreikaitė,Lithuania,&#160;,DP,ALDE
Kathalijne Buitenweg,Netherlands,&#160;,GroenLinks,Greens-EFA
Wolfgang Bulfonfrom 18 January 2007,Austria,&#160;,SPÖ,PES
Udo Bullmann,Germany,&#160;,SPD,PES
Nicodim Bulzescfrom 10 December 2007,Romania,&#160;,PSD,EPP-ED
Colm Burkefrom 19 June 2007,Republic of Ireland,South,FG,EPP-ED
Philip Bushill-Matthews,United Kingdom,West Midlands,Con,EPP-ED
Niels Busk,Denmark,&#160;,V,ALDE
Cristian Silviu Buşoifrom 24 April 2007,Romania,&#160;,PNL,ALDE
Philippe Busquinfrom 13 September 2004,Belgium,French Community,PS,PES
Simon Busuttil,Malta,&#160;,PN,EPP-ED
Jerzy Buzek,Poland,SL,PO,EPP-ED
Milan Cabrnoch,Czech Republic,&#160;,ODS,EPP-ED
Maddalena Caliafrom 12 September 2008,Italy,Islands,FI,EPP-ED
Martin Callanan,United Kingdom,North East England,Con,EPP-ED
Mogens Camre,Denmark,&#160;,DF,UEN
Marco Cappatofrom 8 May 2006,Italy,&#160;,Lista Bonino,ALDE
Luis Manuel Capoulas Santos,Portugal,&#160;,PS,PES
Marie-Arlette Carlotti,France,Sud-Est,PS,PES
Maria Carlshamre,Sweden,&#160;,Fp,ALDE
Giorgio Carollo,Italy,North-East,FI,EPP-ED
David Casa,Malta,&#160;,PN,EPP-ED
Paulo Casaca,Portugal,&#160;,PS,PES
Michael Cashman,United Kingdom,West Midlands,Lab,PES
Carlo Casinifrom 8 May 2006,Italy,&#160;,UDC,EPP-ED
Daniel Caspary,Germany,Baden-Württemberg,CDU,EPP-ED
Françoise Castex,France,Sud-Ouest,PS,PES
Giusto Catania,Italy,North-West,RC,EUL/NGL
Jean-Marie Cavada,France,Sud-Ouest,UDF,ALDE
Charlotte Cederschiöld,Sweden,&#160;,M,EPP-ED
Alejandro Cercas,Spain,&#160;,PSOE,PES
Jorgo Chatzimarkakis,Germany,&#160;,FDP,ALDE
Giles Chichester,United Kingdom,South West England,Con,EPP-ED
Giulietto Chiesa,Italy,Southern or North-West,SCDO,ALDE
Călin Cătălin Chiriţăfrom 22 December 2008,Romania,&#160;,PD-L,EPP-ED
Zdzisław Chmielewski,Poland,LB &amp; ZP,Civic Platform,EPP-ED
Ole Christensen,Denmark,&#160;,SD,PES
Sylwester Chruszcz,Poland,DS &amp; OP,LPR,IND/DEM
Desislav Chukolovfrom 6 June 2007,Bulgaria,&#160;,NSA,NI
Fabio Cianifrom 16 May 2008,Italy,Central,PD,PES
Paolo Cirino Pomicino,Italy,Southern,AP-UDEUR,EPP-ED
Philip Claeys,Belgium,Flemish Community,VlB,NI
Derek Clark,United Kingdom,East Midlands,UKIP,IND/DEM
Luigi Cocilovo,Italy,Islands,Margherita,ALDE
Carlos Coelho,Portugal,&#160;,PPD-PSD,EPP-ED
Daniel Cohn-Bendit,Germany,&#160;,Die Grünen,Greens-EFA
Trevor Colmanfrom 1 October 2008,United Kingdom,South West England,UKIP,IND/DEM
Richard Corbett,United Kingdom,Yorkshire and the Humber,Lab,PES
Dorette Corbey,Netherlands,&#160;,PvdA,PES
Giovanna Cordafrom 31 August 2007,Belgium,French Community,PS,PES
Thierry Cornillet,France,Sud-Est,UDF,ALDE
Paolo Costa,Italy,North-East,Margherita,ALDE
Jean-Louis Cottigny,France,Nord-Ouest,PS,PES
Paul-Marie Coûteaux,France,Ile-de-France,MPF,IND/DEM
Michael Cramer,Germany,&#160;,Die Grünen,Greens-EFA
Jan Cremersfrom 30 April 2008,Netherlands,&#160;,PvdA,PES
Corina Creţufrom 1 January 2007,Romania,&#160;,PSD,PES
Gabriela Creţufrom 1 January 2007,Romania,&#160;,PSD,PES
Brian Crowley,Republic of Ireland,South,FF,UEN
Magor Imre Csibifrom 10 December 2007,Romania,&#160;,PNL,ALDE
Marek Czarnecki,Poland,MA,Samoobrona,UEN
Ryszard Czarnecki,Poland,DS &amp; OP,Samoobrona,UEN
Hanne Dahlfrom 9 May 2008,Denmark,&#160;,Juni B.,IND/DEM
Daniel Dăianufrom 10 December 2007,Romania,&#160;,PNL,ALDE
Vasilica Dăncilăfrom 21 January 2009,Romania,&#160;,PSD,PES
Joseph Daul,France,Est,UMP,EPP-ED
Dragoş Florin Davidfrom 10 December 2007,Romania,&#160;,PSD,EPP-ED
Chris Davies,United Kingdom,North West England,Lib Dem,ALDE
Antonio de Blasiofrom 31 July 2006,Hungary,&#160;,FIDESZ/MPSZ,EPP-ED
Bairbre de Brún,United Kingdom,Northern Ireland,SF,EUL/NGL
Luis de Grandes Pascual,Spain,&#160;,PP,EPP-ED
Els de Groen-Kouwenhoven,Netherlands,&#160;,ET,Greens-EFA
Véronique de Keyser,Belgium,French Community,PS,PES
Esther de Langefrom 12 April 2007,Netherlands,&#160;,CDA,EPP-ED
Gianni De Michelis,Italy,Southern,NPSI,NI
Proinsias De Rossa,Republic of Ireland,Dublin,Labour Party,PES
Marielle de Sarnez,France,Ile-de-France,UDF,ALDE
Christine de Veyrac,France,Sud-Ouest,UMP,EPP-ED
Philippe de Villiers,France,Ouest,MPF,IND/DEM
Mia De Vits,Belgium,Flemish Community,SP.A,PES
Arūnas Degutis,Lithuania,&#160;,DP,ALDE
Jean-Luc Dehaene,Belgium,Flemish Community,CD&amp;V,EPP-ED
Pilar del Castillo Vera,Spain,&#160;,PP,EPP-ED
Panayiotis Demetriou,Cyprus,&#160;,DISY,EPP-ED
Jean-Paul Denanotfrom 6 October 2008,France,Massif central – Centre,PS,PES
Gérard Deprez,Belgium,French Community,MCC,ALDE
Marie-Hélène Descamps,France,Massif central – Centre,UMP,EPP-ED
Harlem Désir,France,Ile-de-France,PS,PES
Albert Dess,Germany,Bavaria,CSU,EPP-ED
Nirj Deva,United Kingdom,South East England,Con,EPP-ED
Agustín Díaz de Mera García Consuegra,Spain,&#160;,PP,EPP-ED
Jolanta Dičkutė,Lithuania,&#160;,DP,ALDE
Gintaras Didžiokas,Lithuania,&#160;,LVLS,UEN
Rosa María Díez Gonzalez,Spain,&#160;,PSOE,PES
Koenraad Dillen,Belgium,Flemish Community,VlB,NI
Giorgos Dimitrakopoulos,Greece,&#160;,ND,EPP-ED
Alexandra Dobolyi,Hungary,&#160;,MSZP,PES
Beniamino Donnicifrom 15 November 2007,Italy,&#160;,Ind,PES
Bert Doorn,Netherlands,&#160;,CDA,EPP-ED
Manuel dos Santos,Portugal,&#160;,PS,PES
Brigitte Douay,France,Nord-Ouest,PS,PES
Den Dover,United Kingdom,North West England,Con,EPP-ED
Avril Doyle,Republic of Ireland,East,FG,EPP-ED
Mojca Drčar Murko,Slovenia,&#160;,LDS/DeSUS,ALDE
Konstantinos Droutsasfrom 3 June 2008,Greece,&#160;,KKE,EUL/NGL
Petr Duchoň,Czech Republic,&#160;,ODS,EPP-ED
Andrew Duff,United Kingdom,East of England,Lib Dem,ALDE
Bárbara Dührkop Dührkop,Spain,&#160;,PSOE,PES
Garrelt Duin,Germany,&#160;,SPD,PES
Árpád Duka-Zólyomi,Slovakia,&#160;,MKP,EPP-ED
Constantin Dumitriufrom 10 December 2007,Romania,&#160;,PSD,EPP-ED
Antoine Duquesne,Belgium,French Community,MR,ALDE
Michl Ebner,Italy,North-East,SVP,EPP-ED
Christian Ehler,Germany,Brandenburg,CDU,EPP-ED
Lena Ek,Sweden,&#160;,C,ALDE
Saïd el Khadraoui,Belgium,Flemish Community,SP.A/Spirit,PES
James Elles,United Kingdom,South East England,Con,EPP-ED
Assunção Esteves,Portugal,&#160;,PPD-PSD,EPP-ED
Edite Estrela,Portugal,&#160;,PS,PES
Harald Ettl,Austria,&#160;,SPÖ,PES
Jill Evans,United Kingdom,Wales,PC,Greens-EFA
Jonathan Evans,United Kingdom,Wales,Con,EPP-ED
Robert Evans,United Kingdom,London,Lab,PES
Hynek Fajmon,Czech Republic,&#160;,ODS,EPP-ED
Richard Falbr,Czech Republic,&#160;,CSSD,PES
Nigel Farage,United Kingdom,South East England,UKIP,IND/DEM
Göran Färmfrom 1 February 2007,Sweden,&#160;,S,PES
Carlo Fatuzzo,Italy,North-West,PdP,EPP-ED
Claudio Fava,Italy,Islands,DS,PES
Szabolcs Fazakas,Hungary,&#160;,MSZP,PES
Markus Ferber,Germany,Bavaria,CSU,EPP-ED
Emanuel Fernandes,Portugal,&#160;,PS,PES
Fernando Fernández Martín,Spain,&#160;,PP,EPP-ED
Francesco Ferrarifrom 5 July 2007,Italy,North-West,Olive Tree,ALDE
Anne Ferreira,France,Ile-de-France,PS,PES
Elisa Ferreira,Portugal,&#160;,PS,PES
Ilda Figueiredo,Portugal,&#160;,PCP,EUL/NGL
Roberto Fiorefrom 16 May 2008,Italy,Central,AS,NI
Christofer Fjellner,Sweden,&#160;,M,EPP-ED
Věra Flasarová,Czech Republic,&#160;,KSCM,EUL/NGL
Hélène Flautre,France,Nord-Ouest,Les Verts,Greens-EFA
Karl-Heinz Florenz,Germany,North Rhine-Westphalia,CDU,EPP-ED
Alessandro Foglietta,Italy,Central,AN,UEN
Hanna Foltyn-Kubicka,Poland,&#160;,PiS,UEN
Nicole Fontaine,France,Ile-de-France,UMP,EPP-ED
Glyn Ford,United Kingdom,South West England,Lab,PES
Anna Fotyga,Poland,PM,PiS,UEN
Brigitte Fouréfrom 10 January 2008,France,Nord-Ouest,NC,EPP-ED
Janelly Fourtou,France,Massif central – Centre,UDF,ALDE
Carmen Fraga Estévez,Spain,&#160;,PP,EPP-ED
Juan Fraile Cantónfrom 7 April 2008,Spain,&#160;,PSOE,PES
Armando Françafrom 15 October 2007,Portugal,&#160;,PS,PES
Monica Frassoni,Italy,North-West,Verdi,Greens-EFA
Duarte Freitas,Portugal,&#160;,PPD-PSD,EPP-ED
Ingo Friedrich,Germany,Bavaria,CSU,EPP-ED
Sorin Frunzăverdefrom 10 December 2007,Romania,&#160;,PSD,EPP-ED
Daniel Petru Funeriufrom 22 December 2008,Romania,&#160;,PD-L,EPP-ED
Urszula Gacekfrom 6 December 2007,Poland,MP &amp; SW,PO,EPP-ED
Michael Gahler,Germany,Hesse,CDU,EPP-ED
Kinga Gál,Hungary,&#160;,FIDESZ/MPSZ,EPP-ED
Milan Gaľa,Slovakia,&#160;,SDKU,EPP-ED
Gerardo Galeote Quecedo,Spain,&#160;,PP,EPP-ED
Vicente Miguel Garcés Ramón,Spain,&#160;,PSOE,PES
José García-Margallo y Marfil,Spain,&#160;,PP,EPP-ED
Iratxe García Perez,Spain,&#160;,PSOE,PES
Elisabetta Gardinifrom 30 May 2008,Italy,North-East,FI,EPP-ED
Giuseppe Gargani,Italy,Southern,FI,EPP-ED
Salvador Garriga Polledo,Spain,&#160;,PP,EPP-ED
Patrick Gaubert,France,Ile-de-France,UMP,EPP-ED
Jean-Paul Gauzes,France,Nord-Ouest,UMP,EPP-ED
Jas Gawronski,Italy,North-West,FI,EPP-ED
Evelyne Gebhardt,Germany,&#160;,SPD,PES
Eugenijus Gentvilas,Lithuania,&#160;,LCS,ALDE
Georgios Georgiou&#160;&#91;pl&#93;from 1 October 2007,Greece,&#160;,LA.O.S,IND/DEM
Lidia Geringer de Oedenberg,Poland,DS &amp; OP,SLD/UP,PES
Roland Gewaltfrom 27 October 2005,Germany,Berlin,CDU,EPP-ED
Claire Gibault,France,Sud-Est,UDF,ALDE
Adam Gierek,Poland,SL,SLD/UP,PES
Maciej Giertych,Poland,SL,LPR,IND/DEM
Neena Gill,United Kingdom,West Midlands,Lab,PES
Monica Giuntinifrom 17 October 2008,Italy,Central,PD,PES
Ioannis Gklavakis,Greece,&#160;,ND,EPP-ED
Norbert Glante,Germany,&#160;,SPD,PES
Béla Glattfelder,Hungary,&#160;,FIDESZ/MPSZ,EPP-ED
Robert Goebbels,Luxembourg,&#160;,LSAP,PES
Lutz Goepel,Germany,Saxony,CDU,EPP-ED
Bogdan Golik,Poland,LD,Samoobrona,PES
Bruno Gollnisch,France,Est,FN,NI
Ana Maria Gomes,Portugal,&#160;,PS,PES
Alfred Gomolka,Germany,Mecklenburg-Vorpommern,CDU,EPP-ED
Donata Maria Assunta Gottardifrom 8 May 2006,Italy,&#160;,Olive Tree,PES
Hélène Goudin,Sweden,&#160;,Junilistan,IND/DEM
Genowefa Grabowska,Poland,SL,SDPL,PES
Dariusz Grabowski,Poland,MA,LPR,UEN
Vasco Graça Moura,Portugal,&#160;,PPD-PSD,EPP-ED
Friedrich-Wilhelm Graefe zu Baringdorf,Germany,&#160;,Die Grünen,Greens-EFA
Ingeborg Grässle,Germany,Baden-Württemberg,CDU,EPP-ED
Martí Grau i Segúfrom 7 April 2008,Spain,&#160;,PSC,PES
Louis Grech,Malta,&#160;,MLP,PES
Natalie Griesbeck,France,Est,UDF,ALDE
Lissy Gröner,Germany,&#160;,SPD,PES
Matthias Grootefrom 26 October 2005,Germany,&#160;,SPD,PES
Mathieu Grosch,Belgium,German community,CSP-EVP,EPP-ED
Françoise Grossetête,France,Sud-Est,UMP,EPP-ED
Ambroise Guellec,France,Ouest,UMP,EPP-ED
Pedro Guerreirofrom 13 January 2005,Portugal,&#160;,PCP,EUL/NGL
Umberto Guidoni,Italy,Central,PdCI,EUL/NGL
Zita Gurmai,Hungary,&#160;,MSZP,PES
Cristina Gutiérrez-Cortines,Spain,&#160;,PP,EPP-ED
Catherine Guy-Quint,France,Massif central – Centre,PS,PES
András Gyürk,Hungary,&#160;,FIDESZ/MPSZ,EPP-ED
Fiona Hall,United Kingdom,North East England,Lib Dem,ALDE
Ioan Lucian Hămbăşanfrom 1 March 2009,Romania,&#160;,PD-L,EPP-ED
David Hammerstein Mintz,Spain,&#160;,Los Verdes,Greens-EFA
Benoît Hamon,France,Est,PS,PES
Małgorzata Handzlik,Poland,SL,PO,EPP-ED
Daniel Hannan,United Kingdom,South East England,Con,EPP-ED
Klaus Hänsch,Germany,&#160;,SPD,PES
Gábor Harangozó,Hungary,&#160;,MSZP,PES
Malcolm Harbour,United Kingdom,West Midlands,Con,EPP-ED
Marian Harkin,Republic of Ireland,North-West,&#160;,ALDE
Rebecca Harms,Germany,&#160;,Die Grünen,Greens-EFA
Joel Hasse Ferreirafrom 12 March 2005,Portugal,&#160;,PS,PES
Satu Hassi,Finland,&#160;,Vihreät,Greens-EFA
Jutta Haug,Germany,&#160;,SPD,PES
