name,term,position
Alejo Vidal-Quadras Roca,ep6,EP Vice-President
Antonios Trakatellis,ep6,EP Vice-President
Edward McMillan-Scott,ep6,EP Vice-President
Ingo Friedrich,ep6,EP Vice-President
Mario Mauro,ep6,EP Vice-President
Jacek Saryusz-Wolski,ep6,EP Vice-President
Miroslav Ouzký,ep6,EP Vice-President
Rodi Kratsa-Tsagaropoulou,ep6,EP Vice-President
Alejo Vidal-Quadras,ep6,EP Vice-President
Dagmar Roth-Behrendt,ep6,EP Vice-President
António Costa,ep6,EP Vice-President
Pierre Moscovici,ep6,EP Vice-President
Miguel Angel Martínez Martínez,ep6,EP Vice-President
Mechtild Rothe,ep6,EP Vice-President
Manuel António Dos Santos,ep6,EP Vice-President
Marek Siwiec,ep6,EP Vice-President
Luigi Cocilovo,ep6,EP Vice-President
Janusz Onyszkiewicz,ep6,EP Vice-President
Diana Wallis,ep6,EP Vice-President
Gérard Onesta,ep6,EP Vice-President
Sylvia-Yvonne Kaufmann,ep6,EP Vice-President
Luisa Morgantini,ep6,EP Vice-President
Adam Bielan,ep6,EP Vice-President
Jim Nicholson (Northern Ireland politician),ep6,EP Vice-President
Godelieve Quisthoudt-Rowohl,ep6,EP Vice-President
Astrid Lulling,ep6,EP Vice-President
Genowefa Grabowska,ep6,EP Vice-President
Mia De Vits,ep6,EP Vice-President
Szabolcs Fazakas,ep6,EP Vice-President
Jan Mulder (People's Party for Freedom and Democracy),ep6,EP Vice-President
Hans-Gert Pöttering,ep6,EP Vice-President
Joseph Daul,ep6,EP Vice-President
Martin Schulz,ep6,EP Vice-President
Graham Watson,ep6,EP Vice-President
Monica Frassoni,ep6,EP Vice-President
Daniel Cohn-Bendit,ep6,EP Vice-President
Alonso José Puerta,ep6,EP Vice-President
Francis Wurtz,ep6,EP Vice-President
Jens-Peter Bonde,ep6,EP Vice-President
Kathy Sinnott,ep6,EP Vice-President
Hanne Dahl,ep6,EP Vice-President
Nigel Farage,ep6,EP Vice-President
Brian Crowley,ep6,EP Vice-President
Cristiana Muscardini,ep6,EP Vice-President
Bruno Gollnisch,ep6,EP Vice-President
Political groups of the European Parliament,ep6,EP Vice-President
