name,country,national_party,ep_group,notes
Elected,Current,Initial,Current,
Hildegard Bentele,,CDU/CSU,,CDU |  | EPP |  | EPP | 
Stefan Berger,,CDU/CSU,,CDU |  | EPP |  | EPP | 
Daniel Caspary,,CDU/CSU,,CDU |  | EPP |  | EPP | 
Lena Düpont,,CDU/CSU,,CDU |  | EPP |  | EPP | 
Jan Christian Ehler,,CDU/CSU,,CDU |  | EPP |  | EPP | 
Michael Gahler,,CDU/CSU,,CDU |  | EPP |  | EPP | 
Jens Gieseke,,CDU/CSU,,CDU |  | EPP |  | EPP | 
Niclas Herbst,,CDU/CSU,,CDU |  | EPP |  | EPP | 
Peter Jahr,,CDU/CSU,,CDU |  | EPP |  | EPP | 
Peter Liese,,CDU/CSU,,CDU |  | EPP |  | EPP | 
Norbert Lins,,CDU/CSU,,CDU |  | EPP |  | EPP | 
David McAllister,,CDU/CSU,,CDU |  | EPP |  | EPP | 
Markus Pieper,,CDU/CSU,,CDU |  | EPP |  | EPP | 
Dennis Radtke,,CDU/CSU,,CDU |  | EPP |  | EPP | 
Christine Schneider,,CDU/CSU,,CDU |  | EPP |  | EPP | 
Sven Schulze,,CDU/CSU,,CDU |  | EPP |  | EPP | Replaced by Braunsberger-Reinhold in 2021
Karolin Braunsberger-Reinhold,,CDU/CSU,,CDU |  | EPP |  | EPP | Replaced Schulze in 2021
Andreas Schwab,,CDU/CSU,,CDU |  | EPP |  | EPP | 
Ralf Seekatz,,CDU/CSU,,CDU |  | EPP |  | EPP | 
Sven Simon,,CDU/CSU,,CDU |  | EPP |  | EPP | 
Sabine Verheyen,,CDU/CSU,,CDU |  | EPP |  | EPP | 
Axel Voss,,CDU/CSU,,CDU |  | EPP |  | EPP | 
Marion Walsmann,,CDU/CSU,,CDU |  | EPP |  | EPP | 
Rainer Wieland,,CDU/CSU,,CDU |  | EPP |  | EPP | 
Manfred Weber,,CDU/CSU,,CSU |  | EPP |  | EPP | CDU/CSU list leader
Angelika Niebler,,CDU/CSU,,CSU |  | EPP |  | EPP | 
Markus Ferber,,CDU/CSU,,CSU |  | EPP |  | EPP | 
Monika Hohlmeier,,CDU/CSU,,CSU |  | EPP |  | EPP | 
Christian Doleschal,,CDU/CSU,,CSU |  | EPP |  | EPP | 
Marlene Mortler,,CDU/CSU,,CSU |  | EPP |  | EPP | 
Ska Keller,,Greens,,Greens |  | G/EFA |  | G/EFA | Greens list leader
Sven Giegold,,Greens,,Greens |  | G/EFA |  | G/EFA | Replaced by Gallée in 2021
Malte Gallée,,Greens,,"Greens |  | G/EFA |  | NI | Replaced Giegold in 2021, replaced by Ovelgönne in 2024"
Jan Ovelgönne,,Greens,,Greens |  | G/EFA |  | G/EFA | Replaced Gallée in 2024
Terry Reintke,,Greens,,Greens |  | G/EFA |  | G/EFA | 
Reinhard Bütikofer,,Greens,,Greens |  | G/EFA |  | G/EFA | 
Hannah Neumann,,Greens,,Greens |  | G/EFA |  | G/EFA | 
Martin Häusling,,Greens,,Greens |  | G/EFA |  | G/EFA | 
Anna Cavazzini,,Greens,,Greens |  | G/EFA |  | G/EFA | 
Erik Marquardt,,Greens,,Greens |  | G/EFA |  | G/EFA | 
Katrin Langensiepen,,Greens,,Greens |  | G/EFA |  | G/EFA | 
Romeo Franz,,Greens,,Greens |  | G/EFA |  | G/EFA | 
Jutta Paulus,,Greens,,Greens |  | G/EFA |  | G/EFA | 
Sergey Lagodinsky,,Greens,,Greens |  | G/EFA |  | G/EFA | 
Henrike Hahn,,Greens,,Greens |  | G/EFA |  | G/EFA | 
Michael Bloss,,Greens,,Greens |  | G/EFA |  | G/EFA | 
Anna Deparnay-Grunenberg,,Greens,,Greens |  | G/EFA |  | G/EFA | 
Rasmus Andresen,,Greens,,Greens |  | G/EFA |  | G/EFA | 
Alexandra Geese,,Greens,,Greens |  | G/EFA |  | G/EFA | 
Niklas Nienaß,,Greens,,Greens |  | G/EFA |  | G/EFA | 
Viola von Cramon-Taubadel,,Greens,,Greens |  | G/EFA |  | G/EFA | 
Daniel Freund,,Greens,,Greens |  | G/EFA |  | G/EFA | 
Pierrette Herzberger-Fofana,,Greens,,Greens |  | G/EFA |  | G/EFA | 
Katarina Barley,,SPD,,SPD |  | S&amp;D |  | S&amp;D | SPD list leader
Udo Bullmann,,SPD,,SPD |  | S&amp;D |  | S&amp;D | 
Maria Noichl,,SPD,,SPD |  | S&amp;D |  | S&amp;D | 
Jens Geier,,SPD,,SPD |  | S&amp;D |  | S&amp;D | 
Delara Burkhardt,,SPD,,SPD |  | S&amp;D |  | S&amp;D | 
Bernd Lange,,SPD,,SPD |  | S&amp;D |  | S&amp;D | 
Birgit Sippel,,SPD,,SPD |  | S&amp;D |  | S&amp;D | 
Dietmar Köster,,SPD,,SPD |  | S&amp;D |  | S&amp;D | 
Gabriele Bischoff,,SPD,,SPD |  | S&amp;D |  | S&amp;D | 
Ismail Ertug,,SPD,,SPD |  | S&amp;D |  | S&amp;D | Replaced by Rudner in 2023
Thomas Rudner,,SPD,,SPD |  | S&amp;D |  | S&amp;D | Replaced Ertug in 2023
Constanze Krehl,,SPD,,SPD |  | S&amp;D |  | S&amp;D | Replaced by Ecke in 2022
Matthias Ecke,,SPD,,SPD |  | S&amp;D |  | S&amp;D | Replaced Krehl in 2022
Tiemo Wölken,,SPD,,SPD |  | S&amp;D |  | S&amp;D | 
Petra Kammerevert,,SPD,,SPD |  | S&amp;D |  | S&amp;D | 
Norbert Neuser,,SPD,,SPD |  | S&amp;D |  | S&amp;D | Replaced by Lucke in 2022
Karsten Lucke,,SPD,,SPD |  | S&amp;D |  | S&amp;D | Replaced Neuser in 2022
Evelyne Gebhardt,,SPD,,SPD |  | S&amp;D |  | S&amp;D | Replaced by Repasi in 2022
René Repasi,,SPD,,SPD |  | S&amp;D |  | S&amp;D | Replaced Gebhardt in 2022
Joachim Schuster,,SPD,,SPD |  | S&amp;D |  | S&amp;D | 
Jörg Meuthen,,AfD,,IND |  | ID |  | NI | AfD list leader
Guido Reil,,AfD,,AfD |  | ID |  | NI | 
Maximilian Krah,,AfD,,AfD |  | ID |  | NI | 
Lars Patrick Berg,,AfD,,BD |  | ID |  | ECR | 
Bernhard Zimniok,,AfD,,AfD |  | ID |  | NI | 
Nicolaus Fest,,AfD,,AfD |  | ID |  | NI | 
Markus Buchheit,,AfD,,AfD |  | ID |  | NI | 
Christine Anderson,,AfD,,AfD |  | ID |  | NI | 
Sylvia Limmer,,AfD,,AfD |  | ID |  | NI | 
Gunnar Beck,,AfD,,AfD |  | ID |  | NI | 
Joachim Kuhs,,AfD,,AfD |  | ID |  | NI | 
Nicola Beer,,FDP,,"FDP |  | RE |  | RE | FDP list leader, replaced by Kauch in 2024"
Michael Kauch,,FDP,,FDP |  | RE |  | RE | Replaced Beer in 2024
Svenja Hahn,,FDP,,FDP |  | RE |  | RE | 
Andreas Glück,,FDP,,FDP |  | RE |  | RE | 
Moritz Körner,,FDP,,FDP |  | RE |  | RE | 
Jan-Christoph Oetjen,,FDP,,FDP |  | RE |  | RE | 
Martin Schirdewan,,Left,,Left |  | GUE-NGL |  | GUE-NGL | Left list leader
Özlem Demirel,,Left,,Left |  | GUE-NGL |  | GUE-NGL | 
Cornelia Ernst,,Left,,Left |  | GUE-NGL |  | GUE-NGL | 
Helmut Scholz,,Left,,Left |  | GUE-NGL |  | GUE-NGL | 
Martina Michels,,Left,,Left |  | GUE-NGL |  | GUE-NGL | 
Martin Sonneborn,,PARTEI,,PARTEI |  | NI |  | NI | PARTEI list leader
Nico Semsrott,,PARTEI,,IND |  | G/EFA |  | G/EFA | 
Ulrike Müller,,FW,,FW |  | RE |  | RE | FW list leader
Engin Eroglu,,FW,,FW |  | RE |  | RE | 
Martin Buschmann,,TIER,,IND |  | GUE-NGL |  | NI | TIER list leader
Klaus Buchner,,ÖDP,,"ÖDP |  | G/EFA |  | G/EFA | ÖDP list leader, replaced by Ripa in 2020"
Manuela Ripa,,ÖDP,,ÖDP |  | G/EFA |  | G/EFA | Replaced Buchner in 2020
Helmut Geuking,,Familie,,"Familie |  | ECR |  | EPP | Familie list leader, replaced by Niels Geuking in 2024"
Niels Geuking,,Familie,,Familie |  | NI |  | NI | Replaced Helmut Geuking in 2024
Damian Boeselager,,Volt,,Volt |  | G/EFA |  | G/EFA | Volt list leader
Patrick Breyer,,Piraten,,Piraten |  | G/EFA |  | G/EFA | Piraten list leader
