wikidata_id,wikipedia_title
Q111435,Jan-Christoph_Oetjen
Q1112658,Maria_Noichl
Q114033,Marlene_Mortler
Q114667,Sarah_Wiener
Q1183377,Deirdre_Clune
Q11074254,Biljana_Borzan
Q159490,Jan_Zahradil
Q11749266,Krzysztof_Hetman
Q11767619,Marcin_Kierwi%C5%84ski
Q11767999,Marek_Balt
Q11778705,Micha%C5%82_Dworczyk
Q11778888,Micha%C5%82_Kobosko
Q11813593,Patryk_Jaki
Q11857612,Elsi_Katainen
Q11880159,Veronika_Vrecionov%C3%A1
Q15870693,Dita_Charanzov%C3%A1
Q15870687,Martina_Dlabajov%C3%A1
Q15907132,J%C3%B6rg_Meuthen
Q15919839,Giannis_Maniatis_(politician)
Q15951419,Marc_Angel
Q15967888,Eugen_Tomac
Q15976266,Dario_Nardella
Q15980671,Carlos_Zorrinho
Q11860,Silvio_Berlusconi
Q109918947,Nikola_Minchev
Q109968699,Annam%C3%A1ria_Vicsek
Q110213949,Pierre-Romain_Thionnet
Q110513292,Camilla_Laureti
Q110529529,Karsten_Lucke
Q110572786,Malte_Gall%C3%A9e
Q110589780,Catharina_Rinzema
Q110635584,Sofie_Eriksson
Q110794778,Ren%C3%A9_Repasi
Q110970031,Anna_St%C3%BCrgkh
Q111353622,Rosa_Mar%C3%ADa_Serrano_Sierra
Q111796425,Rody_Tolassy
Q112130382,Max_Orville
Q112472001,%C4%BDubica_Karva%C5%A1ov%C3%A1
Q112650871,Anne-Sophie_Frigout
Q117409487,S%C3%A9rgio_Humberto
Q117618605,Maria_Veronica_Rossi
Q117663113,Francesca_Peppucci
Q118669796,Fredis_Beleris
Q105761,Klaus_Buchner
Q1055587,Mario_Mantovani
Q1060314,Raffaele_Fitto
Q108736,Birgit_Sippel
Q1077655,Aldo_Patriciello
Q1081665,Christian_Sagartz
Q1083771,Christine_Schneider
Q1097007,Claude_Moraes
Q11917597,Dolors_Montserrat
Q12016827,Franc_Bogovi%C4%8D
Q12022507,Jan_Farsk%C3%BD
Q12028942,Kate%C5%99ina_Kone%C4%8Dn%C3%A1
Q12036669,Michaela_%C5%A0ojdrov%C3%A1
Q12055995,Stanislav_Pol%C4%8D%C3%A1k
Q12059351,Tom%C3%A1%C5%A1_Zdechovsk%C3%BD
Q114006412,Theresa_Bielowski
Q105964502,Joachim_Streit
Q106133800,Sebastiaan_St%C3%B6teler
Q106518433,Thijs_Reuten
Q106519771,Michiel_Hoogeveen
Q106950733,Ana_Miguel_dos_Santos
Q107316188,Aleksandar_Nikolic_(politician)
Q107355967,Michalis_Hatzipantelas
Q108308348,Emma_Rafowicz
Q108731355,Ond%C5%99ej_Dost%C3%A1l
Q108788753,Rudi_Kennes
Q108904462,Karolin_Braunsberger-Reinhold
Q109468729,Lena_Schilling
Q112652864,Marina_Mesure
Q112654296,%C3%89ric_Minardi
Q113016342,Jana_Nagyov%C3%A1_(politician)
Q113453333,Stephen_Nikola_Bartulica
Q113987984,Jo%C3%A3o_Albuquerque
Q114015374,Eva-Maria_Poptcheva
Q114031217,Beatrice_Timgren
Q114363384,Matthias_Ecke
Q114398640,Sebasti%C3%A3o_Bugalho
Q115055904,Maria_Angela_Danz%C3%AC
Q115055962,Elisabetta_De_Blasis
Q115056338,Matteo_Gazzini
Q115056412,Paola_Ghidoni
Q115056535,Denis_Nesci
Q119397784,Alexandra_Mehnert
Q120015161,Andrea_Wechsler
Q120223664,Thomas_Rudner
Q120912782,Nikolas_Farantouris
Q120989242,Annalisa_Corrado
Q121055145,Tomasz_Froelich
Q121409375,Catherine_Amalric
Q121434583,Alvise_P%C3%A9rez
Q122291813,Laura_Ballarin_Cereza
Q124620577,C%C3%A9line_Imart
Q124634358,Linus_Glanzelius
Q124661466,Erik_Kali%C5%88%C3%A1k
Q124663398,Anna_Maria_Cisint
Q124842262,Tom%C3%A1%C5%A1_Kub%C3%ADn
Q124972943,Jan_Ovelg%C3%B6nne
Q125209212,Anabela_Rodrigues_(MEP)
Q125376815,Vasco_Becker-Weinberg
Q125377990,V%C3%A2nia_Neto
Q125378772,Te%C3%B3filo_Santos
Q125398344,Matthieu_Valet
Q125406924,Ricardo_Morgado
Q125514999,Marie-Luce_Brasier-Clain
Q125542328,D%C3%B3ra_D%C3%A1vid
Q125542353,Zolt%C3%A1n_Tarr
Q125543408,Andr%C3%A1s_Kulja
Q125556730,Paulo_Cunha_(politician)
Q125573231,Francesco_Torselli
Q125580751,Pascale_Piera
Q125581901,Carla_Tavares
Q125589692,Kristoffer_Hjort_Storm
Q125704358,Eszter_Lakos
Q125704422,Gabriella_Gerzsenyi
Q125704483,Kinga_Koll%C3%A1r
Q125711251,Laurent_Castillo
Q125735465,Julie_Rechagneux
Q125759249,Ang%C3%A9line_Furet
Q125759280,Pierre_Pimpie
Q125759309,Val%C3%A9rie_Deloge
Q125789969,Gr%C3%A9gory_Allione
Q125821489,Oihane_Agirregoitia
Q125919027,Liesbet_Sommen
Q125960633,Ansis_P%C5%ABpols
Q125967771,Micha%C5%82_Wawrykiewicz
Q125985612,Nikola_Bart%C5%AF%C5%A1ek
Q126116012,Raquel_Garc%C3%ADa_Hermida-van_der_Walle
Q126339534,Estrella_Gal%C3%A1n
Q126372922,Emma_Fourreau
Q126372940,Arash_Saeidi
Q126373071,Majdouline_Sba%C3%AF
Q126373079,M%C3%A9lissa_Camara
Q126373085,Thomas_Pellerin-Carlin
Q126373333,Anna_Strolenberg
Q126457764,Sabrina_Repp
Q126464207,Vivien_Costanzo
Q126464268,Sebastian_Everding
Q126472964,%C3%89ric_Sargiacomo
Q126477204,Anthony_Smith_(French_politician)
Q126478233,Nela_Riehl
Q126485167,Afroditi_Latinopoulou
Q126485346,Val%C3%A9rie_Devaux
Q126486800,Elena_Sancho
Q126486908,Andr%C3%A9_Rodrigues
Q126486927,Galato_Alexandraki
Q122803246,Lydie_Massard
Q122835372,Anna_Bry%C5%82ka
Q122852043,Ewa_Zaj%C4%85czkowska-Hernik
Q123038876,Martine_Kemp
Q123220692,Fidias_Panayiotou
Q123232131,Rima_Hassan
Q123701109,Esther_Sanz_Selva
Q123778841,Fran%C3%A7ois_Thiollet
Q124024336,Sander_Smit
Q124218598,Yvan_Verougstraete
Q124293065,Alma_Ezcurra
Q124331972,Niels_Geuking
Q124412639,Ilaria_Salis
Q124445369,Zala_Toma%C5%A1i%C4%8D
Q124488292,P%C3%A9ter_Magyar
Q1238315,Dominique_Riquet
Q1260118,Ru%C5%BEa_Toma%C5%A1i%C4%87
Q1284472,Silvia_Modig
Q1324589,L%C3%A1szl%C3%B3_Tr%C3%B3cs%C3%A1nyi
Q1324719,Martina_Michels
Q1332769,Nicola_Zingaretti
Q12271852,Angel_Dzhambazki
Q12272021,Andrei_Slabakov
Q12281964,Hristo_Petrov
Q12290387,Petar_Volgin
Q12301466,Anders_Vistisen
Q12316339,Henrik_Dahl_(politician)
Q12327679,Morten_Helveg_Petersen
Q12328993,Nikolaj_Villumsen
Q12331300,Per_Clausen
Q2063954,Paulius_Saudargas
Q2066785,Pedro_Silva_Pereira
Q12379326,Jana_Toom
Q2080450,Petras_Au%C5%A1trevi%C4%8Dius
Q2085597,Phil_Bennion
Q2097451,Sven_Mikser
Q2129398,Ralf_Seekatz
Q2134464,Henk_Jan_Ormel
Q2164581,Roman_Haider
Q2165078,Romeo_Franz
Q13224746,Christian_Allard
Q12869,Kris_Peeters
Q12978,Guy_Verhofstadt
Q104492,Norbert_Neuser
Q105021,Michael_Kauch
Q126487364,Gordan_Bosanac
Q126487455,Marcin_Sypniewski
Q126487457,Tomasz_Buczek
Q126489048,Verena_Mertens
Q126489095,Stefan_K%C3%B6hler
Q126489153,Tobias_Cremer
Q126489294,Giuseppina_Princi
Q126489352,Christine_Singer
Q1055321,Lucia_Annunziata
Q10291438,Maria_da_Gra%C3%A7a_Carvalho
Q10303913,Isilda_Gomes
Q10309880,Jos%C3%A9_Manuel_Fernandes
Q10324447,Manuel_Pizarro_(politician)
Q10338219,Nuno_Melo_(politician)
Q10346767,Paulo_Rangel
Q1603428,Helmut_Brandst%C3%A4tter
Q1614514,Pascal_Arimont
Q1618317,Hildegard_Bentele
Q201794,Tomasz_Frankowski
Q202117,Sergey_Stanishev
Q2003427,Marcel_de_Graaff
Q2012761,Kris_Van_Dijck
Q2029704,Jonas_Sj%C3%B6stedt
Q16061914,Eliza_Vozemberg
Q16064658,Georg_Mayer
Q16089810,Romana_Tomc
Q16113442,Sun%C4%8Dana_Glavak
Q16160202,Ilan_de_Basso
Q16162917,Malin_Bj%C3%B6rk
Q16189675,Antoni_Com%C3%ADn
Q16209258,Cyrus_Engerer
Q19973739,Predrag_Mati%C4%87
Q20016702,Javier_Zarzalejos
Q20160095,Jaume_Asens
Q20186168,Peter_Kofod
Q20197692,Rasmus_Nordqvist
Q15995,Kathleen_Van_Brempt
Q101584186,Vlad_Gheorghe
Q102395874,Zsuzsanna_Borvend%C3%A9g
Q104070010,Claudiu_T%C3%A2rziu
Q104126196,Emma_Wiesner
