name,took_office,left_office,position
Klaus Hänsch,19 July 1994,14 January 1997,EP President
José María Gil-Robles,14 January 1997,20 July 1999,EP President
Nicole Fontaine,20 July 1999,15 January 2002,EP President
Pat Cox,15 January 2002,20 July 2004,EP President
Josep Borrell,20 July 2004,16 January 2007,EP President
Hans-Gert Pöttering,16 January 2007,14 July 2009,EP President
Jerzy Buzek,14 July 2009,17 January 2012,EP President
Martin Schulz,17 January 2012,17 January 2017,EP President
Antonio Tajani,17 January 2017,3 July 2019,EP President
David Sassoli,3 July 2019,11 January 2022,EP President
