name,wikipedia_title,positions
Ville Niinistö,Ville_Niinist%C3%B6,chairperson
Amelia Andersdotter,Amelia_Andersdotter,chairperson
Pertti Paasio,Pertti_Paasio,chairperson
Martin Schulz,Martin_Schulz,chairperson
Gabrielius Landsbergis,Gabrielius_Landsbergis,chairperson
Nikos Androulakis,Nikos_Androulakis,chairperson
Sari Essayah,Sari_Essayah,chairperson
Torben Lund,Torben_Lund,chairperson
Graham Watson,Graham_Watson,chairperson
Q531313,Willy_De_Clercq,chairperson
Leopoldo Calvo-Sotelo,Leopoldo_Calvo-Sotelo,chairperson
Teresa Riera,Teresa_Riera,chairperson
Heribert Barrera i Costa,Heribert_Barrera,chairperson
Leszek Miller,Leszek_Miller,chairperson
Lena Ek,Lena_Ek,chairperson
Dick Erixon,Dick_Erixon,chairperson
Michèle Alliot-Marie,Mich%C3%A8le_Alliot-Marie,chairperson
Raül Romeva,Ra%C3%BCl_Romeva,chairperson
Juan Ignacio Zoido,Juan_Ignacio_Zoido,chairperson
Hans van Baalen,Hans_van_Baalen,chairperson
Paul-Henry Gendebien,Paul-Henry_Gendebien,chairperson
Patryk Jaki,Patryk_Jaki,chairperson
Eugen Tomac,Eugen_Tomac,chairperson
Iratxe García,Iratxe_Garc%C3%ADa,chairperson
Bas Eickhout,Bas_Eickhout,chairperson
Franz Josef Strauß,Franz_Josef_Strauss,chairperson
Timo Soini,Timo_Soini,chairperson
Werner Dollinger,Werner_Dollinger,chairperson
Joseph Daul,Joseph_Daul,chairperson
Antonio Tajani,Antonio_Tajani,chairperson
Colette Flesch,Colette_Flesch,chairperson
Karin Karlsbro,Karin_Karlsbro,chairperson
Gaston Thorn,Gaston_Thorn,chairperson
Sebastian Tynkkynen,Sebastian_Tynkkynen,chairperson
Eugen Loderer,Eugen_Loderer,chairperson
Ramón Luis Valcárcel Siso,Ram%C3%B3n_Luis_Valc%C3%A1rcel,chairperson
Outi Ojala,Outi_Ojala,chairperson
Alain Cadec,Alain_Cadec,chairperson
Dimitrios Adamou,Dimitrios_Adamou,chairperson
Alexander Jungbluth,Alexander_Jungbluth,chairperson
Yvan Blot,Yvan_Blot,chairperson
Carlo Tognoli,Carlo_Tognoli,chairperson
Pablo Zalba Bidegain,Pablo_Zalba,chairperson
Juan Carlos Girauta,Juan_Carlos_Girauta,chairperson
Fredrick Federley,Fredrick_Federley,chairperson
Dacian Cioloș,Dacian_Ciolo%C8%99,chairperson
Richard Falbr,Richard_Falbr,chairperson
Manfred Weber,Manfred_Weber,chairperson
Max Gallo,Max_Gallo,chairperson
Jan Farský,Jan_Farsk%C3%BD,chairperson
Isabelle Le Callennec,Isabelle_Le_Callennec,chairperson
Karl Erik Olsson,Karl_Erik_Olsson,chairperson
Liisa Jaakonsaari,Liisa_Jaakonsaari,chairperson
Sigrid Friis Proschowsky,Sigrid_Friis_Frederiksen,chairperson
Hadar Cars,Hadar_Cars,chairperson
Rupert Lowe,Rupert_Lowe,chairperson
Philippe Malaud,Philippe_Malaud,chairperson
Jo Leinen,Jo_Leinen,chairperson
Charlie Weimers,Charlie_Weimers,chairperson
Anders Wijkman,Anders_Wijkman,chairperson
Filip Turek,Filip_Turek,chairperson
Bernat Joan i Marí,Bernat_Joan_i_Mar%C3%AD,chairperson
