name,roles,terms
Adam Bielan,EP Vice-President,ep6
Adina Vălean,EP Vice-President,ep8
Alejo Vidal-Quadras,EP Vice-President,ep6; ep7
Alejo Vidal-Quadras Roca,EP Vice-President,ep6
Alexander Graf Lambsdorff,EP Vice-President,ep8
Alliance of Liberals and Democrats for Europe,EP Vice-President,ep8
Alonso José Puerta,EP Vice-President,ep6
Andrey Kovatchev,EP Vice-President,ep8
Antonio Tajani,EP President; EP Vice-President,ep8; president_term; ep9
Antonios Trakatellis,EP Vice-President,ep6
António Costa,EP Vice-President,ep6
Astrid Lulling,EP Vice-President,ep6; ep7
Bill Newton Dunn,EP Vice-President,ep7
Bogusław Liberadzki,EP Vice-President,ep8
Brian Crowley,EP Vice-President,ep6
Bruno Gollnisch,EP Vice-President,ep6
Catherine Bearder,EP Vice-President,ep8
Corina Crețu,EP Vice-President,ep8
Cristiana Muscardini,EP Vice-President,ep6
Dagmar Roth-Behrendt,EP Vice-President,ep6; ep7
Daniel Cohn-Bendit,EP Vice-President,ep6
David Sassoli,EP President; EP Vice-President,ep8; president_term; ep9
Diana Wallis,EP Vice-President,ep6; ep7
Dimitrios Papadimoulis,EP Vice-President,ep8
EURACTIV,EP Vice-President,ep9
Edward McMillan-Scott,EP Vice-President,ep6; ep7
Francesco Speroni,EP Vice-President,ep7
Francis Wurtz,EP Vice-President,ep6
Genowefa Grabowska,EP Vice-President,ep6
Giorgio Napolitano,EP Vice-President,ep5
Giovanni Pittella,EP Vice-President,ep7
Godelieve Quisthoudt-Rowohl,EP Vice-President,ep6
Graham Watson,EP Vice-President,ep6
Gérard Onesta,EP Vice-President,ep6
Hanne Dahl,EP Vice-President,ep6
Hans-Gert Pöttering,EP President; EP Vice-President,ep6; president_term
Ildikó Pelczné Gáll,EP Vice-President,ep8
Ingo Friedrich,EP Vice-President,ep6
Isabelle Durant,EP Vice-President,ep7
Jacek Saryusz-Wolski,EP Vice-President,ep6
Janusz Onyszkiewicz,EP Vice-President,ep6
Jens-Peter Bonde,EP Vice-President,ep6
Jerzy Buzek,EP President,president_term
Jim Higgins (Irish politician),EP Vice-President,ep7
Jim Nicholson (Northern Ireland politician),EP Vice-President,ep6; ep7
Jiří Maštálka,EP Vice-President,ep7
Josep Borrell,EP President,president_term
Joseph Daul,EP Vice-President,ep6
José María Gil-Robles,EP President,president_term
Karol Karski,EP Vice-President,ep8
Kathy Sinnott,EP Vice-President,ep6
Klaus Hänsch,EP President,president_term
Law and Justice (Poland),EP Vice-President,ep8
Liberal Democrats (UK),EP Vice-President,ep8
Libor Rouček,EP Vice-President,ep7
Lidia Geringer de Oedenberg,EP Vice-President,ep7
Luigi Cocilovo,EP Vice-President,ep6
Luisa Morgantini,EP Vice-President,ep6
Mairead McGuinness,EP Vice-President,ep8; ep9
Manuel António Dos Santos,EP Vice-President,ep6
Marek Siwiec,EP Vice-President,ep6
Mario Mauro,EP Vice-President,ep6
Martin Schulz,EP President; EP Vice-President,ep6; president_term
Mechtild Rothe,EP Vice-President,ep6
Mia De Vits,EP Vice-President,ep6
Michał Kamiński,EP Vice-President,ep7
Miguel Angel Martínez Martínez,EP Vice-President,ep6; ep7
Miroslav Ouzký,EP Vice-President,ep6
Monica Frassoni,EP Vice-President,ep6
Mário Soares,EP Vice-President,ep5
Nicole Fontaine,EP President; EP Vice-President,ep5; president_term
Nigel Farage,EP Vice-President,ep6
Olli Rehn,EP Vice-President,ep8
Pat Cox,EP President; EP Vice-President,ep5; president_term
Pierre Moscovici,EP Vice-President,ep6
Pál Schmitt,EP Vice-President,ep7
Rainer Wieland,EP Vice-President,ep7; ep8
Ramón Luis Valcárcel,EP Vice-President,ep8
Ria Oomen-Ruijten,EP Vice-President,ep7
Roberta Angelilli,EP Vice-President,ep7
Rodi Kratsa-Tsagaropoulou,EP Vice-President,ep6; ep7
Ryszard Czarnecki,EP Vice-President,ep8
Silvana Koch-Mehrin,EP Vice-President,ep7
Stavros Lambrinidis,EP Vice-President,ep7
Sylvia-Yvonne Kaufmann,EP Vice-President,ep6
Sylvie Guillaume,EP Vice-President,ep8
Szabolcs Fazakas,EP Vice-President,ep6
Ulrike Lunacek,EP Vice-President,ep8
Union for a Popular Movement,EP Vice-President,ep8
Élisabeth Morin,EP Vice-President,ep8
