name,wikipedia_title,slug,roles
Adam Bielan,Adam Bielan,adam-bielan,EP Vice-President
Adina Vălean,Adina-Ioana Vălean,adina-ioana-vălean,EP Vice-President
Alejo Vidal-Quadras,Alejo Vidal-Quadras Roca,alejo-vidal-quadras-roca,EP Vice-President
Alejo Vidal-Quadras Roca,Alejo Vidal-Quadras Roca,alejo-vidal-quadras-roca,EP Vice-President
Alexander Graf Lambsdorff,Alexander Graf Lambsdorff,alexander-graf-lambsdorff,EP Vice-President
Alliance of Liberals and Democrats for Europe,Alliance of Liberals and Democrats for Europe Party,alliance-of-liberals-and-democrats-for-europe-party,EP Vice-President
Alonso José Puerta,Alonso Puerta,alonso-puerta,EP Vice-President
Andrey Kovatchev,Andrey Kovatchev,andrey-kovatchev,EP Vice-President
Antonio Tajani,Antonio Tajani,antonio-tajani,EP President; EP Vice-President
Antonios Trakatellis,Antonios Trakatellis,antonios-trakatellis,EP Vice-President
António Costa,António Costa,antnio-costa,EP Vice-President
Astrid Lulling,Astrid Lulling,astrid-lulling,EP Vice-President
Bill Newton Dunn,Bill Newton Dunn,bill-newton-dunn,EP Vice-President
Bogusław Liberadzki,Bogusław Liberadzki,bogusaw-liberadzki,EP Vice-President
Brian Crowley,Brian Crowley,brian-crowley,EP Vice-President
Bruno Gollnisch,Bruno Gollnisch,bruno-gollnisch,EP Vice-President
Catherine Bearder,Catherine Bearder,catherine-bearder,EP Vice-President
Corina Crețu,Corina Crețu,corina-creu,EP Vice-President
Cristiana Muscardini,Cristiana Muscardini,cristiana-muscardini,EP Vice-President
Dagmar Roth-Behrendt,Dagmar Roth-Behrendt,dagmar-roth-behrendt,EP Vice-President
Daniel Cohn-Bendit,Daniel Cohn-Bendit,daniel-cohn-bendit,EP Vice-President
David Sassoli,David Sassoli,david-sassoli,EP President; EP Vice-President
Diana Wallis,Diana Wallis,diana-wallis,EP Vice-President
Dimitrios Papadimoulis,Dimitrios Papadimoulis,dimitrios-papadimoulis,EP Vice-President
EURACTIV,Euractiv,euractiv,EP Vice-President
Edward McMillan-Scott,Edward McMillan-Scott,edward-mcmillan-scott,EP Vice-President
Francesco Speroni,Francesco Speroni,francesco-speroni,EP Vice-President
Francis Wurtz,Francis Wurtz,francis-wurtz,EP Vice-President
Genowefa Grabowska,Genowefa Grabowska,genowefa-grabowska,EP Vice-President
Giorgio Napolitano,Giorgio Napolitano,giorgio-napolitano,EP Vice-President
Giovanni Pittella,Gianni Pittella,gianni-pittella,EP Vice-President
Godelieve Quisthoudt-Rowohl,Godelieve Quisthoudt-Rowohl,godelieve-quisthoudt-rowohl,EP Vice-President
Graham Watson,Graham Watson,graham-watson,EP Vice-President
Gérard Onesta,Gérard Onesta,grard-onesta,EP Vice-President
Hanne Dahl,Hanne Dahl,hanne-dahl,EP Vice-President
Hans-Gert Pöttering,Hans-Gert Pöttering,hans-gert-pttering,EP Vice-President
Ildikó Pelczné Gáll,Ildikó Pelczné Gáll,ildik-pelczn-gll,EP Vice-President
Ingo Friedrich,Ingo Friedrich,ingo-friedrich,EP Vice-President
Isabelle Durant,Isabelle Durant,isabelle-durant,EP Vice-President
Jacek Saryusz-Wolski,Jacek Saryusz-Wolski,jacek-saryusz-wolski,EP Vice-President
Janusz Onyszkiewicz,Janusz Onyszkiewicz,janusz-onyszkiewicz,EP Vice-President
Jens-Peter Bonde,Jens-Peter Bonde,jens-peter-bonde,EP Vice-President
Jerzy Buzek,Jerzy Buzek,jerzy-buzek,EP President
Jim Higgins (Irish politician),Jim Higgins (Irish politician),jim-higgins-irish-politician,EP Vice-President
Jim Nicholson (Northern Ireland politician),Jim Nicholson (Northern Ireland politician),jim-nicholson-northern-ireland-politician,EP Vice-President
Jiří Maštálka,Jiří Maštálka,ji-matlka,EP Vice-President
Josep Borrell,Josep Borrell,josep-borrell,EP President
Joseph Daul,Joseph Daul,joseph-daul,EP Vice-President
José María Gil-Robles,José María Gil-Robles,jos-mara-gil-robles,EP Vice-President
Karol Karski,Karol Karski,karol-karski,EP Vice-President
Kathy Sinnott,Kathy Sinnott,kathy-sinnott,EP Vice-President
Klaus Hänsch,Klaus Hänsch,klaus-hnsch,EP Vice-President
Libor Rouček,Libor Rouček,libor-rouek,EP Vice-President
Lidia Geringer de Oedenberg,Lidia Geringer de Oedenberg,lidia-geringer-de-oedenberg,EP Vice-President
Luigi Cocilovo,Luigi Cocilovo,luigi-cocilovo,EP Vice-President
Luisa Morgantini,Luisa Morgantini,luisa-morgantini,EP Vice-President
Mairead McGuinness,Mairead McGuinness,mairead-mcguinness,EP Vice-President
Manuel António Dos Santos,Manuel António dos Santos,manuel-antnio-dos-santos,EP Vice-President
Marek Siwiec,Marek Siwiec,marek-siwiec,EP Vice-President
Mario Mauro,Mario Mauro,mario-mauro,EP Vice-President
Martin Schulz,Martin Schulz,martin-schulz,EP Vice-President
Mechtild Rothe,Mechtild Rothe,mechtild-rothe,EP Vice-President
Mia De Vits,Mia De Vits,mia-de-vits,EP Vice-President
Michał Kamiński,Michał Kamiński,micha-kamiski,EP Vice-President
Miguel Angel Martínez Martínez,Miguel Ángel Martínez Martínez,miguel-ngel-martnez-martnez,EP Vice-President
Miroslav Ouzký,Miroslav Ouzký,miroslav-ouzk,EP Vice-President
Monica Frassoni,Monica Frassoni,monica-frassoni,EP Vice-President
Mário Soares,Mário Soares,mrio-soares,EP Vice-President
Nicole Fontaine,Nicole Fontaine,nicole-fontaine,EP President; EP Vice-President
Nigel Farage,Nigel Farage,nigel-farage,EP Vice-President
Olli Rehn,Olli Rehn,olli-rehn,EP Vice-President
Pat Cox,Pat Cox,pat-cox,EP President; EP Vice-President
Pierre Moscovici,Pierre Moscovici,pierre-moscovici,EP Vice-President
Pál Schmitt,Pál Schmitt,pl-schmitt,EP Vice-President
Rainer Wieland,Rainer Wieland,rainer-wieland,EP Vice-President
Ramón Luis Valcárcel,Ramón Luis Valcárcel,ramn-luis-valcrcel,EP Vice-President
Ria Oomen-Ruijten,Ria Oomen-Ruijten,ria-oomen-ruijten,EP Vice-President
Roberta Angelilli,Roberta Angelilli,roberta-angelilli,EP Vice-President
Rodi Kratsa-Tsagaropoulou,Rodi Kratsa-Tsagaropoulou,rodi-kratsa-tsagaropoulou,EP Vice-President
Ryszard Czarnecki,Ryszard Czarnecki,ryszard-czarnecki,EP Vice-President
Silvana Koch-Mehrin,Silvana Koch-Mehrin,silvana-koch-mehrin,EP Vice-President
Stavros Lambrinidis,Stavros Lambrinidis,stavros-lambrinidis,EP Vice-President
Sylvia-Yvonne Kaufmann,Sylvia-Yvonne Kaufmann,sylvia-yvonne-kaufmann,EP Vice-President
Sylvie Guillaume,Sylvie Guillaume,sylvie-guillaume,EP Vice-President
Szabolcs Fazakas,Szabolcs Fazakas,szabolcs-fazakas,EP Vice-President
Ulrike Lunacek,Ulrike Lunacek,ulrike-lunacek,EP Vice-President
Élisabeth Morin,Élisabeth Morin-Chartier,lisabeth-morin-chartier,EP Vice-President
