Name,Country,Constituency,National_Party,EP_Group,In_Office_Since,Birth_Date,Notes
Harald Vilimsky,Austria,,FPÖ,Patriots for Europe,,1 July 2014,
Petra Steger,Austria,,FPÖ,Patriots for Europe,,16 July 2024,
Georg Mayer,Austria,,FPÖ,Patriots for Europe,,1 July 2014,
Roman Haider,Austria,,FPÖ,Patriots for Europe,,2 July 2019,
Gerald Hauser,Austria,,FPÖ,Patriots for Europe,,16 July 2024,
Elisabeth Dieringer-Granza,Austria,,FPÖ,Patriots for Europe,,16 July 2024,
Reinhold Lopatka,Austria,,ÖVP,EPP,,16 July 2024,
Angelika Winzig,Austria,,ÖVP,EPP,,2 July 2019,
Alexander Bernhuber,Austria,,ÖVP,EPP,,2 July 2019,
Sophia Kircher,Austria,,ÖVP,EPP,,16 July 2024,
Lukas Mandl,Austria,,ÖVP,EPP,,30 November 2017,
Andreas Schieder,Austria,,SPÖ,S&D,,2 July 2019,
Evelyn Regner,Austria,,SPÖ,S&D,,1 July 2009,
Günther Sidl,Austria,,SPÖ,S&D,,2 July 2019,
Elisabeth Grossmann,Austria,,SPÖ,S&D,,16 July 2024,
Hannes Heide,Austria,,SPÖ,S&D,,2 July 2019,
Lena Schilling,Austria,,GRÜNE,Greens/EFA,,16 July 2024,
Thomas Waitz,Austria,,GRÜNE,Greens/EFA,,1 February 2020[a],
Helmut Brandstätter,Austria,,NEOS,Renew Europe,,16 July 2024,
Anna Stürgkh,Austria,,NEOS,Renew Europe,,16 July 2024,
Sophie Wilmès,Belgium,French-speaking,MR,Renew Europe,,16 July 2024,
Olivier Chastel,Belgium,French-speaking,MR,Renew Europe,,2 July 2019,
Benoît Cassart,Belgium,French-speaking,MR,Renew Europe,,16 July 2024,
Tom Vandendriessche,Belgium,Dutch-speaking,VB,Patriots for Europe,,2 July 2019,
Gerolf Annemans,Belgium,Dutch-speaking,VB,Patriots for Europe,,1 July 2014,
Barbara Bonte,Belgium,Dutch-speaking,VB,Patriots for Europe,,16 July 2024,
Johan Van Overtveldt,Belgium,Dutch-speaking,N-VA,ECR,,2 July 2019,
Assita Kanko,Belgium,Dutch-speaking,N-VA,ECR,,2 July 2019,
Kris Van Dijck,Belgium,Dutch-speaking,N-VA,ECR,,16 July 2024,
