 | Commissioner | Portrait | Portfolio | State | Party | Notes
 | BarrosoJosé Durão Barroso |  | President | Portugal | EPPNational:PSD | 
 | WallstromMargot Wallström |  | Institutional RelationsFirst Vice-President;Institutional Relations and Communication Strategy | Sweden | PESNational:SAP | 
 | VerheugenGünter Verheugen |  | Enterprise and IndustryVice-President;Enterprise and Industry | Germany | PESNational:SPD | 
 | FrattiniFranco Frattini |  | Justice, Freedom and SecurityVice-President;Justice, Freedom and Security | Italy | EPPNational:PDL | Served until 23 April 2008
 | TajaniAntonio Tajani |  | TransportVice-President;Transport | Italy | EPPNational:PDL | Served from 18 June 2008
 | BarrotJacques Barrot |  | Justice, Freedom and SecurityVice-President;Justice, Freedom and Security | France | EPPNational:UMP | Held Transport until 2008. Took JFS when Frattini left. Frattini's replacement took Transport.
 | KallasSiim Kallas |  | Administrative Affairs, Audit and Anti-FraudVice-President;Administrative Affairs, Audit and Anti-Fraud | Estonia | ALDENational:Reform | 
 | AlmuniaJoaquín Almunia |  | Economic and Financial Affairs | Spain | PESNational:PSOE | 
 | McCreevyCharlie McCreevy |  | Internal Market and Services | Ireland | ALDENational:FF | 
 | Fischer BoelMariann Fischer Boel |  | Agriculture and Rural Development | Denmark | ALDENational:Venstre | 
 | KroesNeelie Kroes |  | Competition | Netherlands | ALDENational:VVD | 
 | MandelsonPeter Mandelson |  | Trade | United Kingdom | PESNational:Labour | Served until 3 October 2008
 | AshtonCatherine Ashton |  | Trade | United Kingdom | PESNational:Labour | From 1 December 2009, Ashton became the newHigh Representativeand swapped the external relations portfolio with Ferrero-Waldner. However Ferrero-Waldner maintained control over theNeighbourhood PolicyandEuropeAid.
 | BorgJoe Borg |  | Fisheries and Maritime Affairs | Malta | EPPNational:PN | 
 | DimasStavros Dimas |  | Environment | Greece | EPPNational:ND | 
 | KyprianouMarkos Kyprianou |  | Health | Cyprus | ALDE[70]National:DIKO | Served until 3 March 2008. Prior to 1 January 2007, portfolio includedConsumer Protection
 | VasiliouAndroulla Vassiliou |  | Health | Cyprus | ALDENational:EDI | Served from 3 March 2008
 | MichelLouis Michel |  | Development and Humanitarian Aid | Belgium | ALDENational:MR | Served until 17 July 2009
 | GuchtKarel De Gucht |  | Development and Humanitarian Aid | Belgium | ALDENational:Open VLD | Served from 17 July 2009
 | RehnOlli Rehn |  | Enlargement | Finland | ALDENational:Keskusta | 
 | SpidlaVladimír Špidla |  | Employment, Social Affairs and Equal Opportunities | Czech Republic | PESNational:ČSSD | 
 | KovácsLászló Kovács |  | Taxation and Customs Union | Hungary | PESNational:MSZP | 
 | GrybauskaitėDalia Grybauskaitė |  | Financial Programming and the Budget | Lithuania | Independent | Served until 1 July 2009
 | SemetaAlgirdas Šemeta |  | Financial Programming and the Budget | Lithuania | Independent | Served from 1 July 2009
 | Ferrero-WaldnerBenita Ferrero-Waldner |  | External Relations and European Neighbourhood Policy | Austria | EPPNational:ÖVP | From 1 December 2009, Ashton became the newHigh Representativeand swapped the external relations portfolio with Ferrero-Waldner. However Ferrero-Waldner maintained control over theNeighbourhood PolicyandEuropeAid.
 | FigeľJán Figeľ |  | Education, Training and Culture | Slovakia | EPPNational:KDH | Prior to 1 January 2007, portfolio includedMultilingualism
 | HübnerDanuta Hübner |  | Regional Policy | Poland | Party of European SocialistsNational:Independent | Served until 4 July 2009
 | SameckiPaweł Samecki |  | Regional Policy | Poland | Independent | Served from 4 July 2009
 | PiebalgsAndris Piebalgs |  | Energy | Latvia | EPPNational:LC | 
 | PotočnikJanez Potočnik |  | Science and Research | Slovenia | Independent | 
 | RedingViviane Reding |  | Information Society and Media | Luxembourg | EPPNational:CSV | 
