name,company
Guillaume Faury,Airbus
René Obermann,Airbus
Ross McInnes,Safran
Armin Papperger,Rheinmetall
Ulrich Grillo,Rheinmetall
John Elkann,Stellantis
Robert Peugeot,Stellantis
Antonio Filosa,Stellantis
Oliver Zipse,BMW
Ola Källenius,Mercedes-Benz
Jean-Dominique Senard,Renault
Jean Lemierre,BNP Paribas
Jean-Laurent Bonnafé,BNP Paribas
Christian Sewing,Deutsche Bank
Alexander Wynaendts,Deutsche Bank
Lorenzo Bini Smaghi,Société Générale
Slawomir Krupa,Société Générale
Pier Carlo Padoan,UniCredit
Andrea Orcel,UniCredit
Oliver Bäte,Allianz
Michael Diekmann,Allianz
