name,company
Guillaume Faury,Airbus
René Obermann,Airbus
chairman,Airbus
Chief executive officer,Safran
Ross McInnes,Safran
chairman,Safran
Armin Papperger,Rheinmetall
executive board,Rheinmetall
Ulrich Grillo,Rheinmetall
supervisory board,Rheinmetall
John Elkann,Stellantis
Robert Peugeot,Stellantis
Antonio Filosa,Stellantis
Oliver Zipse,BMW
Ola Källenius,Mercedes-Benz
chairman of the board,Mercedes-Benz
Chief executive officer,Mercedes-Benz
Jean-Dominique Senard,Renault
chairman,Renault
Giuseppina Di Foggia,Eni
chairman,Eni
Claudio Descalzi,Eni
Chief executive officer,Eni
List of petroleum companies,Eni
Paolo Scaroni,Enel
Chairman,Enel
Flavio Cattaneo,Enel
chief executive officer,Enel
José Ignacio Sánchez Galán,Iberdrola
Chairman,Iberdrola
Pedro Azagra Blázquez,Iberdrola
chief executive officer,Iberdrola
chief financial officer,Iberdrola
Pekka Ala-Pietilä,SAP
chairman,SAP
Christian Klein,SAP
Chief executive officer,SAP
Chief executive officer,ASML
chairman,ASML
supervisory board,ASML
Frédéric Oudéa,Sanofi
chairman,Sanofi
Chief executive officer,Sanofi
Belén Garijo,Sanofi
Bill Anderson (businessman),Bayer
Norbert Winkeljohann,Bayer
supervisory board,Bayer
Bernard Arnault,LVMH
chairman,LVMH
Chief executive officer,LVMH
Antoine Arnault,LVMH
Dior,LVMH
Delphine Arnault,LVMH
Jean-Paul Agon,L'Oréal
chairman,L'Oréal
vice-chairman,L'Oréal
Nicolas Hieronimus,L'Oréal
Chief executive officer,L'Oréal
Thales of Miletus,Thales
Ivan Hirst,Volkswagen
Steven van Rijswijk,ING
Karl Guha,ING
Carlos Torres Vila,BBVA
Onur Genç,BBVA
Thomas Buberl,AXA
Antoine Gosset-Grainville,AXA
Patrick Pouyanné,TotalEnergies
Jochen Hanebeck,Infineon
Rutger Wijburg,Infineon
Sven Schneider,Infineon
Andreas Urschitz,Infineon
Elke Eckstein,Infineon
Thomas Rosteck,Infineon
Adam White,Infineon
Peter Schiefer,Infineon
