name,company
Guillaume Faury,Airbus
René Obermann,Airbus
chairman,Airbus
Chief executive officer,Safran
Ross McInnes,Safran
chairman,Safran
Armin Papperger,Rheinmetall
executive board,Rheinmetall
Ulrich Grillo,Rheinmetall
supervisory board,Rheinmetall
John Elkann,Stellantis
Robert Peugeot,Stellantis
Antonio Filosa,Stellantis
Oliver Zipse,BMW
Ola Källenius,Mercedes-Benz
chairman of the board,Mercedes-Benz
Chief executive officer,Mercedes-Benz
Jean-Dominique Senard,Renault
chairman,Renault
Jean Lemierre,BNP Paribas
Chairperson,BNP Paribas
Jean-Laurent Bonnafé,BNP Paribas
Christian Sewing,Deutsche Bank
The New York Times,Deutsche Bank
Alexander Wynaendts,Deutsche Bank
Lorenzo Bini Smaghi,Société Générale
chairman,Société Générale
Slawomir Krupa,Société Générale
Pier Carlo Padoan,UniCredit
Chairperson,UniCredit
Andrea Orcel,UniCredit
Chief executive officer,UniCredit
Oliver Bäte,Allianz
Michael Diekmann,Allianz
