name,company
Guillaume Faury,Airbus
René Obermann,Airbus
Ross McInnes,Safran
Armin Papperger,Rheinmetall
Ulrich Grillo,Rheinmetall
John Elkann,Stellantis
Robert Peugeot,Stellantis
Antonio Filosa,Stellantis
Oliver Zipse,BMW
Ola Källenius,Mercedes-Benz
chairman of the board,Mercedes-Benz
Jean-Dominique Senard,Renault
Giuseppina Di Foggia,Eni
Claudio Descalzi,Eni
Paolo Scaroni,Enel
Flavio Cattaneo,Enel
José Ignacio Sánchez Galán,Iberdrola
Pedro Azagra Blázquez,Iberdrola
Pekka Ala-Pietilä,SAP
Christian Klein,SAP
Frédéric Oudéa,Sanofi
Belén Garijo,Sanofi
Bill Anderson (businessman),Bayer
Norbert Winkeljohann,Bayer
Bernard Arnault,LVMH
Antoine Arnault,LVMH
Delphine Arnault,LVMH
Jean-Paul Agon,L'Oréal
vice-chairman,L'Oréal
Nicolas Hieronimus,L'Oréal
