name,company
Guillaume Faury,Airbus
René Obermann,Airbus
Ross McInnes,Safran
Armin Papperger,Rheinmetall
Ulrich Grillo,Rheinmetall
John Elkann,Stellantis
Robert Peugeot,Stellantis
Antonio Filosa,Stellantis
Oliver Zipse,BMW
Ola Källenius,Mercedes-Benz
Jean-Dominique Senard,Renault
Jean Lemierre,BNP Paribas
Jean-Laurent Bonnafé,BNP Paribas
Christian Sewing,Deutsche Bank
Alexander Wynaendts,Deutsche Bank
Lorenzo Bini Smaghi,Société Générale
Slawomir Krupa,Société Générale
Pier Carlo Padoan,UniCredit
Andrea Orcel,UniCredit
Oliver Bäte,Allianz
Michael Diekmann,Allianz
Guillaume Faury,Airbus
René Obermann,Airbus
Ross McInnes,Safran
Armin Papperger,Rheinmetall
Ulrich Grillo,Rheinmetall
John Elkann,Stellantis
Robert Peugeot,Stellantis
Antonio Filosa,Stellantis
Oliver Zipse,BMW
Ola Källenius,Mercedes-Benz
Jean-Dominique Senard,Renault
Giuseppina Di Foggia,Eni
Claudio Descalzi,Eni
Paolo Scaroni,Enel
Flavio Cattaneo,Enel
José Ignacio Sánchez Galán,Iberdrola
Pedro Azagra Blázquez,Iberdrola
Pekka Ala-Pietilä,SAP
Christian Klein,SAP
Frédéric Oudéa,Sanofi
Belén Garijo,Sanofi
Bill Anderson (businessman),Bayer
Norbert Winkeljohann,Bayer
Bernard Arnault,LVMH
Antoine Arnault,LVMH
Dior,LVMH
Delphine Arnault,LVMH
Jean-Paul Agon,L'Oréal
Nicolas Hieronimus,L'Oréal
Thales of Miletus,Thales
Ivan Hirst,Volkswagen
Steven van Rijswijk,ING
Karl Guha,ING
Carlos Torres Vila,BBVA
Onur Genç,BBVA
Thomas Buberl,AXA
Antoine Gosset-Grainville,AXA
Patrick Pouyanné,TotalEnergies
Jochen Hanebeck,Infineon
Rutger Wijburg,Infineon
Sven Schneider,Infineon
Andreas Urschitz,Infineon
Elke Eckstein,Infineon
Thomas Rosteck,Infineon
Adam White,Infineon
Peter Schiefer,Infineon
Guillaume Faury,Airbus
René Obermann,Airbus
Ross McInnes,Safran
Armin Papperger,Rheinmetall
Ulrich Grillo,Rheinmetall
John Elkann,Stellantis
Robert Peugeot,Stellantis
Antonio Filosa,Stellantis
Oliver Zipse,BMW
Ola Källenius,Mercedes-Benz
Jean-Dominique Senard,Renault
Giuseppina Di Foggia,Eni
Claudio Descalzi,Eni
Paolo Scaroni,Enel
Flavio Cattaneo,Enel
José Ignacio Sánchez Galán,Iberdrola
Pedro Azagra Blázquez,Iberdrola
Pekka Ala-Pietilä,SAP
Christian Klein,SAP
Frédéric Oudéa,Sanofi
Belén Garijo,Sanofi
Bill Anderson (businessman),Bayer
Norbert Winkeljohann,Bayer
Bernard Arnault,LVMH
Antoine Arnault,LVMH
Delphine Arnault,LVMH
Jean-Paul Agon,L'Oréal
Nicolas Hieronimus,L'Oréal
